지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2017-02-01,0,-3.4,4.2,,4.8,1.8,35.1,8.9,
90,속초,2017-02-02,2.3,-5.2,6.6,,8.1,3.2,26.9,9.8,
90,속초,2017-02-03,4.1,-.3,9.3,,3.4,1.3,38.8,9.8,
90,속초,2017-02-04,6,-.7,10.6,,1.9,1.1,37.4,4.6,
90,속초,2017-02-05,4.9,2.8,7.5,0,4.1,1.8,57.5,1.4,
90,속초,2017-02-06,1.6,-.9,4.8,,4.3,1.6,45.5,9.3,
90,속초,2017-02-07,1.5,-2,4.7,,3.1,1.4,43.3,2.8,
90,속초,2017-02-08,2.6,-.9,6.3,,3.1,1.6,50,5.8,
90,속초,2017-02-09,-1.5,-5,3.1,,4.9,2.2,40.6,5.7,
90,속초,2017-02-10,-4.3,-8.2,-.3,,5.3,2,37.8,9.9,
90,속초,2017-02-11,-2.2,-7.6,1.8,,5.3,2.2,35.3,10,
90,속초,2017-02-12,.6,-4.1,5,,3.1,1.7,41.3,10.1,
90,속초,2017-02-13,2.4,-1.7,6.8,,4.8,2,33.5,9.9,
90,속초,2017-02-14,2.3,-.7,5.8,,4.3,1.7,50.9,9.2,
90,속초,2017-02-15,6.5,-2,12.8,,4,1.5,36.9,9.8,
90,속초,2017-02-16,11.2,5.1,14.7,,7.8,3.1,34.8,9.3,
90,속초,2017-02-17,6.4,.9,13.8,0,9.9,3.4,58.9,9.2,
90,속초,2017-02-18,1.5,-2.5,5.9,0,7.7,2.6,31.5,7.8,
90,속초,2017-02-19,4.5,-1.1,8.9,,5.3,1.8,47.3,2.7,
90,속초,2017-02-20,2.9,-2.2,9,0,11.4,3.6,53.1,8.7,
90,속초,2017-02-21,1.1,-4.3,6.2,,4.5,1.8,51.8,9.3,
90,속초,2017-02-22,3.5,.5,8.1,3.2,3.2,1.3,75.9,.1,
90,속초,2017-02-23,2.5,-1,6.3,,6.1,2.2,51.6,9.6,
90,속초,2017-02-24,1.7,-3.5,6.9,,6.2,2.1,36.8,10.4,
90,속초,2017-02-25,4.9,-.6,9.6,,5.8,2.1,37.4,9.9,
90,속초,2017-02-26,3.9,.5,7.7,,3.6,1.7,49.6,10.1,
90,속초,2017-02-27,5.1,-.3,10.1,0,4.5,2,58.1,8.3,
90,속초,2017-02-28,8.7,.4,14.3,,3.8,1.3,39.1,9.8,
90,속초,2017-03-01,8,4.5,11.5,.2,3.4,1.3,60.8,0,
90,속초,2017-03-02,3.2,.7,5.4,7.9,5.8,1.6,84.6,0,
90,속초,2017-03-03,7.2,-1.7,12.3,,4.5,2,38.6,9.8,
90,속초,2017-03-04,6.5,2.8,11.3,0,4.5,1.6,60.9,5.8,
90,속초,2017-03-05,6,.1,10.9,1.7,3.1,1.2,78.4,4.6,
90,속초,2017-03-06,2.1,-.7,6.3,6.5,8.1,3.2,59.6,8.1,
90,속초,2017-03-07,1.1,-2.4,6.2,,4.9,2.8,29.6,10.6,
90,속초,2017-03-08,2.2,-2.8,6.9,,5.3,2.3,38.6,10.6,
90,속초,2017-03-09,5.6,.8,10.6,0,6.1,3,36.3,9.3,
90,속초,2017-03-10,6.1,1.7,10.7,,6.4,2,38.4,10.9,
90,속초,2017-03-11,8.6,3.2,13.2,,4.7,2,40.6,10.8,
90,속초,2017-03-12,11.6,8.2,14.9,,5.6,1.5,39.4,.9,
90,속초,2017-03-13,6.4,2.3,10.2,,6.5,2.3,51.1,10.4,
90,속초,2017-03-14,3.2,.6,6.4,8.3,5.8,1.9,75.5,.8,
90,속초,2017-03-15,5,1,8.9,,3.9,1.9,55.3,9.6,
90,속초,2017-03-16,6.2,-.4,11.7,,3.4,1.5,65.4,10.5,
90,속초,2017-03-17,8,2.5,13.5,,3,1.4,47.9,11,
90,속초,2017-03-18,12.5,7.2,18.5,,4.8,1.4,34.9,6.4,
90,속초,2017-03-19,10.2,4.7,14.6,,3.4,1.6,49,10.6,
90,속초,2017-03-20,11.3,3.9,14.6,,3.2,1.2,49.5,3.7,
90,속초,2017-03-21,6.4,1.8,12.6,4.8,7.5,2.1,67.4,4.2,
90,속초,2017-03-22,8.2,2.7,12,,3.1,1.5,47.9,10.3,
90,속초,2017-03-23,6.9,2.9,10.1,.9,5.4,1.7,63.6,2.4,
90,속초,2017-03-24,6.5,2.8,9.9,,4.3,1.5,69.6,3,
90,속초,2017-03-25,6.2,2.8,11.1,4.7,6.8,1.8,81.8,2.8,
90,속초,2017-03-26,7,4.6,12,.6,3.3,1.1,77.9,3,
90,속초,2017-03-27,6.7,3.2,10.8,1.3,6.9,1.9,70.1,.1,
90,속초,2017-03-28,9,2.9,13.5,,4,1.6,51,10.2,
90,속초,2017-03-29,11.1,5.2,15.8,,5.8,2,44.6,11.1,
90,속초,2017-03-30,12.5,9,17.9,,5.9,2.8,52,8.3,
90,속초,2017-03-31,6.7,5.2,10.3,11.8,5.8,1.8,90,0,
90,속초,2017-04-01,5.9,4,8.8,11.2,7.1,1.5,88,.7,
90,속초,2017-04-02,10,2.6,14.1,.1,6,2.3,56.9,11,
90,속초,2017-04-03,17.3,11.4,23.5,,6,3.1,30.1,11.8,
90,속초,2017-04-04,15.9,7.4,20.9,,5.1,2.1,46.3,11.1,
90,속초,2017-04-05,13.8,9.7,17.9,4.5,5.4,1.4,60.6,0,
90,속초,2017-04-06,14.1,9.7,21.8,1.2,5.9,1.4,77.9,9.3,
90,속초,2017-04-07,13.6,9.5,16.3,,3.8,1.7,78.1,10.7,
90,속초,2017-04-08,14.7,10.7,20.5,0,3.2,1.2,82,7.9,
90,속초,2017-04-09,11.4,7.3,15.9,5.6,6.8,2.1,65.6,5.6,
90,속초,2017-04-10,10.9,6.7,15.2,,6,3.4,60.3,11.9,
90,속초,2017-04-11,10.9,7.5,15.4,0,4.4,1.9,79.8,7.1,
90,속초,2017-04-12,12.5,7.5,17,.2,6.8,2.3,45.6,11.7,
90,속초,2017-04-13,14.7,7.8,21.3,,6.6,2.3,34.1,11.8,
90,속초,2017-04-14,16.9,13.9,23.6,0,4.9,2.3,39.8,5.9,
90,속초,2017-04-15,20.8,15.3,25.9,,6.1,3,40.8,11.8,
90,속초,2017-04-16,22.4,16.7,28.1,,6.7,2.4,37.4,3.5,
90,속초,2017-04-17,13.2,10.8,21.9,17.1,7.9,2.8,78.5,0,
90,속초,2017-04-18,12.2,8.3,19.6,6.4,6.4,2.4,76.1,5.6,
90,속초,2017-04-19,13.4,9.5,21.3,,6.1,3.2,53.5,10.7,
90,속초,2017-04-20,15.6,11.1,19.4,,4.5,1.6,48.3,5,
90,속초,2017-04-21,13.1,10,16.8,.4,4.9,2.5,66,8.5,
90,속초,2017-04-22,12.7,8.4,17.2,,5.6,2.1,70.9,12.6,
90,속초,2017-04-23,17.4,9,22,,6.8,2.3,38,12.7,
90,속초,2017-04-24,16.7,11.9,20.7,,6.4,2,47,9.7,
90,속초,2017-04-25,15.9,14,19.9,,5.9,1.7,61.5,8.7,
90,속초,2017-04-26,14.2,8.9,18.1,,4.2,1.9,53.8,12.2,
90,속초,2017-04-27,14.1,6.9,18.1,,5.6,2.3,39.9,11.4,
90,속초,2017-04-28,17.6,12.8,24.4,,8.1,3.5,37.3,4.7,
90,속초,2017-04-29,19.2,9.5,27.1,.1,6.5,2.4,41.5,12.6,
90,속초,2017-04-30,21.6,14.4,30.8,,6.5,3.1,44.5,9,
93,북춘천,2017-02-01,-6.1,-13.1,2.6,,4.8,1.2,59.4,9.5,13.64
93,북춘천,2017-02-02,-5.8,-15.7,4.9,,3.6,1,60.6,9.6,14.2
93,북춘천,2017-02-03,-3.2,-11.5,6.3,,2,.6,76.4,8.8,12.87
93,북춘천,2017-02-04,-2.4,-9.4,1.9,,1.4,.4,81.9,1.1,4.9
93,북춘천,2017-02-05,1.1,-1.8,3.2,0,3.4,.8,77.8,0,3.48
93,북춘천,2017-02-06,-1.7,-5.9,3.3,,4.1,1.6,61.8,9.6,13.2
93,북춘천,2017-02-07,-4.1,-10.5,2.7,,2.7,.7,72.4,2.4,8.32
93,북춘천,2017-02-08,-2.6,-8.9,3,,3.3,.9,67.5,3.7,7.94
93,북춘천,2017-02-09,-5,-10.3,.3,,5.9,1.8,57.3,9,14
93,북춘천,2017-02-10,-7,-13,-1.3,,5.4,1.8,51.8,9.7,14.5
93,북춘천,2017-02-11,-6.4,-14.4,1.1,,5.1,1.2,58.1,10,14.75
93,북춘천,2017-02-12,-4.2,-12.2,5.7,,4.3,.8,61.6,10.1,15.2
93,북춘천,2017-02-13,-2.7,-10.8,6.4,,5.8,1,67.1,9.8,15.27
