瘤痢,斥档,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
格器,2001,2001-03-22,5老,2001-04-04,1老, , 
格器,2002,2002-03-20,3老,2002-03-29,-5老, , 
格器,2003,2003-03-15,-2老,2003-03-30,-4老, , 
格器,2004,2004-03-23,6老,2004-04-01,-2老, , 
格器,2005,2005-03-25,8老,2005-04-11,8老, , 
格器,2006,2006-03-20,3老,2006-04-07,4老, , 
格器,2007,2007-03-20,3老,2007-03-31,-3老, , 
格器,2008,2008-03-17,0老,2008-03-31,-3老, , 
格器,2009,2009-03-15,-2老,2009-04-03,0老, , 
格器,2010,2010-03-25,8老,2010-04-05,2老, , 
格器,2011,2011-03-10,-7老,2011-04-09,6老, , 
格器,2012,2012-03-15,-2老,2012-04-11,8老, , 
格器,2013,2013-03-12,-5老,2013-03-31,-3老, , 
格器,2014,2014-03-15,-2老,2014-03-28,-6老, , 
格器,2015,2015-03-13,-4老,2015-03-26,-8老,2015-04-02,-5老
格器,2016,2016-03-14,-3老,2016-03-31,-3老,2016-04-02,-5老
格器,2017,2017-03-17,0老,2017-04-02,-1老,2017-04-10,3老
格器,2018,2018-03-16,-1老,2018-03-29,-5老,2018-04-02,-5老
格器,2019,2019-03-13,-4老,2019-03-31,-3老,2019-04-05,-2老
格器,2020,2020-03-02,-15老,2020-03-26,-8老,2020-03-29,-9老
格器,2021,2021-03-02,-15老,2021-03-24,-10老,2021-03-29,-9老
格器,2022,2022-03-15,-2老,2022-03-31,-3老,2022-04-04,-3老
格器,2023,2023-03-13,-4老,2023-03-26,-8老,2023-03-31,-7老
格器,2024,2024-03-12,-5老,2024-03-29,-5老,2024-04-02,-5老
格器,2025,2025-03-19,2老,2025-03-27,-7老,2025-04-02,-5老
