지점,년도,벚나무,벚나무,벚나무,벚나무,벚나무,벚나무
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
수원,2001,2001-03-23,-6일,2001-04-09,1일, , 
수원,2002,2002-03-19,-10일,2002-03-28,-11일, , 
수원,2003,2003-03-21,-8일,2003-03-30,-9일, , 
수원,2004,2004-03-22,-7일,2004-04-06,-2일, , 
수원,2005,2005-03-30,1일,2005-04-08,0일, , 
수원,2006,2006-03-29,0일,2006-04-07,-1일, , 
수원,2007,2007-03-19,-10일,2007-04-07,-1일, , 
수원,2008,2008-03-27,-2일,2008-04-06,-2일, , 
수원,2009,2009-04-02,4일,2009-04-06,-2일, , 
수원,2010,2010-03-27,-2일,2010-04-12,4일, , 
수원,2011,2011-04-01,3일,2011-04-13,5일, , 
수원,2012,2012-04-12,14일,2012-04-16,8일, , 
수원,2013,2013-04-07,9일,2013-04-16,8일, , 
수원,2014,2014-03-22,-7일,2014-03-29,-10일, , 
수원,2015,2015-03-22,-7일,2015-04-04,-4일,2015-04-09,-2일
수원,2016,2016-03-25,-4일,2016-04-02,-6일,2016-04-06,-5일
수원,2017,2017-03-22,-7일,2017-04-08,0일,2017-04-10,-1일
수원,2018,2018-03-22,-7일,2018-04-02,-6일,2018-04-03,-8일
수원,2019,2019-03-23,-6일,2019-04-07,-1일,2019-04-10,-1일
수원,2020,2020-03-26,-3일,2020-03-31,-8일,2020-04-05,-6일
수원,2021,2021-03-24,-5일,2021-03-29,-10일,2021-03-31,-11일
수원,2022,2022-03-30,1일,2022-04-11,3일,2022-04-12,1일
수원,2023,2023-03-25,-4일,2023-03-30,-9일,2023-04-01,-10일
수원,2024,2024-03-31,2일,2024-04-03,-5일,2024-04-10,-1일
수원,2025,2025-04-02,4일,2025-04-07,-1일,2025-04-11,0일
