지점,년도,벚나무,벚나무,벚나무,벚나무,벚나무,벚나무
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
안동,2001,2001-03-23,-2일,2001-04-02,-3일, , 
안동,2002,2002-03-11,-14일,2002-03-27,-9일, , 
안동,2003,2003-03-20,-5일,2003-04-01,-4일, , 
안동,2004,2004-03-18,-7일,2004-04-01,-4일, , 
안동,2005,2005-03-21,-4일,2005-04-09,4일, , 
안동,2006,2006-03-31,6일,2006-04-07,2일, , 
안동,2007,2007-03-20,-5일,2007-04-04,-1일, , 
안동,2008,2008-03-22,-3일,2008-04-06,1일, , 
안동,2009,2009-03-13,-12일,2009-03-29,-7일, , 
안동,2010,2010-03-12,-13일,2010-04-10,5일, , 
안동,2011,2011-04-04,10일,2011-04-11,6일, , 
안동,2012,2012-04-02,8일,2012-04-11,6일, , 
안동,2013,2013-03-27,2일,2013-04-05,0일, , 
안동,2014,2014-03-30,5일,2014-04-01,-4일, , 
안동,2015,2015-03-26,1일,2015-04-01,-4일,결측,―
안동,2016,2016-03-23,-2일,2016-04-02,-3일,2016-04-05,-3일
안동,2017,2017-04-03,9일,2017-04-05,0일,2017-04-07,-1일
안동,2018,2018-03-28,3일,2018-03-30,-6일,2018-04-01,-7일
안동,2019,2019-03-25,0일,2019-03-30,-6일,2019-04-02,-6일
안동,2020,2020-03-24,-1일,2020-03-27,-9일,2020-03-28,-11일
안동,2021,2021-03-22,-3일,2021-03-26,-10일,2021-03-30,-9일
안동,2022,2022-03-28,3일,2022-04-02,-3일,2022-04-07,-1일
안동,2023,2023-03-09,-16일,2023-03-23,-13일,2023-03-27,-12일
안동,2024,2024-03-17,-8일,2024-04-01,-4일,2024-04-02,-6일
안동,2025,2025-03-25,0일,2025-04-02,-3일,2025-04-07,-1일
