지점,년도,벚나무,벚나무,벚나무,벚나무,벚나무,벚나무
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
여수,2001,2001-03-20,5일,2001-03-30,-1일, , 
여수,2002,2002-03-16,1일,2002-03-26,-5일, , 
여수,2003,2003-03-10,-5일,2003-03-25,-6일, , 
여수,2004,2004-03-12,-3일,2004-03-26,-5일,2004-03-31,-5일
여수,2005,2005-03-16,1일,2005-04-07,7일,2005-04-14,9일
여수,2006,2006-03-16,1일,2006-03-31,0일,2006-04-06,1일
여수,2007,2007-03-05,-10일,2007-03-26,-5일, , 
여수,2008,2008-03-10,-5일,2008-03-30,-1일, , 
여수,2009,2009-03-08,-7일,2009-03-24,-7일, , 
여수,2010,2010-03-20,5일,2010-04-04,4일, , 
여수,2011,2011-03-15,0일,2011-04-05,5일, , 
여수,2012,2012-03-22,7일,2012-04-06,6일, , 
여수,2013,2013-03-11,-4일,2013-03-25,-6일, , 
여수,2014,2014-03-06,-9일,2014-03-26,-5일, , 
여수,2015,2015-03-20,5일,2015-03-28,-3일,2015-03-30,-6일
여수,2016,2016-03-12,-3일,2016-03-27,-4일,2016-03-30,-6일
여수,2017,2017-03-14,-1일,2017-03-31,0일,2017-04-03,-2일
여수,2018,2018-03-16,1일,2018-03-29,-2일,2018-04-01,-4일
여수,2019,2019-03-07,-8일,2019-03-26,-5일,2019-03-29,-7일
여수,2020,2020-03-12,-3일,2020-03-25,-6일,2020-03-27,-9일
여수,2021,2021-03-15,0일,2021-03-21,-10일,2021-03-26,-10일
여수,2022,2022-03-16,1일,2022-03-29,-2일,2022-04-03,-2일
여수,2023,2023-03-18,3일,2023-03-23,-8일,2023-03-28,-8일
여수,2024,2024-03-21,6일,2024-03-26,-5일,2024-04-01,-4일
여수,2025,2025-03-14,-1일,2025-03-30,-1일,2025-04-06,1일
