지점,년도,벚나무,벚나무,벚나무,벚나무,벚나무,벚나무
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
주암,2001,2001-03-20,3일,2001-04-05,1일, , 
주암,2002,2002-03-10,-7일,2002-03-26,-9일, , 
주암,2003,2003-03-10,-7일,2003-04-02,-2일, , 
주암,2004,2004-03-11,-6일,2004-03-29,-6일, , 
주암,2005,2005-03-10,-7일,2005-04-09,5일, , 
주암,2006,2006-03-15,-2일,2006-04-01,-3일, , 
주암,2007,2007-03-14,-3일,2007-03-29,-6일, , 
주암,2008,2008-03-13,-4일,2008-04-02,-2일, , 
주암,2009,2009-03-19,2일,2009-03-30,-5일, , 
주암,2010,2010-03-25,8일,2010-04-05,1일, , 
주암,2011,2011-03-22,5일, , , , 
