지점,년도,벚나무,벚나무,벚나무,벚나무,벚나무,벚나무
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
창원,2001,2001-03-08,-5일,2001-03-27,-2일, , 
창원,2002,2002-03-04,-9일,2002-03-21,-8일, , 
창원,2003,2003-02-27,-14일,2003-03-27,-2일, , 
창원,2004,2004-03-01,-12일,2004-03-22,-7일, , 
창원,2005,2005-03-14,1일,2005-04-06,8일, , 
창원,2006,2006-03-10,-3일,2006-03-27,-2일, , 
창원,2007,2007-03-15,2일,2007-03-27,-2일, , 
창원,2008,2008-03-17,4일,2008-03-27,-2일, , 
창원,2009,2009-03-10,-3일,2009-03-21,-8일, , 
창원,2010,2010-03-12,-1일,2010-03-29,0일, , 
창원,2011,2011-03-14,1일,2011-04-01,3일,2011-04-04,1일
창원,2012,2012-03-22,9일,2012-04-05,7일,2012-04-09,6일
창원,2013,2013-03-17,4일,2013-03-22,-7일,2013-03-29,-5일
창원,2014,2014-03-06,-7일,2014-03-26,-3일,2014-04-02,-1일
창원,2015,2015-03-21,8일,2015-03-28,-1일, , 
창원,2016,2016-03-21,8일,2016-03-28,-1일,2016-04-03,0일
창원,2017,2017-03-14,1일,2017-03-27,-2일,2017-04-01,-2일
창원,2018,2018-03-14,1일,2018-03-28,-1일,2018-03-31,-3일
창원,2019,2019-03-11,-2일,2019-03-21,-8일,2019-03-27,-7일
창원,2020,2020-03-09,-4일,2020-03-23,-6일,2020-03-26,-8일
창원,2021,2021-03-10,-3일,2021-03-18,-11일,2021-03-23,-11일
창원,2022,2022-03-14,1일,2022-03-27,-2일,2022-03-31,-3일
창원,2023,2023-03-11,-2일,2023-03-21,-8일,2023-03-27,-7일
창원,2024,2024-03-16,3일,2024-03-23,-6일,2024-03-31,-3일
창원,2025,2025-03-20,7일,2025-03-27,-2일,2025-04-02,-1일
