瘤痢,斥档,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
没林,2001,2001-03-24,-2老,2001-04-03,-3老, , 
没林,2002,2002-03-16,-10老,2002-03-31,-6老, , 
没林,2003,2003-03-24,-2老,2003-04-02,-4老, , 
没林,2004,2004-03-22,-4老,2004-03-30,-7老, , 
没林,2005,2005-04-01,6老,2005-04-09,3老, , 
没林,2006,2006-03-28,2老,2006-04-06,0老, , 
没林,2007,2007-03-22,-4老,2007-04-01,-5老, , 
没林,2008,2008-03-30,4老,2008-04-08,2老, , 
没林,2009,2009-03-24,-2老,2009-04-03,-3老, , 
没林,2010,2010-04-01,6老,2010-04-18,12老, , 
没林,2011,2011-03-28,2老,2011-04-14,8老, , 
没林,2012,2012-03-31,5老,2012-04-17,11老, , 
没林,2013,2013-03-30,4老,2013-04-14,8老, , 
没林,2014,2014-03-22,-4老,2014-03-29,-8老, , 
没林,2015,2015-03-28,2老,2015-04-02,-4老,2015-04-04,-3老
没林,2016,2016-03-20,-6老,2016-04-01,-5老,2016-04-03,-4老
没林,2017,2017-03-22,-4老,2017-04-04,-2老,2017-04-07,0老
没林,2018,2018-03-18,-8老,2018-04-01,-5老,2018-04-03,-4老
没林,2019,2019-03-21,-5老,2019-03-28,-9老,2019-04-06,-1老
没林,2020,2020-03-13,-13老,2020-03-26,-11老,2020-03-29,-9老
没林,2021,2021-03-12,-14老,2021-03-24,-13老,2021-03-27,-11老
没林,2022,2022-03-22,-4老,2022-04-02,-4老,2022-04-05,-2老
没林,2023,2023-03-11,-15老,2023-03-23,-14老,2023-03-26,-12老
没林,2024,2024-03-21,-5老,2024-03-31,-6老,2024-04-02,-5老
没林,2025,2025-03-24,-2老,2025-03-31,-6老,2025-04-04,-3老
