지점,년도,벚나무,벚나무,벚나무,벚나무,벚나무,벚나무
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
포항,2001,2001-03-19,3일,2001-03-22,-7일, , 
포항,2002,2002-03-12,-4일,2002-03-16,-13일, , 
포항,2003,2003-03-14,-2일,2003-03-26,-3일, , 
포항,2004,2004-03-10,-6일,2004-03-22,-7일, , 
포항,2005,2005-03-23,7일,2005-04-05,7일, , 
포항,2006,2006-03-10,-6일,2006-03-28,-1일, , 
포항,2007,2007-03-08,-8일,2007-03-23,-6일, , 
포항,2008,2008-03-13,-3일,2008-03-28,-1일, , 
포항,2009,2009-03-11,-5일,2009-03-20,-9일, , 
포항,2010,2010-03-22,6일,2010-04-03,5일, , 
포항,2011,2011-03-30,14일,2011-04-02,4일, , 
포항,2012,2012-03-29,13일,2012-04-05,7일, , 
포항,2013,2013-03-06,-10일,2013-03-20,-9일, , 
포항,2014,2014-03-20,4일,2014-03-27,-2일, , 
포항,2015,2015-03-14,-2일,2015-03-27,-2일,2015-04-10,6일
포항,2016,2016-03-17,1일,2016-03-28,-1일,2016-03-31,-4일
포항,2017,2017-03-13,-3일,2017-03-27,-2일,2017-03-31,-4일
포항,2018,2018-03-13,-3일,2018-03-27,-2일,2018-03-29,-6일
포항,2019,2019-03-09,-7일,2019-03-21,-8일,2019-03-27,-8일
포항,2020,2020-03-08,-8일,2020-03-23,-6일,2020-03-26,-9일
포항,2021,2021-03-11,-5일,2021-03-23,-6일,2021-03-25,-10일
포항,2022,2022-03-10,-6일,2022-03-27,-2일,2022-03-30,-5일
포항,2023,2023-03-08,-8일,2023-03-16,-13일,2023-03-21,-14일
포항,2024,2024-03-15,-1일,2024-03-29,0일,2024-04-02,-2일
포항,2025,2025-03-21,5일,2025-03-26,-3일,2025-03-27,-8일
