지점,년도,벚나무,벚나무,벚나무,벚나무,벚나무,벚나무
,,발아,발아(평비),개화,개화(평비),만발,만발(평비)
흑산도,2001,2001-03-15,-3일,2001-04-08,2일, , 
흑산도,2002,2002-03-03,-15일,2002-04-01,-5일, , 
흑산도,2003,2003-03-04,-14일,2003-03-30,-7일, , 
흑산도,2004,2004-03-08,-10일,2004-03-26,-11일, , 
흑산도,2005,2005-04-03,16일,2005-04-12,6일, , 
흑산도,2006,2006-03-28,10일,2006-04-09,3일, , 
흑산도,2007,2007-03-20,2일,2007-04-05,-1일, , 
흑산도,2008,2008-03-14,-4일,2008-04-01,-5일, , 
흑산도,2009,2009-03-20,2일,2009-04-02,-4일, , 
흑산도,2010,2010-03-17,-1일,2010-04-04,-2일, , 
흑산도,2011,2011-03-21,3일,2011-04-13,7일, , 
흑산도,2012,2012-03-30,12일,2012-04-17,11일, , 
흑산도,2013,2013-03-22,4일,2013-04-10,4일, , 
흑산도,2014,2014-03-22,4일,2014-04-03,-3일, , 
흑산도,2015,2015-03-22,4일,2015-03-31,-6일,2015-04-15, 
흑산도,2016,2016-03-28,10일,2016-04-03,-3일,2016-04-08, 
흑산도,2017,2017-03-21,3일,2017-04-06,0일,2017-04-10, 
흑산도,2018,2018-03-30,12일,2018-04-05,-1일,2018-04-11, 
흑산도,2019,2019-03-12,-6일,2019-04-04,-2일,2019-04-10, 
흑산도,2020,2020-03-24,6일,2020-04-08,2일,2020-04-16, 
흑산도,2021,2021-03-28,10일,2021-04-01,-5일,2021-04-11, 
흑산도,2022,2022-03-18,0일,2022-04-08,2일,2022-04-13, 
흑산도,2023,2023-03-20,2일,2023-04-02,-4일,2023-04-06, 
흑산도,2024,2024-03-15,-3일,2024-03-31,-6일,2024-04-04, 
흑산도,2025,2025-03-21,3일,2025-04-06,0일,2025-04-12, 
