지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
165,목포,2001-02-01,-0.2,-3.6,5.3,15.9,11.3,39,55.5,5.1,0.0,5.8
165,목포,2001-02-02,-1.6,-6.6,3.1,6.9,2.6,24,55.0,9.5,0.0,0.3
165,목포,2001-02-03,1.9,-2.9,6.9,4.5,2.3,23,59.3,5.5,0.0,6.0
165,목포,2001-02-04,4.3,0.7,9.8,5.9,2.0,32,62.6,0.5,0.0,6.1
165,목포,2001-02-05,3.9,-0.8,9.9,7.0,3.3,48,72.5,8.0,0.0,4.3
165,목포,2001-02-06,4.2,2.3,8.5,8.9,5.5,51,70.0,5.8,0.0,6.9
165,목포,2001-02-07,1.4,-1.1,4.9,14.5,9.5,39,64.0,6.9,0.0,6.5
165,목포,2001-02-08,-1.0,-3.5,2.5,13.0,7.0,25,50.6,9.5,0.0,3.1
165,목포,2001-02-09,1.0,-3.8,6.3,7.4,3.2,45,65.5,6.2,0.0,4.0
165,목포,2001-02-10,2.5,-1.4,8.4,5.9,2.2,20,61.4,9.4,0.0,1.5
165,목포,2001-02-11,1.6,-1.6,6.0,8.6,3.4,36,50.8,2.5,0.0,6.3
165,목포,2001-02-12,-0.3,-2.2,2.0,8.9,5.4,32,46.0,0.0,0.0,8.5
165,목포,2001-02-13,-0.4,-3.0,3.8,13.3,7.6,24,44.5,6.7,0.0,3.5
165,목포,2001-02-14,-0.9,-5.2,3.8,8.0,3.3,31,59.1,10.0,4.1,1.6
165,목포,2001-02-15,2.2,-2.9,8.7,13.4,6.8,40,68.9,4.4,0.1,4.9
165,목포,2001-02-16,-0.5,-4.1,2.6,13.0,8.0,48,59.5,6.1,1.2,4.9
165,목포,2001-02-17,0.2,-5.6,5.1,5.6,2.4,40,55.4,9.2,0.0,5.1
165,목포,2001-02-18,3.9,0.8,9.9,4.7,2.3,47,67.1,2.3,0.0,6.6
