지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
136,안동,2001-02-01,-3.2,-8.7,0.3,7.9,2.3,20,44.6,9.3,0.9,0.9
136,안동,2001-02-02,-5.2,-13.4,0.6,5.4,1.4,19,45.8,9.0,0.0,1.4
136,안동,2001-02-03,-1.2,-6.0,4.4,3.6,0.6,55,74.4,4.2,0.0,5.6
136,안동,2001-02-04,0.5,-3.9,7.9,2.0,0.5,31,70.9,3.7,0.0,6.0
136,안동,2001-02-05,1.6,-6.6,9.5,2.4,0.6,25,63.8,8.3,0.0,6.0
136,안동,2001-02-06,3.5,0.3,7.8,3.1,0.9,57,71.0,0.0,0.0,8.8
136,안동,2001-02-07,0.9,-5.2,5.8,6.8,2.0,28,58.1,5.4,0.0,6.6
136,안동,2001-02-08,-4.7,-8.9,0.3,5.3,2.0,17,37.5,9.9,0.0,0.0
136,안동,2001-02-09,-3.2,-10.6,2.9,5.3,1.2,41,59.5,7.7,0.0,2.5
136,안동,2001-02-10,-1.6,-6.9,4.2,4.7,1.3,23,44.0,9.1,0.0,0.0
136,안동,2001-02-11,-2.4,-9.6,3.2,4.1,1.3,16,44.9,6.3,0.0,5.0
136,안동,2001-02-12,-1.4,-3.8,2.4,2.6,1.2,12,25.9,1.0,0.0,7.8
136,안동,2001-02-13,-2.7,-6.9,2.5,5.4,1.2,18,35.9,4.5,0.0,4.5
136,안동,2001-02-14,-3.6,-9.2,1.0,8.5,2.1,18,37.9,9.4,0.0,0.0
136,안동,2001-02-15,-2.3,-8.8,5.9,5.6,1.4,32,69.6,3.0,3.8,6.3
136,안동,2001-02-16,-4.4,-7.6,0.0,7.0,2.4,25,49.1,10.3,3.6,0.4
136,안동,2001-02-17,-3.8,-12.7,1.8,4.4,1.1,40,59.1,5.1,0.0,6.0
136,안동,2001-02-18,1.6,-4.3,8.4,4.6,1.0,40,61.0,8.6,0.0,3.0
136,안동,2001-02-19,3.2,-4.7,11.7,4.6,1.0,26,60.9,6.8,0.0,2.9
136,안동,2001-02-20,3.5,-4.2,13.4,2.5,0.6,35,66.4,9.5,0.0,1.8
136,안동,2001-02-21,1.7,-3.0,7.6,4.1,0.7,66,82.8,1.6,0.0,5.0
136,안동,2001-02-22,3.7,-2.5,14.8,3.7,0.7,27,72.1,6.1,0.0,3.8
136,안동,2001-02-23,1.1,-2.1,3.6,2.8,0.8,74,84.9,0.0,0.0,8.8
136,안동,2001-02-24,0.1,-0.9,1.7,4.3,1.0,69,84.0,0.0,2.5,9.3
136,안동,2001-02-25,-1.6,-5.8,2.8,7.6,2.0,21,46.9,10.5,0.0,0.0
136,안동,2001-02-26,-0.5,-8.0,8.6,4.5,0.9,23,56.3,9.9,0.0,2.0
136,안동,2001-02-27,0.9,-6.7,8.0,2.5,0.6,31,70.4,4.5,0.0,6.8
136,안동,2001-02-28,5.3,1.2,12.0,5.2,0.8,46,74.3,4.1,0.0,8.4
136,안동,2001-03-01,3.1,-1.1,7.6,5.8,0.8,49,73.0,0.0,0.0,7.3
136,안동,2001-03-02,3.2,-3.5,11.8,3.3,0.8,27,65.9,8.5,0.0,5.1
136,안동,2001-03-03,4.0,-0.8,12.7,9.3,1.4,32,65.1,1.2,0.0,8.6
