지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
168,여수,2001-02-01,1.6,-2.3,6.6,11.6,7.5,15,30.6,6.4,0.0,5.6
168,여수,2001-02-02,0.2,-4.7,6.1,11.3,5.3,11,26.6,9.1,0.0,0.6
168,여수,2001-02-03,3.4,-0.5,6.5,7.8,2.5,29,48.8,7.0,0.0,4.4
168,여수,2001-02-04,6.3,4.0,8.4,7.6,5.7,33,49.6,0.8,0.0,6.6
168,여수,2001-02-05,7.6,3.7,12.8,7.5,4.6,31,54.4,8.3,0.0,5.1
168,여수,2001-02-06,8.5,7.1,11.1,5.9,3.2,40,55.3,2.5,0.0,8.6
168,여수,2001-02-07,4.8,-1.5,8.6,15.0,7.4,24,38.8,5.6,0.0,4.6
168,여수,2001-02-08,-0.6,-4.1,4.3,12.0,8.0,12,26.9,9.4,0.0,0.0
168,여수,2001-02-09,2.1,-2.8,7.5,6.2,4.1,29,46.4,7.3,0.0,2.9
168,여수,2001-02-10,3.6,1.2,7.9,5.8,2.8,23,43.6,9.0,0.0,0.9
168,여수,2001-02-11,4.2,0.5,7.7,7.1,2.6,26,43.5,4.0,0.0,5.0
168,여수,2001-02-12,3.7,2.0,5.7,5.0,2.9,20,36.9,0.2,0.0,10.0
168,여수,2001-02-13,2.9,0.1,9.0,10.5,4.1,9,22.4,6.6,0.0,3.0
168,여수,2001-02-14,1.0,-1.9,5.0,10.2,5.7,11,29.9,9.3,0.0,0.0
168,여수,2001-02-15,3.3,-1.9,9.0,15.7,6.5,34,52.5,6.4,0.0,3.3
168,여수,2001-02-16,0.3,-2.6,4.4,12.8,8.2,21,39.1,9.1,0.0,0.3
168,여수,2001-02-17,1.2,-3.5,7.0,8.1,4.0,28,44.8,8.7,0.0,1.4
168,여수,2001-02-18,6.5,3.1,10.6,8.9,4.1,41,53.3,3.6,0.0,5.0
168,여수,2001-02-19,7.8,3.2,14.0,6.8,2.7,30,53.9,9.0,0.0,0.3
