지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
146,전주,2001-02-01,-0.7,-5.2,4.7,6.9,3.9,21,40.0,9.1,0.0,1.5
146,전주,2001-02-02,-2.8,-8.8,2.5,3.9,1.1,18,53.3,9.1,0.0,0.0
146,전주,2001-02-03,3.1,-2.5,8.1,3.9,1.5,38,60.6,5.5,0.0,7.0
146,전주,2001-02-04,3.9,-0.3,10.6,3.6,1.0,33,64.1,3.1,0.0,6.3
146,전주,2001-02-05,4.3,-2.1,10.8,3.5,1.0,33,63.1,8.7,0.0,4.5
146,전주,2001-02-06,4.3,1.3,9.6,3.9,1.5,42,67.0,6.6,0.0,5.1
146,전주,2001-02-07,0.9,-3.3,5.7,5.2,2.2,32,63.8,5.9,0.0,4.0
146,전주,2001-02-08,-2.8,-7.1,1.9,5.1,2.3,16,44.4,9.6,0.0,0.0
146,전주,2001-02-09,-0.6,-6.4,5.4,5.3,1.4,46,66.0,3.7,0.0,3.3
146,전주,2001-02-10,0.6,-4.9,7.0,3.4,1.0,15,56.5,9.3,0.0,0.4
146,전주,2001-02-11,-0.2,-4.3,4.4,4.5,1.6,20,46.0,1.3,0.0,7.1
146,전주,2001-02-12,-1.1,-2.9,2.0,4.0,1.6,20,35.8,0.0,0.0,8.6
146,전주,2001-02-13,-1.6,-4.1,3.8,5.8,2.1,15,35.6,4.1,0.0,3.8
146,전주,2001-02-14,-1.7,-6.1,3.0,5.3,1.8,19,45.6,9.5,0.0,1.3
146,전주,2001-02-15,1.6,-4.4,8.9,9.7,3.9,32,63.0,3.3,0.0,7.0
146,전주,2001-02-16,-1.3,-5.2,2.5,5.5,3.1,33,49.9,9.8,0.0,0.5
146,전주,2001-02-17,-0.6,-7.1,5.8,3.8,1.2,38,60.5,6.6,0.0,5.8
146,전주,2001-02-18,4.2,0.0,11.0,2.7,0.8,40,61.3,5.2,0.0,4.6
146,전주,2001-02-19,4.1,-1.4,12.8,4.4,1.1,33,74.5,8.4,0.0,1.6
146,전주,2001-02-20,6.4,-1.6,15.4,4.1,1.0,37,69.5,8.4,0.0,3.4
