지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
131,청주,2001-02-01,-2.8,-6.8,2.4,6.7,3.0,26,48.1,9.0,0.0,2.4
131,청주,2001-02-02,-3.9,-10.1,1.8,3.6,1.4,20,51.1,8.5,0.0,2.6
131,청주,2001-02-03,0.5,-3.1,4.8,2.4,0.4,67,82.8,0.3,0.1,9.0
131,청주,2001-02-04,1.9,-1.4,7.7,3.0,0.7,43,77.6,4.2,0.0,6.1
131,청주,2001-02-05,1.9,-2.9,7.8,4.3,0.9,43,72.1,7.1,0.0,3.9
131,청주,2001-02-06,3.3,0.4,8.5,2.6,1.2,37,61.4,7.3,0.0,7.6
131,청주,2001-02-07,-0.5,-5.1,2.9,5.6,2.3,32,57.9,7.0,0.0,5.0
131,청주,2001-02-08,-3.8,-8.4,0.8,4.6,1.7,19,42.5,9.6,0.0,1.1
131,청주,2001-02-09,-1.2,-5.9,3.5,4.3,1.4,49,73.3,2.9,0.2,5.0
131,청주,2001-02-10,-0.8,-5.2,4.7,4.0,1.0,28,58.1,8.8,0.0,1.4
131,청주,2001-02-11,-1.3,-4.2,2.9,3.1,1.3,15,39.8,3.8,0.0,5.9
131,청주,2001-02-12,-2.6,-4.9,2.3,4.0,1.6,20,39.5,2.2,0.0,8.6
131,청주,2001-02-13,-3.0,-5.6,2.6,4.8,1.7,19,41.4,4.2,0.0,4.1
131,청주,2001-02-14,-2.7,-6.9,2.1,4.9,1.7,21,48.0,9.1,0.0,0.9
131,청주,2001-02-15,-0.2,-5.3,6.1,8.1,2.6,49,72.1,0.0,0.0,8.9
131,청주,2001-02-16,-3.2,-5.6,0.4,6.6,2.5,30,52.8,9.5,0.0,1.8
131,청주,2001-02-17,-1.2,-6.3,3.8,3.1,0.8,45,63.0,3.4,0.0,8.3
131,청주,2001-02-18,3.2,-2.1,10.0,3.5,0.8,39,66.1,8.6,0.0,5.3
131,청주,2001-02-19,4.5,0.2,10.8,3.4,1.0,41,67.1,6.1,0.0,5.9
131,청주,2001-02-20,4.4,-2.9,13.2,2.0,0.6,40,69.8,7.4,0.0,2.4
