지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
138,포항,2001-02-01,1.5,-3.5,5.8,6.6,2.6,13,29.5,9.4,0.0,2.1
138,포항,2001-02-02,-1.1,-5.9,4.6,5.9,2.1,13,24.4,9.3,0.0,0.0
138,포항,2001-02-03,3.2,-1.3,8.4,3.9,1.2,32,44.8,8.0,0.0,5.4
138,포항,2001-02-04,4.9,1.7,10.4,3.3,1.1,36,57.4,0.9,0.0,7.9
138,포항,2001-02-05,6.1,1.0,11.3,4.4,1.5,56,70.4,5.1,0.0,4.4
138,포항,2001-02-06,6.8,4.6,9.5,4.9,2.1,62,78.6,0.0,0.0,9.6
138,포항,2001-02-07,5.6,0.2,10.8,4.8,1.7,26,54.1,3.9,0.0,6.6
138,포항,2001-02-08,-0.7,-4.4,4.6,6.5,2.7,12,26.5,10.2,0.0,0.0
138,포항,2001-02-09,1.7,-3.2,6.7,5.3,2.0,29,38.6,7.4,0.0,0.9
138,포항,2001-02-10,2.7,-1.0,7.7,4.7,1.4,15,34.0,9.5,0.0,1.0
138,포항,2001-02-11,2.5,-1.2,8.0,4.2,1.5,17,30.1,7.2,0.0,5.4
138,포항,2001-02-12,1.9,0.3,3.8,4.2,1.6,13,17.1,0.0,0.0,9.5
138,포항,2001-02-13,2.1,-0.6,7.9,4.7,1.7,10,29.3,5.0,0.0,5.4
138,포항,2001-02-14,0.0,-3.5,4.9,6.9,2.3,13,27.1,10.2,0.0,0.0
138,포항,2001-02-15,3.0,-2.0,9.0,7.1,2.6,21,44.8,5.5,0.0,1.9
138,포항,2001-02-16,0.3,-2.4,4.4,7.7,2.8,17,32.0,10.4,0.0,0.0
138,포항,2001-02-17,1.5,-4.4,6.7,7.4,2.9,24,35.6,5.5,0.0,5.4
138,포항,2001-02-18,6.9,2.0,12.7,5.4,2.2,24,41.5,9.5,0.0,2.1
138,포항,2001-02-19,8.6,4.5,14.9,5.7,2.2,25,54.0,8.0,0.0,4.8
138,포항,2001-02-20,8.4,3.7,14.9,8.2,2.1,42,63.1,7.1,0.0,3.6
138,포항,2001-02-21,7.1,4.6,10.5,5.8,2.0,68,77.3,1.7,0.0,5.0
138,포항,2001-02-22,10.8,4.2,18.4,5.6,2.0,14,42.8,10.2,0.0,0.0
138,포항,2001-02-23,7.3,5.9,9.7,8.0,2.7,46,77.9,0.0,0.0,8.4
138,포항,2001-02-24,3.2,1.2,6.4,7.2,2.5,79,87.9,0.0,0.0,8.8
138,포항,2001-02-25,2.0,-1.7,6.6,4.9,1.9,19,39.3,10.7,0.0,0.0
138,포항,2001-02-26,4.6,-0.5,11.5,6.1,2.2,21,38.0,7.8,0.0,2.4
138,포항,2001-02-27,8.0,1.8,13.4,5.8,1.8,18,42.0,4.4,0.0,6.5
138,포항,2001-02-28,9.0,6.8,12.2,5.4,1.8,52,75.4,4.3,0.0,7.4
138,포항,2001-03-01,7.5,4.2,11.7,5.0,1.7,48,66.1,0.1,0.0,6.9
138,포항,2001-03-02,7.1,2.3,12.6,7.0,1.7,37,59.6,8.5,0.0,1.9
138,포항,2001-03-03,9.5,3.3,15.0,10.4,2.4,44,56.0,0.7,0.0,8.6
138,포항,2001-03-04,1.6,-0.6,4.6,9.4,4.0,31,45.0,6.5,0.8,3.0
138,포항,2001-03-05,5.4,-0.4,11.0,7.2,2.6,17,29.9,9.4,0.0,1.8
138,포항,2001-03-06,10.0,3.3,17.3,7.2,2.4,19,32.4,7.0,0.0,5.9
