지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
169,흑산도,2001-02-01,0.9,-0.9,4.8,21.9,14.1,39,57.9,2.5,0.0,7.8
169,흑산도,2001-02-02,0.5,-0.9,3.8,12.7,4.8,45,58.5,8.2,0.0,3.0
169,흑산도,2001-02-03,3.2,0.3,6.8,5.0,2.5,41,61.4,5.9,0.0,4.9
169,흑산도,2001-02-04,4.4,3.2,5.7,8.1,5.5,44,68.0,0.5,0.0,6.4
169,흑산도,2001-02-05,4.1,3.4,4.6,10.9,7.4,64,73.5,6.4,0.0,5.3
169,흑산도,2001-02-06,3.9,3.0,4.8,13.3,9.3,66,73.1,3.4,0.0,9.0
169,흑산도,2001-02-07,1.5,-0.4,4.0,18.9,12.4,55,65.8,1.1,0.0,7.1
169,흑산도,2001-02-08,-0.2,-1.3,1.1,16.7,7.6,51,59.6,2.8,0.0,6.8
169,흑산도,2001-02-09,3.4,-1.1,7.0,6.8,3.5,44,57.0,6.1,0.0,4.8
169,흑산도,2001-02-10,4.6,2.3,9.2,6.2,3.6,44,56.3,9.0,0.0,0.4
169,흑산도,2001-02-11,2.3,1.3,3.6,10.5,6.8,44,56.9,2.4,0.0,5.4
169,흑산도,2001-02-12,0.5,-0.1,1.6,13.1,10.4,37,56.5,0.0,0.0,8.1
169,흑산도,2001-02-13,0.5,-0.3,1.5,16.0,10.6,42,57.6,7.3,0.0,5.4
169,흑산도,2001-02-14,1.0,-0.5,2.6,13.5,5.8,43,60.8,9.6,0.0,3.0
169,흑산도,2001-02-15,4.9,1.0,9.2,14.7,8.9,49,63.6,2.6,0.0,5.3
169,흑산도,2001-02-16,0.4,-0.9,2.5,20.2,11.0,42,62.9,3.8,0.0,5.8
169,흑산도,2001-02-17,2.0,-1.3,7.6,6.4,3.8,46,64.8,6.4,0.0,3.8
169,흑산도,2001-02-18,4.6,2.5,8.1,5.2,3.1,66,80.4,1.6,0.0,7.5
169,흑산도,2001-02-19,4.7,3.7,7.2,10.6,6.0,68,83.0,6.0,0.0,3.0
169,흑산도,2001-02-20,6.4,2.9,12.3,8.8,4.7,48,70.5,9.7,0.0,1.8
169,흑산도,2001-02-21,6.2,4.6,8.3,7.8,3.8,73,87.9,0.1,0.0,7.1
169,흑산도,2001-02-22,5.3,3.1,8.5,6.3,3.2,52,78.6,10.2,0.0,0.8
169,흑산도,2001-02-23,5.3,4.5,8.0,14.7,6.9,69,90.9,0.0,0.0,9.1
169,흑산도,2001-02-24,3.0,1.5,4.6,21.6,14.2,49,74.1,1.1,0.0,7.9
169,흑산도,2001-02-25,1.9,0.8,3.7,20.6,8.9,39,58.3,10.2,0.0,2.8
169,흑산도,2001-02-26,2.6,1.1,4.3,5.7,3.6,51,67.8,5.8,0.0,3.8
169,흑산도,2001-02-27,6.2,2.3,11.5,12.4,5.3,71,88.3,0.0,0.0,8.5
169,흑산도,2001-02-28,3.9,3.3,8.1,16.6,10.0,73,82.5,2.0,0.0,7.4
169,흑산도,2001-03-01,6.1,3.7,9.0,12.1,6.0,49,73.3,10.1,0.0,2.5
169,흑산도,2001-03-02,6.0,4.5,11.1,6.6,3.9,64,84.8,3.5,0.0,4.1
169,흑산도,2001-03-03,6.6,1.7,11.7,14.1,6.8,34,71.1,0.3,0.0,7.4
169,흑산도,2001-03-04,2.5,-0.1,5.1,15.6,10.0,37,50.9,5.2,0.0,7.1
169,흑산도,2001-03-05,5.0,1.5,9.6,11.6,5.5,30,56.9,9.3,0.0,3.0
169,흑산도,2001-03-06,7.6,4.8,13.7,15.3,9.4,46,70.8,4.9,0.0,5.6
169,흑산도,2001-03-07,1.1,-1.3,4.8,19.2,12.6,51,64.9,3.3,0.0,6.0
169,흑산도,2001-03-08,-0.1,-2.3,1.6,17.7,11.3,41,62.9,3.5,0.4,6.4
169,흑산도,2001-03-09,3.6,-2.2,7.4,17.5,7.7,36,54.8,10.0,0.0,3.6
169,흑산도,2001-03-10,4.4,1.4,8.7,14.7,9.6,51,65.9,8.6,0.0,3.5
169,흑산도,2001-03-11,1.9,0.7,4.7,12.8,6.8,51,63.4,8.5,0.0,3.0
169,흑산도,2001-03-12,3.9,2.2,5.7,15.1,7.9,51,61.9,10.2,0.0,2.1
169,흑산도,2001-03-13,6.2,2.0,11.2,9.2,4.6,41,69.0,11.1,0.0,0.8
169,흑산도,2001-03-14,8.9,4.8,13.8,16.7,10.5,69,82.8,6.2,0.0,3.1
169,흑산도,2001-03-15,4.1,3.4,5.6,17.6,11.2,44,62.5,11.2,0.0,1.0
169,흑산도,2001-03-16,3.5,2.8,4.6,10.8,6.5,50,68.1,0.2,0.0,7.1
169,흑산도,2001-03-17,4.7,4.0,5.4,8.6,4.3,79,92.1,0.0,0.0,9.3
169,흑산도,2001-03-18,9.0,4.5,13.0,6.2,3.7,50,73.0,9.9,0.0,2.3
169,흑산도,2001-03-19,11.9,7.3,16.4,10.0,6.2,48,65.4,9.8,0.0,0.8
169,흑산도,2001-03-20,12.6,6.7,17.4,11.0,6.2,41,60.5,8.6,0.0,0.5
169,흑산도,2001-03-21,11.1,7.5,16.0,10.8,5.0,41,65.0,9.9,0.0,1.4
169,흑산도,2001-03-22,8.3,5.0,17.6,16.0,10.0,34,70.5,8.5,0.0,1.6
169,흑산도,2001-03-23,9.3,5.0,15.9,9.7,4.6,22,48.1,10.3,0.0,2.0
169,흑산도,2001-03-24,11.4,7.3,15.4,6.6,4.5,19,46.0,4.9,0.0,4.9
169,흑산도,2001-03-25,8.7,4.6,13.5,16.4,6.8,30,64.3,1.6,0.0,5.5
169,흑산도,2001-03-26,4.1,3.1,5.3,14.0,7.8,41,52.5,10.1,0.0,1.1
169,흑산도,2001-03-27,4.9,3.5,7.3,11.3,6.4,44,67.1,4.5,0.0,6.8
169,흑산도,2001-03-28,3.9,2.9,5.2,17.0,10.0,51,70.5,4.9,0.0,6.8
169,흑산도,2001-03-29,5.1,1.4,8.4,17.8,5.2,40,66.8,8.2,0.0,3.8
169,흑산도,2001-03-30,4.9,3.8,8.3,14.6,6.4,55,77.4,0.2,0.0,7.8
169,흑산도,2001-03-31,5.5,4.4,6.6,16.3,9.5,46,54.3,10.9,0.0,3.3
169,흑산도,2001-04-01,7.1,4.3,11.1,7.5,4.6,37,64.6,11.2,0.0,0.9
169,흑산도,2001-04-02,9.6,5.1,14.3,10.6,6.3,64,80.3,7.2,0.0,5.4
169,흑산도,2001-04-03,6.7,5.6,9.3,13.8,9.3,49,65.1,11.6,0.0,0.8
169,흑산도,2001-04-04,6.6,4.7,9.5,12.8,4.5,54,74.5,11.6,0.0,0.0
