일시,지점명,지점,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),합계 일조시간(hr),월
2001-02-01,부산광역시,159.0,3.2,-1.9,7.6,,7.6,2.0
2001-02-02,부산광역시,159.0,0.9,-4.4,6.2,,8.0,2.0
2001-02-03,부산광역시,159.0,5.2,1.0,10.2,,7.1,2.0
2001-02-04,부산광역시,159.0,7.4,4.9,10.0,,0.0,2.0
2001-02-05,부산광역시,159.0,9.5,5.9,14.7,,7.3,2.0
2001-02-06,부산광역시,159.0,8.6,7.5,10.4,0.0,0.0,2.0
2001-02-07,부산광역시,159.0,7.1,2.6,11.5,0.2,2.8,2.0
2001-02-08,부산광역시,159.0,0.6,-3.0,6.4,,8.7,2.0
2001-02-09,부산광역시,159.0,2.3,-2.4,7.4,,7.0,2.0
2001-02-10,부산광역시,159.0,4.7,0.8,9.8,,7.3,2.0
2001-02-11,부산광역시,159.0,4.9,2.3,8.4,,4.7,2.0
2001-02-12,부산광역시,159.0,3.9,1.9,6.7,,0.0,2.0
2001-02-13,부산광역시,159.0,4.0,1.0,10.3,,3.3,2.0
2001-02-14,부산광역시,159.0,1.1,-1.9,5.6,,8.6,2.0
2001-02-15,부산광역시,159.0,4.1,-1.2,9.6,0.2,6.5,2.0
2001-02-16,부산광역시,159.0,1.8,-1.1,6.3,,8.1,2.0
2001-02-17,부산광역시,159.0,2.2,-3.2,8.4,,7.0,2.0
2001-02-18,부산광역시,159.0,7.4,2.8,13.4,,3.9,2.0
2001-02-19,부산광역시,159.0,9.5,4.9,15.9,,7.8,2.0
2001-02-20,부산광역시,159.0,10.1,7.1,15.1,,4.3,2.0
2001-02-21,부산광역시,159.0,8.3,6.9,11.7,1.5,0.0,2.0
2001-02-22,부산광역시,159.0,11.0,5.2,17.1,,8.5,2.0
2001-02-23,부산광역시,159.0,8.7,6.4,11.2,16.9,0.0,2.0
2001-02-24,부산광역시,159.0,4.9,2.3,7.3,3.2,0.0,2.0
2001-02-25,부산광역시,159.0,3.0,-1.1,7.7,,9.7,2.0
2001-02-26,부산광역시,159.0,5.5,1.0,11.1,,4.0,2.0
2001-02-27,부산광역시,159.0,9.5,4.5,13.8,4.8,0.1,2.0
2001-02-28,부산광역시,159.0,10.9,8.4,14.5,26.5,2.0,2.0
2001-03-01,부산광역시,159.0,8.3,6.0,11.9,0.4,0.3,3.0
2001-03-02,부산광역시,159.0,8.7,4.0,15.4,,6.3,3.0
2001-03-03,부산광역시,159.0,10.4,3.9,14.3,1.7,0.1,3.0
2001-03-04,부산광역시,159.0,2.6,0.4,4.9,0.0,5.0,3.0
2001-03-05,부산광역시,159.0,5.7,-0.2,11.5,,7.9,3.0
2001-03-06,부산광역시,159.0,10.8,6.2,16.1,,1.6,3.0
2001-03-07,부산광역시,159.0,4.7,0.5,9.7,,7.3,3.0
2001-03-08,부산광역시,159.0,0.0,-1.8,4.6,0.0,5.1,3.0
2001-03-09,부산광역시,159.0,2.5,-3.3,8.6,,8.9,3.0
2001-03-10,부산광역시,159.0,7.5,3.1,15.4,,8.1,3.0
2001-03-11,부산광역시,159.0,6.2,2.8,10.5,0.0,2.3,3.0
2001-03-12,부산광역시,159.0,6.7,3.2,11.3,,8.3,3.0
2001-03-13,부산광역시,159.0,8.1,2.6,13.4,,8.8,3.0
2001-03-14,부산광역시,159.0,13.5,6.8,17.9,,3.6,3.0
2001-03-15,부산광역시,159.0,11.8,9.0,16.1,,8.6,3.0
2001-03-16,부산광역시,159.0,11.3,6.6,16.0,,5.8,3.0
2001-03-17,부산광역시,159.0,10.1,8.3,13.6,1.6,0.6,3.0
2001-03-18,부산광역시,159.0,12.6,7.8,19.0,,9.1,3.0
2001-03-19,부산광역시,159.0,13.9,10.4,19.6,,8.7,3.0
2001-03-20,부산광역시,159.0,14.7,10.6,18.6,,7.5,3.0
2001-03-21,부산광역시,159.0,16.4,11.7,21.2,,9.8,3.0
2001-03-22,부산광역시,159.0,16.4,12.2,21.6,,7.7,3.0
2001-03-23,부산광역시,159.0,14.0,11.1,20.1,,6.9,3.0
2001-03-24,부산광역시,159.0,14.6,10.2,20.1,,8.3,3.0
2001-03-25,부산광역시,159.0,16.7,13.2,22.7,0.0,4.8,3.0
2001-03-26,부산광역시,159.0,10.9,7.6,15.8,,8.8,3.0
2001-03-27,부산광역시,159.0,9.2,5.7,14.0,,5.1,3.0
2001-03-28,부산광역시,159.0,9.1,5.7,13.6,0.8,1.9,3.0
2001-03-29,부산광역시,159.0,7.4,4.8,12.6,0.0,7.9,3.0
2001-03-30,부산광역시,159.0,4.1,2.6,7.9,1.6,0.0,3.0
2001-03-31,부산광역시,159.0,7.7,2.7,13.7,,8.2,3.0
2001-04-01,부산광역시,159.0,9.2,3.8,14.2,,8.9,4.0
2001-04-02,부산광역시,159.0,12.9,8.1,17.9,,9.6,4.0
2001-04-03,부산광역시,159.0,11.8,8.1,16.5,,5.6,4.0
2001-04-04,부산광역시,159.0,11.9,6.9,16.7,,9.7,4.0
2001-04-05,부산광역시,159.0,13.5,9.8,18.4,,7.8,4.0
2001-04-06,부산광역시,159.0,14.3,10.0,21.0,,7.5,4.0
2001-04-07,부산광역시,159.0,14.8,11.4,20.5,,8.9,4.0
2001-04-08,부산광역시,159.0,16.6,11.6,22.4,,4.9,4.0
2001-04-09,부산광역시,159.0,19.7,16.6,25.2,,6.5,4.0
2001-04-10,부산광역시,159.0,18.9,15.8,24.9,,7.3,4.0
2001-04-11,부산광역시,159.0,15.1,7.0,20.7,5.4,0.0,4.0
2001-04-12,부산광역시,159.0,11.5,6.4,17.1,,8.5,4.0
2001-04-13,부산광역시,159.0,13.8,8.5,18.4,,9.6,4.0
2001-04-14,부산광역시,159.0,15.7,11.1,21.3,2.6,8.4,4.0
