지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
90,속초,2001-02-01,-2.5,-7.3,3.9,6.5,4.1,12,28.0,8.9,0.0,0.6
90,속초,2001-02-02,-3.3,-8.4,-0.2,9.1,4.3,17,34.0,8.3,0.0,0.5
90,속초,2001-02-03,-0.1,-3.4,3.4,2.9,1.9,33,56.4,2.3,0.0,5.4
90,속초,2001-02-04,0.2,-2.5,3.6,2.8,1.9,61,73.6,3.2,0.0,7.4
90,속초,2001-02-05,1.5,-1.1,5.7,3.2,1.9,67,76.3,1.5,0.0,9.4
90,속초,2001-02-06,0.7,0.0,1.4,4.2,2.6,77,87.9,0.0,6.3,10.0
90,속초,2001-02-07,-0.2,-3.5,2.5,7.6,3.2,36,75.9,3.0,6.7,5.8
90,속초,2001-02-08,-3.0,-7.1,1.4,5.6,2.7,17,31.9,9.4,2.0,0.1
90,속초,2001-02-09,0.0,-4.2,2.9,5.6,3.7,24,44.0,6.0,1.5,3.5
90,속초,2001-02-10,-0.8,-5.9,3.4,5.3,3.0,15,24.0,8.9,0.4,0.0
90,속초,2001-02-11,-2.0,-4.4,1.3,5.5,2.7,11,37.6,9.2,0.0,1.5
90,속초,2001-02-12,-1.1,-4.6,3.0,2.5,1.8,13,28.6,6.9,0.0,4.4
90,속초,2001-02-13,-1.2,-3.5,2.7,4.3,2.5,20,30.4,4.7,0.0,5.8
90,속초,2001-02-14,-1.8,-4.6,1.7,8.1,5.0,15,22.4,9.2,0.0,0.4
90,속초,2001-02-15,-1.2,-3.1,0.8,5.0,1.8,25,71.8,0.7,7.6,9.1
90,속초,2001-02-16,-1.9,-6.3,2.4,6.1,2.6,22,43.9,8.9,7.8,1.9
90,속초,2001-02-17,0.6,-6.1,4.0,8.6,3.7,22,33.9,3.8,1.6,6.4
90,속초,2001-02-18,5.7,2.5,9.3,8.9,3.4,31,46.6,4.9,1.2,5.0
90,속초,2001-02-19,5.1,0.5,10.1,4.5,2.0,27,56.8,7.6,0.0,4.1
90,속초,2001-02-20,4.2,0.2,9.4,2.5,1.9,59,75.4,6.9,0.0,4.5
90,속초,2001-02-21,9.7,3.2,14.6,7.2,3.6,21,39.5,3.4,0.0,4.4
90,속초,2001-02-22,10.2,4.9,16.2,4.2,2.5,20,40.8,9.2,0.0,0.5
90,속초,2001-02-23,2.8,-0.3,9.5,7.3,4.6,45,83.6,0.0,6.5,9.9
90,속초,2001-02-24,-1.1,-2.4,0.0,6.2,3.2,79,90.4,0.0,27.4,9.5
90,속초,2001-02-25,-0.3,-5.2,5.4,5.0,3.3,20,42.3,8.3,27.4,0.5
90,속초,2001-02-26,3.0,-5.2,10.2,5.4,2.0,21,37.5,9.8,12.0,0.0
90,속초,2001-02-27,5.4,-0.8,10.4,5.3,1.7,21,44.0,1.8,7.6,6.8
90,속초,2001-02-28,5.2,1.6,9.1,5.0,2.2,37,64.4,6.6,2.5,5.1
90,속초,2001-03-01,4.3,1.3,8.3,4.6,2.3,55,74.5,0.0,0.0,8.4
90,속초,2001-03-02,5.2,-0.8,9.8,5.9,2.6,47,66.8,5.6,0.0,3.1
90,속초,2001-03-03,7.1,1.5,13.7,6.4,2.9,19,47.3,3.6,0.0,7.1
90,속초,2001-03-04,-0.6,-1.8,1.6,9.6,7.1,25,38.4,6.1,0.0,4.8
90,속초,2001-03-05,3.4,-2.0,7.5,13.0,7.6,17,25.4,9.5,0.0,2.1
90,속초,2001-03-06,6.7,3.1,11.6,6.2,4.1,21,39.9,1.4,0.0,7.1
90,속초,2001-03-07,0.9,-2.8,4.4,6.9,4.0,16,34.0,8.0,0.0,3.1
90,속초,2001-03-08,-2.9,-5.7,0.2,5.1,3.6,24,36.3,9.2,0.0,4.4
90,속초,2001-03-09,-0.3,-5.8,4.4,8.2,3.6,15,33.6,10.0,0.0,3.9
90,속초,2001-03-10,-1.9,-5.7,0.7,6.7,2.5,65,86.9,0.0,11.3,8.4
90,속초,2001-03-11,-0.2,-6.0,4.5,2.1,1.8,41,62.3,8.4,11.0,1.8
90,속초,2001-03-12,1.1,-2.1,4.4,6.2,2.9,24,42.8,0.8,0.0,0.5
90,속초,2001-03-13,3.8,-1.5,7.4,7.8,3.5,57,71.6,2.9,0.0,2.9
90,속초,2001-03-14,10.5,3.4,16.0,9.4,4.8,20,48.1,3.3,0.0,6.6
90,속초,2001-03-15,3.7,-0.2,7.7,6.8,2.5,63,79.8,1.8,0.0,5.9
90,속초,2001-03-16,4.8,-1.9,9.3,4.8,2.1,28,59.0,9.4,0.0,2.8
90,속초,2001-03-17,9.2,3.5,12.9,5.2,2.1,28,41.0,1.8,0.0,7.3
90,속초,2001-03-18,11.9,7.2,17.0,8.7,5.0,16,27.1,8.6,0.0,0.0
90,속초,2001-03-19,14.0,8.4,18.6,5.7,3.8,12,27.3,9.1,0.0,0.8
90,속초,2001-03-20,15.3,10.3,19.9,8.5,4.6,14,25.1,7.7,0.0,0.4
90,속초,2001-03-21,12.2,7.5,17.4,5.6,2.5,14,37.0,9.7,0.0,0.0
90,속초,2001-03-22,13.3,8.1,19.8,8.7,4.7,10,26.8,8.2,0.0,0.0
90,속초,2001-03-23,11.7,2.9,19.0,3.7,2.2,11,28.9,4.1,0.0,4.0
90,속초,2001-03-24,8.3,3.7,13.3,4.5,1.8,37,66.9,9.0,0.0,3.0
90,속초,2001-03-25,7.6,5.6,12.3,6.5,3.2,12,62.1,3.2,0.0,5.6
90,속초,2001-03-26,5.4,2.0,9.6,10.5,4.7,9,13.5,10.3,0.0,0.0
90,속초,2001-03-27,5.1,0.1,9.7,5.4,2.8,17,29.1,5.6,0.0,6.3
90,속초,2001-03-28,3.0,1.0,6.9,2.5,1.7,58,78.5,1.7,0.0,9.5
90,속초,2001-03-29,3.0,0.9,7.2,4.5,2.4,29,69.4,0.6,0.0,6.1
90,속초,2001-03-30,3.6,0.2,9.0,3.9,2.5,22,49.8,5.3,0.0,4.6
90,속초,2001-03-31,5.0,0.2,8.8,5.4,2.7,25,44.1,6.7,0.0,2.8
90,속초,2001-04-01,9.7,4.4,14.9,6.0,3.2,14,24.1,7.3,0.0,4.1
90,속초,2001-04-02,9.7,7.8,12.0,6.1,3.9,17,42.5,3.5,0.0,6.8
90,속초,2001-04-03,6.6,1.2,11.8,7.3,3.1,22,39.4,10.8,0.0,0.0
90,속초,2001-04-04,11.9,3.3,17.6,7.1,3.5,10,33.4,11.2,0.0,2.8
90,속초,2001-04-05,14.3,9.9,19.8,8.2,3.8,8,20.3,3.4,0.0,7.9
90,속초,2001-04-06,9.2,6.8,11.7,6.3,3.1,30,64.4,0.0,0.0,10.0
90,속초,2001-04-07,9.2,6.7,12.6,4.2,2.1,56,76.4,3.0,0.0,7.5
90,속초,2001-04-08,12.8,8.6,18.7,3.9,1.7,45,74.5,8.0,0.0,5.5
90,속초,2001-04-09,9.9,7.2,14.2,3.7,1.5,72,89.5,3.9,0.0,8.3
90,속초,2001-04-10,12.7,5.6,20.2,7.1,2.2,34,74.4,5.4,0.0,8.9
90,속초,2001-04-11,9.3,5.9,17.5,4.8,2.1,48,80.4,0.0,0.0,10.0
90,속초,2001-04-12,9.3,5.5,14.2,6.8,3.5,18,48.6,7.6,0.0,3.9
90,속초,2001-04-13,11.6,6.7,18.0,6.5,3.7,16,42.1,10.1,0.0,1.6
90,속초,2001-04-14,11.9,6.8,17.5,7.3,4.3,23,42.5,11.1,0.0,3.3
90,속초,2001-04-15,13.0,8.2,19.5,7.3,4.5,19,44.5,10.5,0.0,0.0
90,속초,2001-04-16,19.8,8.9,23.3,6.3,3.3,12,22.3,4.0,0.0,3.4
90,속초,2001-04-17,14.4,8.2,22.0,4.1,1.8,12,48.0,11.0,0.0,0.1
90,속초,2001-04-18,16.8,7.4,21.7,7.4,2.9,16,38.3,10.8,0.0,0.4
90,속초,2001-04-19,15.8,7.0,25.2,5.8,2.8,15,49.1,4.3,0.0,6.0
90,속초,2001-04-20,8.4,6.4,10.2,6.7,4.0,44,57.5,1.0,0.0,7.6
90,속초,2001-04-21,9.5,3.1,14.2,8.0,3.2,51,70.5,12.0,0.0,0.9
90,속초,2001-04-22,10.7,6.5,13.9,6.3,3.4,39,55.9,11.9,0.0,3.0
90,속초,2001-04-23,18.1,8.4,24.0,7.2,4.0,14,20.6,11.2,0.0,4.8
90,속초,2001-04-24,11.4,6.8,15.0,3.2,2.1,27,47.6,8.7,0.0,6.3
90,속초,2001-04-25,10.2,5.9,15.2,4.8,2.3,48,68.0,8.1,0.0,3.9
90,속초,2001-04-26,15.0,6.7,20.3,5.5,2.6,13,33.0,11.2,0.0,2.6
90,속초,2001-04-27,15.9,10.1,21.6,6.5,2.7,15,33.8,11.3,0.0,4.1
90,속초,2001-04-28,16.3,11.2,20.7,5.2,2.3,20,36.0,4.2,0.0,6.5
90,속초,2001-04-29,12.0,10.4,14.3,5.4,2.7,54,81.4,0.0,0.0,9.4
90,속초,2001-04-30,12.2,10.3,14.7,5.4,3.6,69,81.6,9.6,0.0,6.9
95,철원,2001-02-01,-8.5,-17.3,-0.2,5.3,2.5,25,56.3,9.2,10.3,0.6
95,철원,2001-02-02,-11.2,-21.4,-3.3,3.8,1.3,27,74.6,4.9,9.9,4.9
95,철원,2001-02-03,-5.7,-13.0,2.4,2.1,0.6,37,75.6,4.9,9.8,4.8
95,철원,2001-02-04,-3.5,-10.0,5.9,4.0,0.6,38,75.8,7.5,9.6,5.3
95,철원,2001-02-05,-3.4,-11.1,5.8,2.4,0.6,39,75.4,7.2,7.0,5.0
95,철원,2001-02-06,-0.2,-5.9,5.1,5.1,1.9,56,77.6,6.3,5.3,7.0
95,철원,2001-02-07,-3.1,-10.5,1.3,4.0,1.6,21,60.9,7.9,3.2,3.8
95,철원,2001-02-08,-8.1,-16.1,-2.0,6.0,1.5,25,60.5,9.2,2.5,1.8
95,철원,2001-02-09,-3.0,-7.9,1.7,7.7,2.9,39,70.4,5.1,2.7,6.1
95,철원,2001-02-10,-6.3,-13.1,1.4,5.2,1.1,17,56.8,8.4,2.0,2.5
95,철원,2001-02-11,-6.8,-13.8,-0.1,3.7,1.1,15,48.8,9.4,1.8,3.9
95,철원,2001-02-12,-6.3,-10.7,0.2,3.2,1.0,21,49.6,7.9,1.4,4.9
95,철원,2001-02-13,-5.9,-10.8,0.4,4.1,1.4,22,50.3,5.6,1.2,5.9
95,철원,2001-02-14,-7.3,-14.6,-1.0,4.1,1.4,25,56.0,9.8,1.0,0.4
95,철원,2001-02-15,-5.4,-10.5,-1.9,5.3,1.0,75,85.9,0.0,12.7,8.3
95,철원,2001-02-16,-10.1,-18.3,-2.9,4.6,1.5,32,67.6,8.8,12.7,0.3
95,철원,2001-02-17,-6.0,-16.2,-0.2,3.7,1.5,56,76.0,1.6,11.7,9.0
95,철원,2001-02-18,1.0,-1.8,3.4,3.5,1.9,72,84.0,0.1,8.3,9.6
95,철원,2001-02-19,1.4,-3.4,8.7,2.7,0.9,43,78.4,7.5,3.5,4.6
95,철원,2001-02-20,0.0,-7.3,9.4,1.8,0.5,44,80.3,8.7,0.0,2.5
95,철원,2001-02-21,1.8,-3.4,9.0,4.7,1.3,17,67.1,5.9,0.0,4.8
95,철원,2001-02-22,2.0,-4.7,11.5,4.8,1.1,37,74.1,8.2,0.0,0.4
95,철원,2001-02-23,0.7,-2.2,4.2,7.3,3.7,76,88.9,0.0,1.8,9.8
95,철원,2001-02-24,-1.3,-4.4,1.3,5.4,3.5,59,80.1,0.0,3.1,8.0
95,철원,2001-02-25,-3.2,-10.3,2.8,5.4,1.9,29,57.4,10.2,0.9,0.0
95,철원,2001-02-26,-1.7,-9.5,6.6,4.1,1.1,32,69.4,10.1,0.0,1.8
95,철원,2001-02-27,0.7,-6.4,8.1,4.0,1.1,25,75.1,4.9,4.0,6.6
95,철원,2001-02-28,0.4,-1.8,4.7,2.3,0.9,69,89.8,1.1,4.4,8.4
95,철원,2001-03-01,1.1,-2.6,7.9,2.6,0.7,47,84.1,1.9,0.0,6.8
95,철원,2001-03-02,2.1,-4.9,8.6,4.0,1.3,46,80.8,6.2,0.0,6.5
95,철원,2001-03-03,1.6,-1.9,7.9,8.2,2.6,59,88.3,0.0,2.6,9.8
95,철원,2001-03-04,-3.0,-4.4,-1.3,7.2,3.8,46,64.4,2.8,3.0,5.5
95,철원,2001-03-05,-0.3,-4.5,3.8,6.3,3.6,35,49.6,9.1,2.8,1.5
