지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
155,창원,2001-02-01,2.5,-2.7,6.7,5.6,3.4,12,29.9,8.5,0.0,3.4
155,창원,2001-02-02,0.1,-5.1,5.5,5.8,3.1,11,24.1,9.4,0.0,0.0
155,창원,2001-02-03,3.3,-1.5,8.2,2.9,1.3,30,48.4,6.9,0.0,3.6
155,창원,2001-02-04,6.4,3.1,9.9,2.9,1.3,42,52.9,0.0,0.0,8.9
155,창원,2001-02-05,7.4,1.9,12.8,4.2,1.1,21,58.6,8.4,0.0,3.8
155,창원,2001-02-06,8.5,6.3,11.7,2.7,1.5,49,60.9,0.6,0.0,9.0
155,창원,2001-02-07,6.5,0.8,11.0,6.4,2.7,29,48.4,4.6,0.0,6.6
155,창원,2001-02-08,-0.3,-4.2,4.1,6.5,3.7,16,24.5,9.8,0.0,0.3
155,창원,2001-02-09,1.9,-3.0,6.4,5.1,2.6,24,37.0,8.3,0.0,3.3
155,창원,2001-02-10,3.6,0.5,8.2,3.1,1.8,12,39.3,8.8,0.0,0.4
155,창원,2001-02-11,3.3,-0.7,6.9,4.8,2.2,17,36.6,4.0,0.0,6.3
155,창원,2001-02-12,3.1,1.6,4.6,4.6,2.5,12,15.9,0.0,0.0,9.3
155,창원,2001-02-13,3.1,0.2,7.8,5.9,3.6,7,13.8,5.2,0.0,4.3
155,창원,2001-02-14,0.4,-2.9,5.3,7.2,3.5,13,26.8,10.0,0.0,0.0
155,창원,2001-02-15,3.1,-2.9,8.9,5.6,2.8,25,44.1,7.6,0.0,3.5
155,창원,2001-02-16,1.3,-1.3,5.4,6.0,3.4,17,32.3,9.9,0.0,0.4
155,창원,2001-02-17,1.9,-3.3,6.8,4.9,2.9,25,38.5,9.0,0.0,4.8
155,창원,2001-02-18,6.3,1.9,13.1,5.2,1.4,31,47.8,5.1,0.0,4.1
155,창원,2001-02-19,8.4,5.0,14.9,6.4,2.8,14,49.3,9.6,0.0,1.6
155,창원,2001-02-20,8.1,2.8,12.8,5.3,1.7,44,64.0,9.3,0.0,1.9
155,창원,2001-02-21,6.8,4.5,9.0,2.2,0.8,71,82.0,0.2,0.0,5.9
155,창원,2001-02-22,8.1,1.8,16.2,3.0,1.3,26,64.6,9.8,0.0,0.0
155,창원,2001-02-23,6.8,5.9,7.8,4.6,1.6,60,77.3,0.0,0.0,9.4
155,창원,2001-02-24,4.6,2.2,6.6,5.1,3.2,63,74.4,0.0,0.0,7.9
155,창원,2001-02-25,2.2,-1.4,6.1,8.1,3.3,22,34.4,10.3,0.0,0.0
155,창원,2001-02-26,3.6,-1.1,10.1,3.8,1.2,20,45.1,4.3,0.0,3.0
155,창원,2001-02-27,5.6,0.4,9.9,1.5,0.6,33,62.0,0.8,0.0,8.0
155,창원,2001-02-28,10.5,7.4,14.6,7.4,3.0,46,66.3,1.8,0.0,8.8
155,창원,2001-03-01,7.8,4.9,10.7,4.2,2.1,32,56.0,1.9,0.0,6.6
155,창원,2001-03-02,7.1,1.5,13.4,4.5,1.7,19,58.4,6.8,0.0,2.5
155,창원,2001-03-03,8.5,3.2,12.9,9.1,2.3,30,65.8,0.0,0.0,8.4
155,창원,2001-03-04,1.6,-0.1,4.2,7.5,3.4,26,46.8,5.9,2.2,4.5
155,창원,2001-03-05,5.5,-0.3,11.4,5.6,2.6,17,32.9,9.5,0.0,2.6
155,창원,2001-03-06,9.4,3.1,16.2,5.3,2.4,14,45.3,3.5,0.0,7.1
155,창원,2001-03-07,3.8,-0.4,7.0,4.5,2.9,20,32.9,8.0,0.0,4.5
155,창원,2001-03-08,-0.4,-2.7,2.5,5.0,2.8,23,38.8,6.3,0.0,2.4
155,창원,2001-03-09,2.0,-3.4,7.1,4.7,2.3,15,30.6,10.6,0.0,0.9
155,창원,2001-03-10,7.8,2.9,14.2,4.7,2.4,9,35.9,9.6,0.0,0.8
155,창원,2001-03-11,4.7,1.5,9.3,4.8,2.2,34,51.8,3.9,0.0,3.9
155,창원,2001-03-12,6.3,1.4,10.5,5.6,3.5,18,29.3,10.0,0.0,1.0
155,창원,2001-03-13,6.2,1.8,9.8,4.4,2.6,29,46.1,10.5,0.0,0.8
155,창원,2001-03-14,11.2,3.3,16.9,4.5,2.2,44,65.1,4.1,0.0,6.9
155,창원,2001-03-15,11.1,6.9,16.9,5.8,2.7,19,53.6,10.4,0.0,1.5
155,창원,2001-03-16,9.3,4.3,13.8,3.8,1.9,27,48.0,7.8,0.0,6.8
155,창원,2001-03-17,9.5,8.3,11.8,3.4,1.6,53,70.9,1.0,0.0,8.9
155,창원,2001-03-18,11.3,6.3,17.7,4.7,2.8,19,42.5,10.1,0.0,2.0
155,창원,2001-03-19,12.2,7.2,18.7,5.5,2.4,26,53.5,9.7,0.0,3.9
155,창원,2001-03-20,13.4,9.3,19.7,5.2,2.4,37,59.8,8.6,0.0,1.9
155,창원,2001-03-21,13.6,8.7,19.3,4.6,1.9,21,42.0,10.6,0.0,1.6
155,창원,2001-03-22,15.0,9.4,20.7,5.8,2.7,6,46.4,7.9,0.0,1.6
155,창원,2001-03-23,12.4,9.2,17.2,5.8,2.3,11,36.0,7.7,0.0,3.3
155,창원,2001-03-24,12.4,7.8,16.0,5.1,1.9,19,50.3,8.4,0.0,3.8
155,창원,2001-03-25,15.7,11.4,20.8,6.4,2.4,17,43.8,4.7,0.0,7.3
155,창원,2001-03-26,10.0,6.6,15.0,6.0,3.6,11,17.8,9.0,0.0,0.9
155,창원,2001-03-27,8.4,4.3,13.0,5.3,2.6,10,25.8,6.3,0.0,7.1
155,창원,2001-03-28,8.6,5.1,12.4,6.5,3.3,37,51.3,6.5,0.0,7.1
155,창원,2001-03-29,6.9,4.4,10.6,5.5,3.5,17,29.5,9.1,0.0,4.5
155,창원,2001-03-30,3.5,1.6,5.2,3.3,1.4,23,62.4,0.0,0.0,6.9
155,창원,2001-03-31,7.7,1.5,13.1,4.9,3.1,14,37.9,9.9,0.0,1.3
155,창원,2001-04-01,9.1,3.0,14.0,5.1,2.3,23,43.9,10.9,0.0,0.5
155,창원,2001-04-02,11.8,5.7,17.9,5.9,2.6,25,50.0,11.0,0.0,0.5
155,창원,2001-04-03,11.3,8.3,17.2,6.5,2.6,22,53.1,8.5,0.0,2.3
155,창원,2001-04-04,10.4,5.7,15.5,6.1,2.7,25,48.6,11.1,0.0,0.0
155,창원,2001-04-05,12.1,6.5,18.3,4.8,1.7,27,55.0,9.0,0.0,2.9
