지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
156,광주,2001-02-01,-0.8,-5.3,4.6,7.4,4.4,25,39.4,7.2,0.0,1.5
156,광주,2001-02-02,-2.1,-7.4,4.4,4.4,2.2,17,40.6,7.2,0.0,0.0
156,광주,2001-02-03,1.7,-6.2,8.1,2.8,1.1,28,57.6,5.3,0.0,4.6
156,광주,2001-02-04,5.0,0.0,10.4,4.7,2.4,33,51.6,2.9,0.0,4.3
156,광주,2001-02-05,5.4,-1.7,13.0,4.8,1.6,18,56.0,7.2,0.0,4.3
156,광주,2001-02-06,6.1,3.1,11.7,3.1,1.8,32,52.9,5.9,0.0,5.1
156,광주,2001-02-07,1.4,-2.9,5.9,4.4,2.4,29,53.3,6.3,0.0,3.6
156,광주,2001-02-08,-2.0,-5.2,2.1,5.8,3.4,19,42.4,8.8,0.0,2.1
156,광주,2001-02-09,-0.8,-6.3,4.7,4.1,1.3,44,67.1,3.4,0.0,3.9
156,광주,2001-02-10,1.5,-3.8,8.6,2.7,1.0,21,52.4,7.6,0.0,0.4
156,광주,2001-02-11,1.0,-4.1,5.9,5.4,2.5,27,45.1,0.5,0.0,5.6
156,광주,2001-02-12,0.1,-2.1,2.8,5.0,3.0,14,24.8,0.0,0.0,8.6
156,광주,2001-02-13,-0.7,-3.7,5.0,6.1,2.7,11,30.0,5.6,0.0,3.5
156,광주,2001-02-14,-0.7,-4.6,3.8,5.6,2.5,15,41.4,8.7,0.1,1.5
156,광주,2001-02-15,0.8,-6.0,9.0,12.2,3.5,28,64.4,1.8,0.0,5.0
156,광주,2001-02-16,-1.5,-4.6,2.1,4.9,2.7,36,56.6,7.3,0.8,3.3
156,광주,2001-02-17,-0.2,-7.7,7.1,4.0,1.8,27,54.5,7.1,0.0,3.9
156,광주,2001-02-18,4.3,-0.5,10.8,4.2,1.5,37,58.9,3.7,0.0,4.6
156,광주,2001-02-19,5.4,-1.0,14.0,6.5,1.7,26,60.3,8.0,0.0,0.8
156,광주,2001-02-20,7.2,-0.7,15.9,5.8,1.8,29,59.8,7.5,0.0,1.9
156,광주,2001-02-21,5.5,3.1,8.6,3.6,1.4,69,83.9,0.0,0.0,5.8
156,광주,2001-02-22,7.5,0.5,17.5,2.4,1.1,14,61.3,8.2,0.0,3.1
156,광주,2001-02-23,6.3,4.3,7.4,7.5,2.5,60,82.9,0.0,0.0,9.5
156,광주,2001-02-24,3.0,-0.4,6.6,4.2,2.6,53,77.3,0.4,0.0,7.6
156,광주,2001-02-25,1.3,-2.2,5.8,6.9,4.0,21,40.4,8.6,0.0,0.3
156,광주,2001-02-26,2.8,-2.7,10.4,3.3,1.3,20,55.4,4.9,0.0,3.0
156,광주,2001-02-27,4.2,-1.3,11.1,4.3,1.3,50,77.8,0.0,0.0,7.5
156,광주,2001-02-28,6.7,4.2,11.1,5.0,2.2,51,75.8,5.6,0.0,7.6
156,광주,2001-03-01,5.6,2.9,10.9,3.6,2.1,22,65.5,5.5,0.0,6.5
156,광주,2001-03-02,6.1,1.8,12.2,4.2,1.6,40,70.6,3.1,0.0,3.3
156,광주,2001-03-03,5.8,0.9,12.2,6.9,2.6,53,74.0,0.0,0.0,7.9
156,광주,2001-03-04,-0.3,-1.6,1.8,8.6,3.6,53,71.8,1.9,4.3,6.5
156,광주,2001-03-05,3.8,-1.4,8.8,3.7,1.7,28,47.9,8.0,0.8,2.0
156,광주,2001-03-06,6.3,1.7,13.1,7.0,2.0,21,55.9,0.1,0.0,7.6
156,광주,2001-03-07,0.6,-1.9,4.3,6.3,3.3,29,55.1,4.7,0.0,5.5
156,광주,2001-03-08,-2.8,-4.0,-0.2,4.8,2.4,53,79.6,2.2,8.8,6.9
156,광주,2001-03-09,0.8,-5.5,6.4,6.0,2.5,34,57.0,8.4,11.2,1.5
156,광주,2001-03-10,3.4,-1.7,10.1,4.8,2.7,29,57.3,7.1,0.0,1.1
156,광주,2001-03-11,1.8,-3.1,8.9,4.1,2.1,17,49.1,7.2,0.0,0.4
156,광주,2001-03-12,2.3,-1.6,7.5,4.6,2.1,35,49.6,6.6,0.0,1.6
156,광주,2001-03-13,5.5,-3.3,15.4,6.4,2.3,17,48.5,8.6,0.0,1.6
156,광주,2001-03-14,10.6,3.3,16.2,8.5,4.3,49,65.9,1.3,0.0,7.3
156,광주,2001-03-15,5.8,1.5,13.0,5.1,2.7,19,52.0,9.0,0.0,1.8
156,광주,2001-03-16,7.4,-1.1,14.4,4.4,2.1,25,44.6,4.0,0.0,6.4
156,광주,2001-03-17,7.4,5.5,11.1,4.7,2.1,47,67.1,0.0,0.0,9.9
156,광주,2001-03-18,9.0,1.6,16.9,6.1,2.4,25,57.6,7.8,0.0,2.1
156,광주,2001-03-19,10.3,4.4,17.6,7.4,3.3,45,69.1,4.2,0.0,5.0
156,광주,2001-03-20,12.7,6.8,20.9,7.5,2.9,26,59.6,7.6,0.0,2.5
156,광주,2001-03-21,13.6,4.0,23.5,6.6,2.6,10,46.8,7.5,0.0,0.1
156,광주,2001-03-22,11.5,7.4,18.2,7.7,2.2,22,45.8,6.5,0.0,0.3
156,광주,2001-03-23,12.9,6.1,21.2,5.6,2.4,12,26.8,8.1,0.0,1.8
156,광주,2001-03-24,14.2,5.3,23.5,5.1,1.7,9,34.1,6.7,0.0,5.4
156,광주,2001-03-25,11.9,5.1,20.4,5.7,2.2,25,44.5,5.5,0.0,6.0
156,광주,2001-03-26,5.3,1.3,11.5,4.4,2.7,16,36.4,6.9,0.0,2.0
156,광주,2001-03-27,8.4,0.9,15.9,6.2,3.4,14,35.6,5.5,0.0,5.6
156,광주,2001-03-28,4.2,2.4,8.5,4.6,2.4,50,67.5,1.2,0.0,8.9
156,광주,2001-03-29,4.0,1.0,9.2,5.3,2.0,24,47.8,7.0,0.0,3.9
156,광주,2001-03-30,2.6,-0.3,6.3,5.5,2.1,42,72.0,0.5,0.0,7.1
156,광주,2001-03-31,4.8,0.0,10.3,5.3,2.1,22,51.3,8.4,0.0,0.6
156,광주,2001-04-01,6.2,-1.3,13.8,4.9,2.1,25,52.1,8.3,0.0,0.5
156,광주,2001-04-02,9.7,-0.2,18.3,7.2,2.9,35,61.4,8.7,0.0,3.8
156,광주,2001-04-03,10.0,5.3,16.6,6.3,2.8,15,43.9,9.3,0.0,0.8
156,광주,2001-04-04,9.7,1.4,19.8,5.7,1.8,14,42.4,9.0,0.0,0.0
156,광주,2001-04-05,10.5,2.4,19.4,4.9,1.7,16,48.4,7.7,0.0,1.8
156,광주,2001-04-06,12.6,4.2,21.2,3.8,1.4,37,60.1,4.0,0.0,3.6
156,광주,2001-04-07,15.7,8.6,24.0,5.3,1.5,28,56.5,8.0,0.0,2.5
156,광주,2001-04-08,17.0,8.7,24.5,5.2,1.8,29,54.4,5.7,0.0,4.6
156,광주,2001-04-09,19.9,13.9,28.3,6.8,2.7,22,52.4,6.3,0.0,4.5
156,광주,2001-04-10,17.5,12.3,25.9,4.3,1.7,27,54.4,5.6,0.0,4.8
156,광주,2001-04-11,8.2,4.7,12.5,4.9,2.1,40,65.5,0.0,0.0,7.3
156,광주,2001-04-12,9.4,3.8,15.6,8.5,3.1,16,52.5,8.6,0.0,1.5
156,광주,2001-04-13,12.5,5.2,19.8,7.3,3.1,19,51.8,7.4,0.0,4.6
156,광주,2001-04-14,10.5,7.2,16.0,7.1,3.1,21,52.3,8.8,0.0,2.4
156,광주,2001-04-15,12.8,5.1,20.5,6.6,3.1,33,53.3,8.4,0.0,0.0
156,광주,2001-04-16,14.6,6.4,24.0,7.7,2.9,19,47.3,9.5,0.0,0.5
156,광주,2001-04-17,16.0,6.3,26.1,7.3,1.5,12,40.4,10.0,0.0,0.3
156,광주,2001-04-18,16.8,7.3,27.1,5.7,2.0,11,43.6,9.6,0.0,0.0
156,광주,2001-04-19,14.6,7.5,24.2,4.9,2.3,16,55.0,9.0,0.0,2.3
156,광주,2001-04-20,13.2,8.9,18.5,5.5,2.9,47,64.3,1.0,0.0,7.1
156,광주,2001-04-21,14.8,9.8,22.2,6.5,2.8,26,43.1,7.5,0.0,3.9
156,광주,2001-04-22,13.9,5.7,22.5,6.2,2.6,13,39.4,9.1,0.0,0.0
156,광주,2001-04-23,14.4,6.1,23.6,6.3,2.0,18,54.6,8.5,0.0,3.3
156,광주,2001-04-24,13.9,9.3,20.3,4.2,1.9,18,43.5,4.7,0.0,5.6
156,광주,2001-04-25,12.5,6.0,20.5,4.0,1.7,18,36.1,7.8,0.0,0.9
156,광주,2001-04-26,13.4,5.0,22.3,4.1,1.8,13,36.5,9.1,0.0,2.4
156,광주,2001-04-27,15.4,5.8,25.4,6.3,2.3,14,36.6,8.6,0.0,3.8
156,광주,2001-04-28,15.6,10.5,22.2,6.4,2.8,33,63.8,1.3,0.0,9.3
156,광주,2001-04-29,15.4,13.5,17.6,9.8,5.5,71,83.4,0.0,0.0,10.0
156,광주,2001-04-30,16.7,12.3,23.3,6.4,3.6,49,71.6,2.6,0.0,9.5
156,광주,2002-02-01,1.1,-4.8,8.3,3.0,1.4,19,54.3,6.3,0.0,2.5
156,광주,2002-02-02,2.7,-2.9,10.1,2.9,1.0,41,67.6,5.1,0.0,0.4
156,광주,2002-02-03,2.9,-3.5,11.2,3.4,1.1,21,65.8,7.2,0.0,0.0
156,광주,2002-02-04,3.9,-2.4,8.9,3.3,1.1,46,65.4,0.0,0.0,5.6
156,광주,2002-02-05,5.8,1.7,12.6,3.2,1.3,18,51.9,7.7,0.0,3.5
156,광주,2002-02-06,4.6,-3.4,11.8,5.1,1.7,40,63.3,6.4,0.0,1.6
156,광주,2002-02-07,5.4,0.3,11.4,6.2,2.6,13,41.5,8.4,0.0,0.6
156,광주,2002-02-08,3.1,-2.5,10.1,4.8,1.8,44,64.0,2.0,0.0,4.3
