지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
143,대구,2001-02-01,1.2,-4.0,5.0,6.7,4.3,17,32.0,9.6,0.0,1.6
143,대구,2001-02-02,-0.7,-6.1,4.9,4.3,2.5,14,32.1,9.5,0.0,0.0
143,대구,2001-02-03,3.2,-2.5,9.2,2.7,1.1,36,54.5,7.3,0.0,4.5
143,대구,2001-02-04,4.8,1.1,9.1,1.8,0.9,34,60.4,0.7,0.0,6.9
143,대구,2001-02-05,6.6,-0.7,12.9,2.1,1.2,25,62.4,8.1,0.0,3.8
143,대구,2001-02-06,8.1,5.7,11.5,3.9,2.2,52,69.4,2.3,0.0,9.0
143,대구,2001-02-07,5.3,-1.2,8.6,5.7,3.3,17,46.5,4.7,0.0,6.0
143,대구,2001-02-08,-1.1,-5.0,3.0,5.8,4.0,17,31.6,10.1,0.0,0.0
143,대구,2001-02-09,2.0,-3.5,7.6,5.3,2.0,28,42.3,8.9,0.0,1.4
143,대구,2001-02-10,3.3,-1.2,8.3,3.6,2.0,16,36.6,9.6,0.0,0.0
143,대구,2001-02-11,2.2,-3.3,6.8,4.4,2.0,18,38.4,6.5,0.0,4.1
143,대구,2001-02-12,2.4,1.2,4.1,3.0,2.0,11,20.0,0.0,0.0,8.5
143,대구,2001-02-13,1.8,-0.8,6.6,4.7,3.0,12,23.9,5.6,0.0,4.9
143,대구,2001-02-14,0.2,-3.7,4.7,6.6,3.5,17,34.4,10.1,0.0,0.0
143,대구,2001-02-15,3.0,-4.1,10.0,7.4,3.0,27,57.6,5.9,0.0,5.3
143,대구,2001-02-16,0.6,-2.1,4.3,5.8,3.8,22,38.4,10.3,0.0,0.5
143,대구,2001-02-17,2.0,-3.7,7.2,4.9,2.6,33,43.1,7.1,0.0,5.1
143,대구,2001-02-18,6.9,2.1,12.5,4.4,2.6,30,48.1,9.0,0.0,3.0
143,대구,2001-02-19,9.2,3.4,15.2,4.6,2.6,22,52.6,7.6,0.0,2.6
143,대구,2001-02-20,9.0,2.8,15.9,2.6,1.6,29,59.8,9.1,0.0,2.5
143,대구,2001-02-21,6.9,3.5,9.8,2.2,1.3,69,85.9,0.4,0.0,5.6
143,대구,2001-02-22,8.8,1.4,17.7,2.2,1.2,16,63.3,7.8,0.0,0.0
143,대구,2001-02-23,5.9,4.5,7.4,3.1,1.9,62,86.6,0.0,0.0,9.0
143,대구,2001-02-24,4.1,2.3,6.0,4.3,1.7,64,84.6,0.0,0.0,8.6
143,대구,2001-02-25,2.3,-1.2,6.6,5.1,2.3,21,38.8,10.7,0.0,0.0
143,대구,2001-02-26,4.5,-1.2,12.2,3.7,0.9,20,48.1,10.0,0.0,1.9
143,대구,2001-02-27,5.1,0.0,8.7,2.2,0.5,34,63.9,2.6,0.0,7.0
143,대구,2001-02-28,8.6,5.2,13.3,5.3,1.5,51,75.6,3.0,0.0,7.5
143,대구,2001-03-01,7.7,5.4,11.8,4.6,1.2,31,61.9,1.7,0.0,6.3
143,대구,2001-03-02,7.9,1.8,13.4,2.9,0.9,30,57.9,7.6,0.0,2.0
143,대구,2001-03-03,8.6,3.9,15.0,8.6,1.6,38,61.5,0.9,0.0,8.9
143,대구,2001-03-04,2.2,0.6,4.9,8.5,5.1,32,52.1,5.8,0.2,4.5
143,대구,2001-03-05,6.0,0.8,11.4,6.1,3.8,18,33.9,9.6,0.0,0.6
143,대구,2001-03-06,9.1,1.8,17.2,6.4,2.6,20,39.9,5.6,0.0,5.8
143,대구,2001-03-07,3.6,-0.1,7.2,6.1,4.0,19,34.6,9.4,0.0,2.1
143,대구,2001-03-08,-0.5,-2.0,3.0,7.5,4.2,25,43.3,3.7,0.0,4.3
143,대구,2001-03-09,2.5,-3.2,7.6,6.2,2.9,18,37.4,10.6,0.0,1.4
143,대구,2001-03-10,7.0,2.6,13.9,7.9,2.1,14,41.0,8.3,0.0,2.8
143,대구,2001-03-11,4.9,-1.8,11.0,2.7,1.2,13,39.8,10.5,0.0,1.4
143,대구,2001-03-12,5.8,1.7,10.5,5.3,2.6,18,30.5,10.7,0.0,0.9
143,대구,2001-03-13,7.8,0.2,14.7,3.5,0.9,14,39.1,10.8,0.0,0.0
143,대구,2001-03-14,13.0,4.4,19.4,6.0,2.5,33,53.1,8.4,0.0,5.4
143,대구,2001-03-15,11.1,6.7,16.4,5.3,2.5,12,36.1,10.9,0.0,1.4
143,대구,2001-03-16,9.2,1.1,15.0,2.3,0.9,7,26.6,7.4,0.0,5.8
143,대구,2001-03-17,10.7,8.9,14.1,4.1,1.4,29,47.5,1.4,0.0,8.9
143,대구,2001-03-18,13.4,7.0,20.3,5.3,2.6,13,31.9,10.4,0.0,2.0
143,대구,2001-03-19,16.0,8.6,22.3,7.7,2.3,9,35.3,9.4,0.0,4.5
143,대구,2001-03-20,16.9,10.4,24.6,6.5,2.6,11,37.6,7.8,0.0,2.4
143,대구,2001-03-21,15.7,7.8,24.3,4.7,1.4,11,30.0,10.1,0.0,1.1
143,대구,2001-03-22,15.8,10.4,23.6,5.3,1.8,12,28.1,7.2,0.0,1.8
143,대구,2001-03-23,14.3,8.3,21.0,2.3,1.1,10,24.1,8.9,0.0,3.5
143,대구,2001-03-24,15.6,6.2,23.1,2.6,1.2,8,26.4,8.5,0.0,4.6
143,대구,2001-03-25,16.3,11.1,23.7,5.3,1.9,23,32.1,5.5,0.0,6.4
143,대구,2001-03-26,8.9,5.1,13.7,6.2,3.5,11,20.6,11.1,0.0,1.1
143,대구,2001-03-27,8.1,1.8,13.1,3.5,1.6,14,26.8,4.8,0.0,5.8
143,대구,2001-03-28,7.8,4.8,11.8,3.8,1.8,35,57.6,2.3,0.0,8.6
143,대구,2001-03-29,6.5,4.1,11.2,6.6,3.2,21,39.0,9.8,0.0,3.4
143,대구,2001-03-30,3.7,1.3,6.7,2.7,0.9,42,69.8,1.5,1.5,6.3
143,대구,2001-03-31,7.7,3.0,13.2,5.4,2.4,18,42.4,10.8,0.0,1.1
143,대구,2001-04-01,9.9,3.2,16.7,4.6,2.4,18,35.9,11.3,0.0,1.3
143,대구,2001-04-02,13.1,4.9,21.2,5.7,2.5,16,41.8,11.3,0.0,0.8
143,대구,2001-04-03,12.3,8.4,18.6,6.2,2.0,15,46.0,10.2,0.0,2.1
143,대구,2001-04-04,12.8,3.7,21.2,3.4,1.3,13,40.9,11.7,0.0,0.6
143,대구,2001-04-05,15.8,8.9,22.9,3.2,1.7,9,28.9,9.4,0.0,2.9
143,대구,2001-04-06,14.1,7.7,20.5,5.5,1.6,24,49.0,7.8,0.0,4.6
143,대구,2001-04-07,16.3,8.8,23.7,3.7,1.4,25,56.9,10.1,0.0,2.0
143,대구,2001-04-08,18.6,10.3,25.0,3.0,1.4,27,51.9,8.9,0.0,4.5
143,대구,2001-04-09,19.4,15.3,25.6,7.4,2.7,32,54.9,8.6,0.0,4.3
143,대구,2001-04-10,20.0,12.6,27.1,2.1,0.8,19,43.5,8.6,0.0,4.4
143,대구,2001-04-11,14.4,7.1,20.2,4.3,2.5,26,57.1,0.0,0.0,9.8
143,대구,2001-04-12,11.5,6.8,16.9,7.3,3.1,18,43.0,9.0,0.0,2.0
143,대구,2001-04-13,14.7,6.4,20.6,4.2,2.3,12,34.3,11.2,0.0,2.4
143,대구,2001-04-14,15.1,12.5,18.1,5.8,4.0,22,34.5,10.9,0.0,2.9
143,대구,2001-04-15,17.3,8.9,25.2,6.2,2.4,12,27.9,11.7,0.0,0.1
143,대구,2001-04-16,18.3,11.6,26.4,4.3,1.5,9,36.0,11.5,0.0,0.4
143,대구,2001-04-17,18.8,10.3,26.3,3.0,1.3,11,34.6,11.9,0.0,0.0
143,대구,2001-04-18,19.4,10.3,27.1,3.0,1.0,8,31.1,11.9,0.0,0.0
143,대구,2001-04-19,20.2,11.7,27.3,3.8,1.8,10,29.1,11.0,0.0,2.9
143,대구,2001-04-20,11.9,9.6,19.2,6.7,5.2,30,54.3,2.6,0.0,7.5
143,대구,2001-04-21,14.0,7.4,20.2,2.6,1.1,19,43.6,8.9,0.0,5.4
143,대구,2001-04-22,14.4,10.3,19.1,5.2,2.3,19,40.5,9.2,0.0,1.9
143,대구,2001-04-23,17.0,9.2,24.7,4.6,2.2,13,41.1,11.6,0.0,3.1
143,대구,2001-04-24,16.6,12.7,22.6,5.6,1.9,22,36.8,4.9,0.0,5.9
143,대구,2001-04-25,14.4,9.0,19.8,4.8,1.7,23,48.3,7.6,0.0,3.5
143,대구,2001-04-26,16.2,8.2,22.3,3.5,1.3,11,36.0,9.6,0.0,2.4
143,대구,2001-04-27,18.0,9.7,24.8,4.3,1.4,12,28.8,11.1,0.0,2.3
143,대구,2001-04-28,17.8,12.3,24.4,4.2,0.9,23,53.4,3.4,0.0,8.4
143,대구,2001-04-29,16.5,15.5,17.8,5.2,2.8,75,81.0,0.0,0.0,10.0
143,대구,2001-04-30,16.6,13.4,22.2,5.5,2.8,32,65.6,5.1,0.0,6.4
143,대구,2002-02-01,0.5,-5.1,6.7,3.1,1.5,20,43.9,8.3,0.0,2.9
143,대구,2002-02-02,1.7,-3.9,9.6,3.4,1.2,25,52.1,7.9,0.0,1.3
143,대구,2002-02-03,3.1,-3.1,10.7,3.9,1.5,25,60.6,8.8,0.0,0.1
143,대구,2002-02-04,3.0,-2.0,7.4,3.2,1.3,50,69.1,2.2,0.0,4.5
143,대구,2002-02-05,6.0,1.6,12.7,4.1,1.6,23,49.9,7.6,0.0,2.5
143,대구,2002-02-06,6.3,-1.2,13.7,3.3,1.4,16,40.8,8.6,0.0,1.9
143,대구,2002-02-07,6.0,1.8,11.5,7.1,3.3,12,25.9,9.7,0.0,2.8
143,대구,2002-02-08,4.2,-2.1,10.8,5.8,2.8,14,43.1,3.9,0.0,5.0
143,대구,2002-02-09,0.1,-4.1,4.5,6.2,3.7,13,21.6,9.4,0.0,4.1
143,대구,2002-02-10,0.7,-3.2,6.0,6.3,3.7,26,53.6,7.2,0.0,5.1
143,대구,2002-02-11,-0.5,-4.0,4.0,9.2,4.4,24,39.4,9.0,0.0,2.6
143,대구,2002-02-12,0.3,-4.8,5.7,5.1,2.9,14,33.0,9.9,0.0,1.8
143,대구,2002-02-13,2.3,-1.7,8.1,5.3,2.8,16,31.6,9.8,0.0,0.9
143,대구,2002-02-14,2.2,-3.9,8.3,4.5,2.3,14,29.8,10.0,0.0,0.1
143,대구,2002-02-15,3.0,-4.6,9.8,4.6,2.1,10,30.3,10.2,0.0,0.1
143,대구,2002-02-16,4.5,-2.6,11.3,4.0,1.7,16,40.5,6.6,0.0,3.0
143,대구,2002-02-17,5.7,0.1,13.6,7.8,3.2,27,44.6,7.7,0.0,3.9
143,대구,2002-02-18,0.0,-2.4,4.0,8.7,4.9,14,32.6,10.5,0.0,0.0
143,대구,2002-02-19,0.3,-3.9,5.8,5.3,2.9,17,30.4,10.4,0.0,0.0
143,대구,2002-02-20,4.4,-2.9,12.2,5.2,2.8,14,32.6,10.4,0.0,0.9
143,대구,2002-02-21,3.4,-0.3,7.5,2.3,1.3,34,60.4,0.1,0.0,8.3
143,대구,2002-02-22,6.2,1.5,12.5,5.9,2.7,37,66.9,6.7,0.0,2.8
143,대구,2002-02-23,6.8,0.7,13.0,4.7,2.1,13,43.6,8.1,0.0,4.9
143,대구,2002-02-24,5.8,0.9,12.7,5.5,2.6,30,51.9,9.1,0.0,1.8
143,대구,2002-02-25,8.0,0.7,12.9,4.3,1.7,35,51.4,5.0,0.0,6.8
143,대구,2002-02-26,9.3,4.3,15.0,3.1,1.4,18,35.6,4.5,0.0,5.8
143,대구,2002-02-27,8.2,2.3,14.2,4.1,1.5,27,50.1,1.0,0.0,8.3
143,대구,2002-02-28,9.9,5.5,15.9,4.8,2.5,23,53.4,8.2,0.0,4.5
143,대구,2002-03-01,8.0,0.9,14.7,3.4,1.7,36,64.9,4.1,0.0,3.0
143,대구,2002-03-02,7.0,1.9,13.8,7.5,3.2,33,72.5,1.3,0.0,5.6
143,대구,2002-03-03,8.0,5.0,12.3,5.5,2.7,31,52.5,2.2,0.0,6.3
143,대구,2002-03-04,8.4,1.0,14.5,3.9,1.9,11,31.6,8.8,0.0,6.5
143,대구,2002-03-05,5.6,4.9,8.9,3.6,1.6,54,83.8,0.0,0.0,10.0
143,대구,2002-03-06,4.4,1.0,9.3,7.9,4.4,36,57.8,4.1,0.0,6.0
143,대구,2002-03-07,2.8,-1.2,8.2,7.0,4.5,15,29.4,10.8,0.0,0.0
143,대구,2002-03-08,5.4,-0.9,12.3,4.3,2.2,14,34.5,10.8,0.0,0.0
143,대구,2002-03-09,10.5,0.3,19.4,6.9,2.7,17,42.6,10.2,0.0,0.4
143,대구,2002-03-10,11.7,7.9,17.8,5.5,2.8,17,51.9,4.6,0.0,4.6
143,대구,2002-03-11,10.3,2.0,18.6,6.3,2.9,12,27.1,10.8,0.0,0.0
143,대구,2002-03-12,12.4,5.3,20.8,4.1,2.6,13,33.6,10.2,0.0,1.0
143,대구,2002-03-13,12.8,5.2,22.1,4.4,2.0,18,51.8,9.6,0.0,2.6
143,대구,2002-03-14,9.0,8.0,11.7,3.5,1.3,41,77.9,0.0,0.0,9.8
143,대구,2002-03-15,12.4,8.6,18.0,7.5,3.4,26,57.0,9.1,0.0,5.5
143,대구,2002-03-16,12.7,4.8,20.9,5.7,2.2,12,36.9,9.9,0.0,2.6
