지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),합계 일조시간(hr),월
133,대전,2001-02-01,-2.0,-6.9,3.3,0.0,8.8,2
133,대전,2001-02-02,-3.6,-10.4,1.7,0.0,8.9,2
133,대전,2001-02-03,1.9,-1.5,6.7,0.0,4.2,2
133,대전,2001-02-04,2.7,-1.0,9.5,,4.2,2
133,대전,2001-02-05,2.5,-2.7,9.4,,8.2,2
133,대전,2001-02-06,4.1,0.9,9.4,,7.2,2
133,대전,2001-02-07,0.2,-4.8,4.4,,6.2,2
133,대전,2001-02-08,-3.7,-8.6,1.3,,9.1,2
133,대전,2001-02-09,-1.4,-6.6,3.9,0.0,5.2,2
133,대전,2001-02-10,0.0,-5.3,6.1,,8.9,2
133,대전,2001-02-11,-1.0,-3.8,3.1,,5.1,2
133,대전,2001-02-12,-2.1,-4.7,1.6,,1.5,2
133,대전,2001-02-13,-2.7,-5.2,2.5,,4.2,2
133,대전,2001-02-14,-2.2,-6.7,3.2,,8.7,2
133,대전,2001-02-15,0.7,-5.4,6.9,5.3,1.2,2
133,대전,2001-02-16,-2.5,-6.2,1.3,,9.1,2
133,대전,2001-02-17,-1.1,-6.9,4.3,,5.6,2
133,대전,2001-02-18,3.7,-1.4,11.6,,8.1,2
133,대전,2001-02-19,4.7,0.2,11.6,,6.8,2
133,대전,2001-02-20,5.0,-2.8,15.0,,8.7,2
133,대전,2001-02-21,4.8,1.6,9.1,1.8,0.5,2
133,대전,2001-02-22,5.7,1.4,14.4,,5.3,2
133,대전,2001-02-23,3.8,1.3,5.5,19.5,0.0,2
133,대전,2001-02-24,1.1,-2.3,3.2,8.7,0.0,2
133,대전,2001-02-25,0.1,-4.8,6.1,,9.8,2
133,대전,2001-02-26,2.0,-4.2,9.2,,9.5,2
133,대전,2001-02-27,2.5,-3.1,7.7,23.4,2.3,2
133,대전,2001-02-28,2.9,2.1,5.1,11.3,0.0,2
133,대전,2001-03-01,4.9,1.2,11.1,,4.6,3
133,대전,2001-03-02,5.8,0.5,11.4,,4.9,3
133,대전,2001-03-03,5.3,0.6,14.0,3.0,1.3,3
133,대전,2001-03-04,0.0,-2.2,2.6,0.8,4.7,3
133,대전,2001-03-05,3.4,-1.5,9.7,,9.6,3
133,대전,2001-03-06,5.9,-0.1,12.8,,1.2,3
133,대전,2001-03-07,0.3,-2.5,3.7,0.0,7.9,3
133,대전,2001-03-08,-2.5,-4.7,1.1,0.3,5.8,3
133,대전,2001-03-09,0.9,-4.6,6.0,0.0,9.4,3
133,대전,2001-03-10,3.7,-2.0,8.2,0.0,8.6,3
133,대전,2001-03-11,1.4,-5.5,9.2,,10.0,3
133,대전,2001-03-12,2.4,-3.3,8.8,,9.8,3
133,대전,2001-03-13,5.4,-3.5,15.1,,10.2,3
133,대전,2001-03-14,9.6,0.0,17.9,0.0,6.9,3
133,대전,2001-03-15,5.5,0.6,12.5,,9.2,3
133,대전,2001-03-16,5.3,-3.2,12.7,,6.6,3
133,대전,2001-03-17,7.9,4.9,13.3,,0.4,3
133,대전,2001-03-18,8.6,0.9,16.3,,9.9,3
133,대전,2001-03-19,11.4,5.0,18.4,,6.4,3
133,대전,2001-03-20,13.2,7.7,20.2,,8.4,3
133,대전,2001-03-21,13.1,2.6,23.7,,10.2,3
133,대전,2001-03-22,12.4,6.1,20.0,,7.3,3
133,대전,2001-03-23,11.4,3.2,21.3,,9.9,3
133,대전,2001-03-24,13.6,3.3,23.5,,8.1,3
133,대전,2001-03-25,11.3,3.7,20.6,,5.6,3
133,대전,2001-03-26,4.3,0.6,9.9,,10.3,3
133,대전,2001-03-27,3.1,-2.3,9.1,0.0,1.2,3
133,대전,2001-03-28,3.8,0.6,8.3,6.7,2.3,3
133,대전,2001-03-29,2.8,-0.5,7.8,1.7,6.3,3
133,대전,2001-03-30,2.5,-1.1,8.2,3.5,3.1,3
133,대전,2001-03-31,4.9,-1.7,11.6,,9.6,3
133,대전,2001-04-01,6.7,0.0,14.2,,10.3,4
133,대전,2001-04-02,9.5,0.2,16.3,,9.3,4
133,대전,2001-04-03,9.2,3.7,16.3,,10.1,4
133,대전,2001-04-04,10.2,0.1,20.4,,10.9,4
133,대전,2001-04-05,10.7,2.8,18.7,,10.4,4
133,대전,2001-04-06,12.4,2.6,20.1,,7.6,4
133,대전,2001-04-07,14.9,10.8,22.5,0.0,3.7,4
133,대전,2001-04-08,16.9,9.5,24.7,,7.2,4
133,대전,2001-04-09,20.5,12.3,28.0,,8.6,4
133,대전,2001-04-10,19.0,13.5,26.2,,7.6,4
133,대전,2001-04-11,8.5,5.2,13.9,5.8,0.0,4
133,대전,2001-04-12,9.3,5.0,15.4,,10.4,4
133,대전,2001-04-13,12.5,4.4,18.8,,10.2,4
133,대전,2001-04-14,10.9,6.9,16.4,2.7,10.0,4
133,대전,2001-04-15,14.1,8.8,20.6,,11.0,4
133,대전,2001-04-16,15.6,6.9,24.6,,11.2,4
133,대전,2002-02-01,-0.2,-6.9,6.8,,7.9,2
133,대전,2002-02-02,2.8,-2.4,9.8,,7.2,2
133,대전,2002-02-03,2.4,-3.4,10.4,,8.5,2
133,대전,2002-02-04,2.0,-2.8,7.2,,0.0,2
133,대전,2002-02-05,4.9,0.1,11.7,,8.4,2
133,대전,2002-02-06,4.8,-2.5,10.8,0.0,5.6,2
133,대전,2002-02-07,4.9,0.4,10.9,,8.9,2
