지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
159,부산,2001-02-01,3.2,-1.9,7.6,7.6,3.8,16,35.4,7.6,0.0,2.8
159,부산,2001-02-02,0.9,-4.4,6.2,10.2,3.8,14,23.0,8.0,0.0,0.3
159,부산,2001-02-03,5.2,1.0,10.2,6.7,2.9,18,39.4,7.1,0.0,4.6
159,부산,2001-02-04,7.4,4.9,10.0,5.8,2.6,38,57.6,0.0,0.0,7.6
159,부산,2001-02-05,9.5,5.9,14.7,6.2,4.1,46,64.4,7.3,0.0,3.8
159,부산,2001-02-06,8.6,7.5,10.4,6.4,4.3,68,71.5,0.0,0.0,9.8
159,부산,2001-02-07,7.1,2.6,11.5,8.8,3.4,25,55.4,2.8,0.0,6.6
159,부산,2001-02-08,0.6,-3.0,6.4,9.6,4.0,14,24.4,8.7,0.0,0.0
159,부산,2001-02-09,2.3,-2.4,7.4,7.0,3.5,25,42.8,7.0,0.0,1.8
159,부산,2001-02-10,4.7,0.8,9.8,5.1,2.4,14,36.1,7.3,0.0,3.0
159,부산,2001-02-11,4.9,2.3,8.4,5.3,2.5,26,37.8,4.7,0.0,5.4
159,부산,2001-02-12,3.9,1.9,6.7,6.3,3.8,12,18.4,0.0,0.0,9.6
159,부산,2001-02-13,4.0,1.0,10.3,8.6,3.2,12,24.1,3.3,0.0,5.8
159,부산,2001-02-14,1.1,-1.9,5.6,8.1,3.8,16,26.3,8.6,0.0,0.0
159,부산,2001-02-15,4.1,-1.2,9.6,15.8,5.7,22,43.4,6.5,0.0,2.4
159,부산,2001-02-16,1.8,-1.1,6.3,10.6,4.0,19,37.0,8.1,0.0,0.0
159,부산,2001-02-17,2.2,-3.2,8.4,11.1,4.1,25,42.5,7.0,0.0,4.0
159,부산,2001-02-18,7.4,2.8,13.4,9.5,3.7,32,48.3,3.9,0.0,4.5
159,부산,2001-02-19,9.5,4.9,15.9,7.4,3.4,29,55.1,7.8,0.0,1.3
159,부산,2001-02-20,10.1,7.1,15.1,5.8,2.9,45,64.0,4.3,0.0,2.3
159,부산,2001-02-21,8.3,6.9,11.7,5.4,1.9,59,80.9,0.0,0.0,4.8
159,부산,2001-02-22,11.0,5.2,17.1,6.1,2.2,35,62.9,8.5,0.0,0.0
159,부산,2001-02-23,8.7,6.4,11.2,8.6,3.3,56,82.6,0.0,0.0,9.9
159,부산,2001-02-24,4.9,2.3,7.3,7.5,4.7,58,80.6,0.0,0.0,7.6
