지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
108,서울,2001-02-01,-5.8,-9.1,0.6,5.8,3.8,31,50.3,6.8,9.3,0.0
108,서울,2001-02-02,-4.9,-10.4,-0.9,5.0,2.0,35,64.9,4.2,9.2,5.0
108,서울,2001-02-03,0.1,-3.4,3.7,3.3,1.2,57,67.6,3.4,9.2,7.3
108,서울,2001-02-04,1.3,-1.2,5.2,3.6,1.5,57,66.8,4.2,8.1,3.8
108,서울,2001-02-05,1.5,-2.1,5.7,4.0,1.4,58,68.0,4.3,6.5,2.3
108,서울,2001-02-06,2.6,-0.7,6.3,3.4,1.7,52,69.6,4.1,5.1,3.0
108,서울,2001-02-07,-2.6,-8.1,1.7,6.1,3.7,25,51.1,4.7,3.4,3.5
108,서울,2001-02-08,-4.9,-9.0,-0.8,4.4,2.6,26,50.9,7.1,1.5,2.3
108,서울,2001-02-09,-0.9,-4.7,4.0,6.3,2.4,51,74.4,2.0,1.6,4.0
108,서울,2001-02-10,-1.4,-3.8,1.7,3.8,1.6,24,42.1,4.3,0.0,3.8
108,서울,2001-02-11,-3.5,-6.5,0.1,4.5,2.6,15,29.4,6.4,0.0,5.3
108,서울,2001-02-12,-4.2,-6.6,0.0,4.6,2.4,24,35.3,3.7,0.0,5.3
108,서울,2001-02-13,-3.9,-6.4,-0.1,5.1,2.4,23,36.0,2.7,0.0,5.3
108,서울,2001-02-14,-3.6,-6.7,-0.1,4.0,1.7,29,41.1,7.3,0.0,0.9
108,서울,2001-02-15,-3.4,-5.2,0.1,4.9,2.2,50,78.6,0.0,23.4,7.6
108,서울,2001-02-16,-6.1,-8.6,-3.6,4.4,2.1,27,51.3,7.8,22.9,1.0
108,서울,2001-02-17,-2.3,-7.0,0.7,3.2,2.0,55,63.3,0.2,18.3,8.9
108,서울,2001-02-18,2.7,-0.6,5.6,2.4,1.2,49,71.5,2.4,16.0,8.6
108,서울,2001-02-19,3.5,1.3,7.1,4.7,2.1,42,70.0,6.4,7.6,4.5
108,서울,2001-02-20,4.1,-0.7,9.8,3.2,1.3,32,63.9,6.0,0.6,1.4
108,서울,2001-02-21,5.9,3.7,9.2,4.3,2.1,30,65.5,3.0,0.0,4.4
108,서울,2001-02-22,6.4,1.7,12.2,3.2,1.3,33,69.3,4.8,0.0,3.1
108,서울,2001-02-23,3.5,0.4,6.2,4.9,2.6,62,77.9,0.0,1.9,10.0
108,서울,2001-02-24,0.0,-2.2,2.3,4.8,2.6,38,76.6,0.2,6.5,7.4
108,서울,2001-02-25,-0.5,-4.7,3.8,4.7,2.6,33,46.6,7.9,2.2,0.5
108,서울,2001-02-26,1.9,-3.1,6.9,4.0,1.5,30,54.8,7.5,0.0,0.9
108,서울,2001-02-27,3.0,-0.8,8.1,3.9,1.7,32,68.0,2.4,0.0,6.9
108,서울,2001-02-28,3.4,0.1,8.5,3.2,1.3,54,75.5,3.2,0.0,7.4
108,서울,2001-03-01,4.9,1.7,8.5,3.5,1.8,25,61.8,7.3,0.0,7.6
108,서울,2001-03-02,4.2,0.6,8.4,4.3,1.7,55,75.4,0.0,0.0,8.0
108,서울,2001-03-03,3.4,-0.1,9.3,8.3,3.1,51,76.3,0.0,2.8,8.6
108,서울,2001-03-04,-1.4,-3.5,0.2,8.6,4.9,46,63.1,2.6,3.5,5.9
108,서울,2001-03-05,1.9,-1.8,5.5,5.5,3.5,28,43.8,6.8,0.0,2.0
108,서울,2001-03-06,3.4,0.5,8.1,8.9,3.1,56,65.5,0.0,0.0,9.0
108,서울,2001-03-07,-1.6,-4.0,1.7,6.8,4.1,29,49.6,6.2,0.0,3.3
