지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
152,울산,2001-02-01,2.1,-2.6,6.6,6.7,3.6,13,28.8,9.2,0.0,2.9
152,울산,2001-02-02,-0.9,-6.0,4.8,6.9,2.9,12,24.0,9.4,0.0,0.0
152,울산,2001-02-03,2.8,-3.4,8.6,2.7,1.4,30,46.1,6.3,0.0,4.9
152,울산,2001-02-04,5.3,1.4,9.1,2.6,1.3,40,57.4,0.3,0.0,7.4
152,울산,2001-02-05,6.5,0.7,12.7,4.2,1.5,44,65.4,8.1,0.0,4.0
152,울산,2001-02-06,6.8,5.4,8.3,3.2,1.5,67,73.6,0.0,0.0,9.8
152,울산,2001-02-07,5.9,0.6,10.0,5.7,2.7,18,49.4,3.3,0.0,7.1
152,울산,2001-02-08,-0.2,-3.9,4.4,6.3,3.5,15,24.8,10.0,0.0,0.0
152,울산,2001-02-09,1.8,-2.8,8.0,5.9,2.6,24,40.6,9.5,0.0,2.5
152,울산,2001-02-10,2.5,-1.0,8.3,3.4,1.4,14,40.1,9.3,0.0,1.6
152,울산,2001-02-11,2.6,-2.7,7.5,4.7,2.1,20,35.5,6.6,0.0,4.3
152,울산,2001-02-12,2.1,0.8,4.2,2.9,1.9,13,18.4,0.0,0.0,10.0
152,울산,2001-02-13,2.9,-0.8,8.2,6.9,2.4,10,23.1,5.3,0.0,4.3
152,울산,2001-02-14,0.4,-2.5,4.4,8.3,4.8,14,24.5,10.0,0.0,0.1
152,울산,2001-02-15,3.3,-2.8,8.8,8.1,3.2,16,43.0,7.9,0.0,2.1
152,울산,2001-02-16,1.0,-1.6,4.1,8.2,4.6,19,31.3,10.1,0.0,0.0
152,울산,2001-02-17,2.8,-4.5,9.1,5.4,2.1,17,30.1,8.6,0.0,5.4
152,울산,2001-02-18,6.9,1.8,13.4,6.5,2.1,18,37.8,6.9,0.0,3.9
152,울산,2001-02-19,9.4,3.8,15.7,4.4,2.8,18,46.5,8.9,0.0,2.4
152,울산,2001-02-20,8.3,3.8,14.0,4.0,1.9,40,62.5,8.0,0.0,4.1
152,울산,2001-02-21,6.5,2.6,10.6,4.4,1.2,69,78.3,1.6,0.0,4.4
152,울산,2001-02-22,9.2,2.3,16.8,3.3,1.6,26,61.1,10.3,0.0,0.0
152,울산,2001-02-23,6.5,4.8,9.2,4.2,1.9,69,83.8,0.0,0.0,8.6
152,울산,2001-02-24,4.1,2.2,5.9,4.3,3.1,62,77.9,0.0,0.0,7.9
152,울산,2001-02-25,2.0,-1.3,6.8,6.0,3.6,19,35.0,10.5,0.0,0.0
152,울산,2001-02-26,4.1,-1.6,11.8,3.2,1.5,15,39.1,9.0,0.0,3.6
152,울산,2001-02-27,7.5,-0.7,13.3,3.2,1.1,20,54.3,2.9,0.0,7.1
152,울산,2001-02-28,9.3,6.8,13.6,5.7,3.0,50,74.3,1.9,0.0,8.3
152,울산,2001-03-01,7.2,3.5,10.1,4.3,2.3,51,64.6,0.1,0.0,8.0
152,울산,2001-03-02,6.8,1.0,13.0,3.1,1.8,32,60.4,7.3,0.0,1.4
152,울산,2001-03-03,8.7,3.5,13.9,7.3,2.6,48,67.1,0.1,0.0,8.4
152,울산,2001-03-04,2.6,0.5,5.3,8.9,5.0,24,37.3,4.7,0.0,3.8
152,울산,2001-03-05,5.5,0.0,11.9,10.7,3.2,13,30.0,9.8,0.0,1.5
152,울산,2001-03-06,9.3,1.4,17.0,6.7,2.6,15,48.4,7.1,0.0,5.3
152,울산,2001-03-07,3.9,-0.2,8.7,6.8,3.6,15,29.3,9.0,0.0,2.4
152,울산,2001-03-08,-0.7,-3.0,2.8,7.0,3.5,19,35.3,8.4,0.0,1.4
152,울산,2001-03-09,1.2,-3.2,6.6,7.1,3.3,15,31.3,11.0,0.0,0.0
152,울산,2001-03-10,5.5,0.6,13.3,6.2,3.2,27,53.8,6.2,0.0,2.3
152,울산,2001-03-11,3.8,0.2,9.2,3.6,1.5,50,68.1,2.8,0.0,7.0
152,울산,2001-03-12,5.1,1.5,10.1,5.5,2.7,17,29.1,10.2,0.0,1.1
152,울산,2001-03-13,6.0,0.1,11.7,3.9,2.2,39,51.1,9.6,0.0,1.3
152,울산,2001-03-14,12.4,2.4,18.7,8.3,3.2,39,57.6,5.0,0.0,6.6
152,울산,2001-03-15,10.8,6.1,15.6,4.8,2.7,28,59.0,9.8,0.0,0.9
152,울산,2001-03-16,8.8,0.5,14.7,3.9,1.7,25,51.9,7.6,0.0,6.6
152,울산,2001-03-17,9.3,7.2,12.1,2.6,1.2,46,69.8,0.9,0.0,9.9
152,울산,2001-03-18,13.0,7.7,20.1,5.8,2.7,12,31.1,10.1,0.0,3.1
152,울산,2001-03-19,14.6,7.7,21.6,7.5,2.4,10,35.1,9.8,0.0,4.9
152,울산,2001-03-20,16.4,11.7,22.6,6.5,2.9,19,42.6,9.2,0.0,1.8
152,울산,2001-03-21,14.6,7.6,20.8,5.9,1.9,18,35.4,10.8,0.0,1.3
152,울산,2001-03-22,15.9,9.1,23.6,6.7,2.3,13,34.1,7.9,0.0,0.6
152,울산,2001-03-23,12.8,8.6,18.7,3.0,1.4,10,31.8,9.2,0.0,3.6
152,울산,2001-03-24,12.5,4.2,19.8,3.7,1.4,15,47.6,8.2,0.0,4.0
152,울산,2001-03-25,15.0,11.0,21.6,7.2,2.1,15,49.1,5.4,0.0,7.3
152,울산,2001-03-26,9.8,5.3,15.5,5.3,2.8,10,17.4,10.7,0.0,2.3
152,울산,2001-03-27,7.4,2.4,12.8,4.3,1.9,13,27.5,5.8,0.0,7.3
152,울산,2001-03-28,6.9,4.8,9.7,4.2,1.9,40,72.9,0.9,0.0,9.1
152,울산,2001-03-29,6.6,4.4,11.2,7.6,3.4,18,32.6,8.2,0.0,3.4
152,울산,2001-03-30,3.4,0.3,7.0,3.3,1.1,25,65.0,0.3,0.0,6.6
152,울산,2001-03-31,7.0,1.8,12.7,4.7,2.4,18,42.6,9.6,0.0,1.9
152,울산,2001-04-01,9.2,2.0,15.7,5.4,2.5,18,36.0,11.3,0.0,1.0
152,울산,2001-04-02,12.7,3.8,19.8,6.5,2.7,18,41.0,11.2,0.0,1.5
152,울산,2001-04-03,10.0,6.1,14.1,6.6,2.6,32,51.0,5.0,0.0,5.3
152,울산,2001-04-04,9.9,2.1,16.4,5.1,1.9,15,46.9,11.7,0.0,0.0
152,울산,2001-04-05,13.7,6.3,21.1,3.9,1.4,24,45.1,9.6,0.0,4.9
152,울산,2001-04-06,12.7,8.2,18.0,5.0,2.1,27,57.1,7.5,0.0,5.1
152,울산,2001-04-07,13.9,8.3,20.0,4.0,1.6,43,71.8,10.5,0.0,2.1
152,울산,2001-04-08,15.5,7.4,22.2,4.3,1.6,37,72.9,7.4,0.0,5.1
152,울산,2001-04-09,17.7,14.0,21.8,6.6,2.5,39,59.6,7.0,0.0,5.1
152,울산,2001-04-10,18.4,13.0,24.5,3.2,1.8,28,50.4,7.6,0.0,5.3
152,울산,2001-04-11,14.2,6.4,21.4,5.4,1.8,30,62.8,0.1,0.0,9.8
152,울산,2001-04-12,11.4,6.7,16.1,6.3,2.5,18,36.6,9.5,0.0,2.3
152,울산,2001-04-13,13.3,4.7,20.1,5.3,1.8,13,35.5,11.3,0.0,1.1
152,울산,2001-04-14,14.8,9.7,19.5,7.4,3.1,14,34.3,11.1,0.0,2.6
152,울산,2001-04-15,17.0,9.1,24.3,5.4,2.4,14,29.9,11.5,0.0,0.0
152,울산,2001-04-16,17.4,9.4,25.0,4.1,1.5,11,35.3,11.8,0.0,0.3
152,울산,2001-04-17,16.6,10.7,24.3,4.3,1.7,17,46.5,12.0,0.0,0.0
152,울산,2001-04-18,16.3,8.0,24.5,5.0,1.7,15,57.5,12.2,0.0,0.0
152,울산,2001-04-19,19.1,10.6,28.6,4.2,1.5,8,41.6,11.0,0.0,3.3
152,울산,2001-04-20,11.4,9.0,13.9,6.0,3.2,40,54.8,4.0,0.0,8.4
152,울산,2001-04-21,11.8,8.3,16.5,4.3,1.7,41,58.8,5.2,0.0,7.1
152,울산,2001-04-22,12.0,7.7,15.6,6.2,2.6,32,56.4,7.8,0.0,2.0
152,울산,2001-04-23,16.7,6.5,25.0,5.9,2.1,12,41.9,11.6,0.0,2.9
152,울산,2001-04-24,15.5,11.0,19.2,4.5,2.0,27,43.4,4.6,0.0,6.9
152,울산,2001-04-25,12.8,9.4,17.0,5.8,2.5,23,54.8,7.4,0.0,3.1
152,울산,2001-04-26,14.9,6.8,22.0,4.4,1.6,15,42.1,9.2,0.0,2.9
152,울산,2001-04-27,16.5,9.3,23.7,5.0,1.6,12,35.1,11.1,0.0,1.3
152,울산,2001-04-28,16.0,9.2,22.7,4.7,1.3,30,58.6,2.4,0.0,8.8
152,울산,2001-04-29,15.4,14.8,16.3,3.4,2.0,69,82.4,0.0,0.0,10.0
