지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
102,백령도,2001-02-01,-5.4,-6.9,-1.5,7.1,5.7,39,53.9,8.7,0.0,4.3
102,백령도,2001-02-02,-2.7,-8.4,2.5,11.1,6.2,40,59.3,5.3,0.0,3.1
102,백령도,2001-02-03,-2.6,-5.1,0.8,6.5,4.4,38,59.5,4.8,0.0,4.6
102,백령도,2001-02-04,-1.8,-4.1,1.2,4.9,3.4,57,70.6,6.8,0.0,2.3
102,백령도,2001-02-05,0.2,-2.2,4.2,5.5,3.8,53,73.3,3.7,0.0,8.0
102,백령도,2001-02-06,-1.4,-2.8,0.8,5.2,3.6,58,73.3,7.5,0.0,6.0
102,백령도,2001-02-07,-5.4,-6.5,-2.3,5.9,5.6,52,58.9,8.6,0.0,3.9
102,백령도,2001-02-08,-2.8,-6.8,0.5,9.1,4.8,43,54.8,6.6,0.0,4.0
102,백령도,2001-02-09,0.4,-0.9,2.1,9.3,7.2,32,48.6,7.3,0.0,4.1
102,백령도,2001-02-10,-3.4,-5.7,0.2,6.7,5.9,30,46.9,8.1,0.0,2.4
102,백령도,2001-02-11,-6.0,-7.8,-3.8,7.7,6.2,27,45.1,7.3,0.0,5.8
102,백령도,2001-02-12,-5.0,-6.3,-3.2,4.6,3.7,39,52.0,7.5,0.0,6.6
102,백령도,2001-02-13,-3.3,-5.8,-0.3,6.2,4.7,34,52.5,7.2,0.0,7.0
102,백령도,2001-02-14,-2.5,-6.1,-0.3,4.2,3.2,40,61.9,9.2,0.0,4.1
102,백령도,2001-02-15,-0.3,-4.5,3.2,10.4,5.8,48,73.0,0.4,0.0,8.3
102,백령도,2001-02-16,-3.2,-5.9,-0.7,6.9,5.6,42,55.9,7.2,0.0,4.6
102,백령도,2001-02-17,1.2,-3.3,4.4,7.1,4.9,49,68.8,0.8,0.0,8.5
102,백령도,2001-02-18,3.9,2.2,7.4,5.0,4.1,72,84.1,6.3,0.0,4.1
102,백령도,2001-02-19,2.0,0.7,3.8,2.6,2.5,65,81.8,7.7,0.0,4.3
