지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
140,군산,2001-02-01,-1.1,-5.0,4.0,14.0,6.7,26,42.1,9.6,0.0,2.5
140,군산,2001-02-02,-2.3,-7.2,1.6,6.4,2.7,20,47.9,9.0,0.0,2.8
140,군산,2001-02-03,2.3,-0.7,7.0,6.1,2.4,47,68.4,6.3,0.0,6.1
140,군산,2001-02-04,3.4,0.7,8.9,6.5,2.6,29,69.3,4.9,0.0,4.8
140,군산,2001-02-05,3.4,-0.7,7.4,5.5,1.8,44,61.5,8.4,0.0,4.1
140,군산,2001-02-06,3.2,1.4,4.8,9.2,3.2,54,67.0,7.1,0.0,5.5
140,군산,2001-02-07,0.2,-3.1,2.4,14.8,6.2,38,58.3,7.0,0.0,4.6
140,군산,2001-02-08,-2.2,-5.6,1.0,10.0,3.8,23,48.1,10.0,0.0,1.9
140,군산,2001-02-09,0.3,-3.8,5.3,6.2,3.1,53,70.4,3.7,0.9,3.5
140,군산,2001-02-10,1.0,-2.8,5.3,6.1,2.4,27,63.8,9.2,0.0,2.6
140,군산,2001-02-11,0.1,-1.6,4.4,7.6,3.6,20,38.1,2.2,0.0,7.1
140,군산,2001-02-12,-1.3,-3.0,1.9,7.6,3.2,20,40.0,0.4,0.0,8.4
140,군산,2001-02-13,-1.0,-4.0,4.3,9.9,3.2,14,35.4,5.7,0.0,3.9
140,군산,2001-02-14,-1.3,-4.1,1.8,9.3,3.0,21,40.3,10.2,0.0,2.4
140,군산,2001-02-15,1.6,-3.3,7.7,18.0,6.9,48,64.6,1.2,0.0,7.9
140,군산,2001-02-16,-1.6,-3.6,0.7,12.6,6.4,37,48.4,10.3,0.0,3.3
140,군산,2001-02-17,-0.4,-5.1,4.0,7.7,2.5,44,59.8,6.4,0.0,6.5
140,군산,2001-02-18,3.3,0.0,9.4,6.4,3.0,36,64.1,4.8,0.0,5.1
140,군산,2001-02-19,3.1,0.2,6.4,9.5,3.1,62,76.1,7.7,0.0,3.0
140,군산,2001-02-20,4.5,-1.9,11.8,5.1,2.0,41,63.6,7.8,0.0,2.5
140,군산,2001-02-21,4.9,0.9,8.6,4.9,1.8,72,78.3,0.2,0.0,6.5
140,군산,2001-02-22,3.4,0.5,10.6,6.0,2.7,57,83.9,6.2,0.0,4.5
140,군산,2001-02-23,4.8,2.1,6.0,10.9,5.5,70,76.8,0.0,0.0,9.8
140,군산,2001-02-24,2.0,0.0,4.0,15.4,7.3,47,69.1,0.2,0.0,7.6
140,군산,2001-02-25,1.1,-2.2,4.2,10.6,3.9,23,48.1,10.3,0.0,0.3
140,군산,2001-02-26,2.0,-1.9,7.2,6.3,2.5,35,64.1,9.5,0.0,1.9
140,군산,2001-02-27,3.0,0.0,5.9,9.0,3.7,48,70.3,1.1,0.0,7.0
140,군산,2001-02-28,4.3,2.5,8.2,7.9,2.8,57,76.6,5.4,0.0,7.8
140,군산,2001-03-01,5.2,2.5,7.8,10.4,4.0,32,67.4,7.8,0.0,4.0
140,군산,2001-03-02,4.8,2.9,7.4,6.0,2.3,68,79.9,0.0,0.0,6.9
140,군산,2001-03-03,5.8,1.4,11.9,21.1,5.7,36,65.1,0.1,0.0,8.5
140,군산,2001-03-04,1.4,-1.6,3.6,23.5,12.8,35,61.1,2.8,0.0,7.8
140,군산,2001-03-05,4.0,1.2,7.1,13.5,5.6,37,50.5,9.7,0.0,2.4
140,군산,2001-03-06,5.9,1.9,11.8,12.4,5.0,60,66.9,0.4,0.0,8.4
140,군산,2001-03-07,0.6,-0.8,4.0,16.1,9.6,34,52.3,6.3,0.0,7.4
140,군산,2001-03-08,-1.5,-3.4,-0.6,14.5,7.7,48,62.4,3.1,1.7,7.1
140,군산,2001-03-09,1.9,-3.2,6.0,11.8,3.3,31,48.0,10.3,0.4,2.5
140,군산,2001-03-10,2.7,-1.2,5.8,15.2,7.0,51,64.3,9.9,0.0,2.9
140,군산,2001-03-11,0.4,-3.3,3.3,10.9,3.3,35,58.1,10.0,0.0,1.6
140,군산,2001-03-12,2.1,-1.2,5.1,12.2,3.4,44,56.8,9.4,0.0,2.3
140,군산,2001-03-13,4.1,-1.4,13.4,8.2,2.7,15,55.9,10.8,0.0,0.9
140,군산,2001-03-14,8.6,2.1,17.5,13.9,4.2,45,63.6,3.0,0.0,7.9
140,군산,2001-03-15,4.2,2.1,6.7,13.7,6.9,42,59.1,11.2,0.0,2.4
140,군산,2001-03-16,3.9,-1.3,7.6,7.6,2.5,26,61.1,3.8,0.0,6.9
140,군산,2001-03-17,6.3,5.2,8.1,9.4,3.2,55,71.4,0.0,0.0,8.8
140,군산,2001-03-18,7.4,2.1,12.5,7.4,2.8,51,69.4,8.7,0.0,3.4
140,군산,2001-03-19,10.4,6.0,16.0,11.1,3.1,47,68.5,7.1,0.0,5.8
140,군산,2001-03-20,10.8,6.7,15.7,10.4,3.0,45,66.6,6.9,0.0,2.4
140,군산,2001-03-21,9.0,2.7,16.8,8.4,2.5,31,61.9,7.9,0.0,3.8
140,군산,2001-03-22,8.8,5.4,13.7,13.7,4.5,46,59.0,7.3,0.0,2.5
140,군산,2001-03-23,9.8,5.4,18.5,8.2,2.0,8,45.5,9.4,0.0,3.3
140,군산,2001-03-24,11.9,5.8,21.8,7.3,2.2,11,48.4,7.8,0.0,6.5
140,군산,2001-03-25,8.2,4.1,13.3,15.4,4.5,48,63.8,2.9,0.0,5.5
140,군산,2001-03-26,4.0,1.4,7.3,12.8,4.3,27,45.9,9.5,0.0,1.8
140,군산,2001-03-27,4.5,0.7,8.8,9.7,3.9,29,53.6,1.5,0.0,9.0
140,군산,2001-03-28,3.9,1.4,7.1,13.8,4.8,52,69.0,4.5,0.0,8.1
140,군산,2001-03-29,4.2,0.9,6.9,17.5,4.3,37,58.5,8.8,0.0,5.3
140,군산,2001-03-30,3.6,0.6,6.4,11.8,3.5,53,72.1,4.1,1.1,6.5
140,군산,2001-03-31,5.4,2.4,8.0,14.4,5.6,43,59.1,11.2,0.0,1.3
140,군산,2001-04-01,6.3,0.5,10.9,8.9,3.4,44,66.0,8.9,0.0,1.4
140,군산,2001-04-02,8.5,3.0,13.4,11.9,3.5,49,65.4,7.9,0.0,4.4
140,군산,2001-04-03,7.8,2.7,11.3,13.3,4.0,37,60.6,11.7,0.0,0.0
140,군산,2001-04-04,7.3,2.5,11.6,8.3,2.1,42,68.4,10.6,0.0,0.6
140,군산,2001-04-05,8.6,3.5,13.4,7.9,2.5,32,63.9,10.8,0.0,4.0
140,군산,2001-04-06,9.5,3.5,16.2,7.0,1.4,36,64.6,7.3,0.0,6.9
140,군산,2001-04-07,13.8,9.9,18.5,8.0,1.6,50,61.4,8.5,0.0,4.8
140,군산,2001-04-08,15.4,9.4,23.4,7.1,1.8,30,62.8,7.7,0.0,6.6
140,군산,2001-04-09,17.0,13.2,26.6,13.3,2.4,29,55.8,8.3,0.0,4.6
140,군산,2001-04-10,13.0,8.9,18.8,14.3,4.1,50,70.6,6.5,0.0,5.9
140,군산,2001-04-11,7.7,5.6,9.3,14.5,5.2,65,74.3,0.0,0.0,8.4
140,군산,2001-04-12,9.3,5.8,13.2,13.1,5.7,25,60.1,10.7,0.0,1.0
140,군산,2001-04-13,11.9,6.4,17.5,7.5,2.9,17,55.6,9.6,0.0,4.3
140,군산,2001-04-14,9.1,6.8,13.5,11.9,5.2,43,67.9,11.5,0.0,2.8
140,군산,2001-04-15,12.5,6.8,16.3,10.5,3.5,49,58.9,10.6,0.0,0.0
140,군산,2001-04-16,13.0,8.2,19.9,10.0,3.2,21,60.6,11.3,0.0,0.3
140,군산,2001-04-17,13.6,7.5,22.6,8.6,3.1,9,59.3,12.2,0.0,0.3
140,군산,2001-04-18,13.4,7.1,21.9,9.8,3.0,21,69.6,11.3,0.0,1.5
140,군산,2001-04-19,11.2,8.8,17.0,10.5,3.7,61,81.6,2.1,0.0,7.4
140,군산,2001-04-20,12.9,9.7,19.0,9.9,3.4,48,73.8,3.9,0.0,8.8
140,군산,2001-04-21,12.5,8.9,18.7,13.8,5.0,25,56.0,10.7,0.0,5.4
140,군산,2001-04-22,11.7,5.9,18.7,9.0,4.0,27,52.4,11.6,0.0,0.0
140,군산,2001-04-23,12.3,7.5,17.1,10.2,3.7,41,68.4,9.7,0.0,3.6
140,군산,2001-04-24,11.8,8.8,16.3,13.2,4.4,31,54.4,7.6,0.0,3.3
140,군산,2001-04-25,10.7,6.8,14.4,10.0,3.3,38,53.1,5.1,0.0,2.3
140,군산,2001-04-26,11.0,6.1,16.2,9.9,3.5,33,63.9,9.0,0.0,2.9
140,군산,2001-04-27,13.0,6.5,23.1,8.5,2.9,14,58.3,9.8,0.0,3.8
140,군산,2001-04-28,15.8,10.5,23.3,6.5,2.9,24,59.1,1.7,0.0,9.0
140,군산,2001-04-29,16.1,14.6,17.9,11.8,5.5,70,79.5,0.0,0.0,10.0
140,군산,2001-04-30,16.0,12.1,23.2,9.8,4.6,47,74.6,2.0,0.0,9.1
146,전주,2001-02-01,-0.7,-5.2,4.7,6.9,3.9,21,40.0,9.1,0.0,1.5
146,전주,2001-02-02,-2.8,-8.8,2.5,3.9,1.1,18,53.3,9.1,0.0,0.0
146,전주,2001-02-03,3.1,-2.5,8.1,3.9,1.5,38,60.6,5.5,0.0,7.0
146,전주,2001-02-04,3.9,-0.3,10.6,3.6,1.0,33,64.1,3.1,0.0,6.3
146,전주,2001-02-05,4.3,-2.1,10.8,3.5,1.0,33,63.1,8.7,0.0,4.5
146,전주,2001-02-06,4.3,1.3,9.6,3.9,1.5,42,67.0,6.6,0.0,5.1
146,전주,2001-02-07,0.9,-3.3,5.7,5.2,2.2,32,63.8,5.9,0.0,4.0
146,전주,2001-02-08,-2.8,-7.1,1.9,5.1,2.3,16,44.4,9.6,0.0,0.0
146,전주,2001-02-09,-0.6,-6.4,5.4,5.3,1.4,46,66.0,3.7,0.0,3.3
146,전주,2001-02-10,0.6,-4.9,7.0,3.4,1.0,15,56.5,9.3,0.0,0.4
146,전주,2001-02-11,-0.2,-4.3,4.4,4.5,1.6,20,46.0,1.3,0.0,7.1
146,전주,2001-02-12,-1.1,-2.9,2.0,4.0,1.6,20,35.8,0.0,0.0,8.6
146,전주,2001-02-13,-1.6,-4.1,3.8,5.8,2.1,15,35.6,4.1,0.0,3.8
146,전주,2001-02-14,-1.7,-6.1,3.0,5.3,1.8,19,45.6,9.5,0.0,1.3
146,전주,2001-02-15,1.6,-4.4,8.9,9.7,3.9,32,63.0,3.3,0.0,7.0
146,전주,2001-02-16,-1.3,-5.2,2.5,5.5,3.1,33,49.9,9.8,0.0,0.5
146,전주,2001-02-17,-0.6,-7.1,5.8,3.8,1.2,38,60.5,6.6,0.0,5.8
146,전주,2001-02-18,4.2,0.0,11.0,2.7,0.8,40,61.3,5.2,0.0,4.6
146,전주,2001-02-19,4.1,-1.4,12.8,4.4,1.1,33,74.5,8.4,0.0,1.6
146,전주,2001-02-20,6.4,-1.6,15.4,4.1,1.0,37,69.5,8.4,0.0,3.4
146,전주,2001-02-21,7.0,4.7,8.9,3.5,1.0,64,84.6,0.7,0.0,8.0
146,전주,2001-02-22,7.0,0.5,16.5,3.0,1.0,27,72.5,9.8,0.0,2.5
146,전주,2001-02-23,6.3,2.8,8.2,3.9,1.1,69,87.1,0.0,0.0,9.9
146,전주,2001-02-24,2.7,-0.4,6.2,4.7,2.2,70,86.4,0.0,0.0,8.1
146,전주,2001-02-25,0.6,-3.7,5.6,4.9,1.9,26,56.5,9.9,0.0,0.0
146,전주,2001-02-26,2.2,-3.3,9.7,3.1,1.0,33,65.8,8.6,0.0,1.6
146,전주,2001-02-27,4.3,-1.2,9.6,5.3,1.0,38,74.4,0.9,0.0,6.9
146,전주,2001-02-28,4.9,3.5,7.3,4.1,1.6,71,85.8,0.1,0.0,9.6
146,전주,2001-03-01,4.8,0.7,10.2,5.5,1.7,26,75.3,4.7,1.0,6.5
146,전주,2001-03-02,6.3,3.0,10.9,3.3,1.0,60,81.3,1.7,0.0,7.6
146,전주,2001-03-03,6.8,0.3,14.3,6.9,2.6,47,69.3,0.7,0.3,8.1
146,전주,2001-03-04,-0.1,-1.6,1.8,8.5,4.3,47,74.0,1.9,2.2,9.1
146,전주,2001-03-05,3.2,-1.5,8.3,5.1,1.8,33,59.4,9.6,1.5,2.9
146,전주,2001-03-06,7.0,1.3,13.6,7.5,3.3,33,65.6,0.4,0.0,6.1
146,전주,2001-03-07,0.9,-1.8,4.1,6.4,4.0,28,54.3,6.8,0.0,3.0
146,전주,2001-03-08,-2.3,-4.1,0.9,6.8,3.2,43,69.6,3.2,2.5,5.5
146,전주,2001-03-09,1.0,-5.2,6.0,5.1,2.2,35,58.0,9.5,1.1,1.8
146,전주,2001-03-10,3.8,-1.8,8.3,6.3,3.4,27,53.6,7.7,0.0,1.8
146,전주,2001-03-11,0.9,-4.9,7.7,4.2,1.4,24,60.6,9.7,0.0,0.9
146,전주,2001-03-12,1.5,-3.7,7.6,5.9,2.0,41,62.3,8.0,0.0,1.1
146,전주,2001-03-13,5.1,-3.1,14.9,3.8,1.2,19,54.4,9.6,0.0,0.3
146,전주,2001-03-14,11.2,2.7,17.4,6.9,3.3,38,65.3,5.7,0.0,7.5
146,전주,2001-03-15,5.6,0.7,10.6,5.2,2.6,40,64.1,7.7,0.0,3.9
146,전주,2001-03-16,5.8,-3.1,13.6,3.2,1.1,22,50.5,6.1,0.0,6.5
146,전주,2001-03-17,7.1,4.0,10.5,3.7,1.2,49,63.8,0.0,0.0,9.6
146,전주,2001-03-18,8.1,0.0,16.3,5.2,1.4,30,64.0,9.3,0.0,1.9
146,전주,2001-03-19,12.1,4.0,19.2,7.5,2.3,28,62.5,7.4,0.0,4.8
146,전주,2001-03-20,13.5,7.7,21.0,5.7,2.8,18,57.5,9.0,0.0,1.8
146,전주,2001-03-21,12.7,4.7,23.6,4.9,1.5,15,43.4,10.0,0.0,0.5
146,전주,2001-03-22,12.0,5.8,17.5,6.3,2.6,29,51.1,6.1,0.0,3.8
146,전주,2001-03-23,12.3,5.1,21.8,4.1,1.4,10,36.9,10.1,0.0,4.1
146,전주,2001-03-24,14.4,6.2,24.5,4.5,1.4,6,28.9,7.5,0.0,6.8
146,전주,2001-03-25,10.9,4.2,18.9,6.5,2.0,31,56.4,4.8,0.0,6.9
146,전주,2001-03-26,4.8,0.8,10.8,6.2,2.4,20,47.3,9.8,0.0,1.0
146,전주,2001-03-27,6.0,-0.6,12.1,5.5,1.9,24,47.6,2.0,0.0,8.0
146,전주,2001-03-28,4.2,2.2,8.0,5.0,2.3,53,73.4,0.5,0.0,9.4
