지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
129,서산,2001-02-01,-3.9,-8.5,1.4,9.0,4.4,30,47.6,9.4,0.7,0.8
129,서산,2001-02-02,-5.6,-12.8,-0.8,7.6,2.4,45,76.4,5.5,1.9,4.8
129,서산,2001-02-03,-0.5,-6.2,5.3,4.6,1.1,66,90.0,3.4,1.7,6.8
129,서산,2001-02-04,0.9,-2.3,6.8,3.7,2.1,55,84.6,4.0,0.3,7.1
129,서산,2001-02-05,0.0,-4.6,4.4,6.4,3.0,47,73.4,7.6,0.0,4.9
129,서산,2001-02-06,0.5,-2.5,4.0,4.1,2.0,59,76.8,6.8,0.0,7.8
129,서산,2001-02-07,-2.2,-6.5,0.4,8.7,3.6,38,57.8,6.9,0.0,4.6
129,서산,2001-02-08,-4.1,-10.6,0.0,5.1,2.4,27,61.1,9.4,0.0,3.0
129,서산,2001-02-09,-1.6,-7.4,4.9,6.6,1.9,41,80.4,5.2,3.2,6.1
129,서산,2001-02-10,-2.1,-7.5,3.0,3.7,1.7,36,62.8,9.0,0.0,3.4
129,서산,2001-02-11,-3.2,-5.3,1.1,7.5,3.4,22,42.5,3.3,0.0,4.4
129,서산,2001-02-12,-4.3,-6.3,-1.2,5.5,2.9,23,53.1,5.8,0.0,6.3
129,서산,2001-02-13,-4.1,-7.7,-0.2,6.9,3.3,26,48.9,5.0,0.0,4.6
129,서산,2001-02-14,-3.8,-9.8,0.9,4.2,1.8,33,56.8,8.3,0.0,2.1
129,서산,2001-02-15,-0.7,-7.0,3.5,13.3,5.1,57,80.9,0.0,0.7,8.8
129,서산,2001-02-16,-4.4,-8.4,-0.1,7.0,3.5,37,60.0,9.7,0.0,2.4
129,서산,2001-02-17,-2.2,-8.6,2.4,4.9,1.8,60,77.6,1.9,0.0,5.3
129,서산,2001-02-18,2.6,-3.1,10.0,4.0,1.1,45,75.3,9.2,0.0,6.0
129,서산,2001-02-19,1.4,-3.4,7.8,5.3,1.7,47,84.4,6.0,0.0,4.5
129,서산,2001-02-20,2.2,-5.2,11.3,5.1,1.2,25,71.6,9.3,0.0,2.9
129,서산,2001-02-21,3.7,-1.2,10.6,3.7,1.1,39,86.8,3.6,0.0,5.5
129,서산,2001-02-22,2.5,-3.5,12.8,3.4,1.3,41,86.5,5.7,0.0,4.0
129,서산,2001-02-23,2.9,-1.3,9.5,10.2,4.6,54,89.1,0.0,0.0,10.0
129,서산,2001-02-24,0.0,-1.9,1.8,8.1,4.5,47,79.3,0.1,0.0,7.9
129,서산,2001-02-25,-0.4,-4.0,4.3,6.6,3.0,33,57.1,9.6,0.0,2.5
129,서산,2001-02-26,0.6,-6.3,8.1,3.7,1.4,29,68.3,10.1,0.0,2.1
129,서산,2001-02-27,1.8,-3.9,7.5,5.9,2.1,40,79.4,2.1,0.0,7.5
129,서산,2001-02-28,2.1,-0.6,7.0,5.6,2.8,57,84.8,4.8,0.0,7.5
129,서산,2001-03-01,3.4,-1.2,10.0,6.7,1.8,23,73.5,8.0,0.0,6.4
129,서산,2001-03-02,2.2,-0.6,4.6,4.6,2.0,78,90.9,0.0,0.0,9.8
129,서산,2001-03-03,2.6,-2.4,9.9,10.0,3.4,57,82.1,0.8,2.5,9.4
129,서산,2001-03-04,-0.6,-2.9,0.5,12.0,6.7,46,59.5,3.5,2.5,6.4
129,서산,2001-03-05,2.3,-3.7,6.6,7.8,3.2,34,56.3,9.3,1.5,3.6
129,서산,2001-03-06,4.4,0.0,9.8,9.4,4.6,31,69.3,0.0,0.0,8.3
129,서산,2001-03-07,-1.4,-3.2,1.3,9.8,5.5,34,53.9,7.7,0.0,5.1
129,서산,2001-03-08,-3.2,-5.1,-0.9,9.4,5.0,43,59.4,5.6,1.2,6.5
129,서산,2001-03-09,0.4,-7.2,3.8,7.1,3.8,34,54.1,10.0,1.1,5.0
129,서산,2001-03-10,0.7,-4.0,4.6,8.3,4.0,43,65.5,9.0,0.0,4.5
129,서산,2001-03-11,-1.6,-8.1,5.8,5.1,1.5,26,62.8,10.7,0.0,1.4
129,서산,2001-03-12,-0.1,-5.8,6.0,6.9,2.2,30,65.1,10.2,0.0,1.3
129,서산,2001-03-13,1.8,-6.4,11.5,5.9,1.7,30,65.3,10.3,0.0,1.8
129,서산,2001-03-14,7.1,-2.0,13.0,11.9,4.5,63,78.9,1.2,0.0,8.5
129,서산,2001-03-15,2.5,-2.4,7.8,7.4,3.4,23,61.3,11.0,0.0,2.4
129,서산,2001-03-16,2.9,-5.5,11.3,5.0,2.5,22,56.8,8.4,0.0,5.0
129,서산,2001-03-17,5.5,-0.2,10.7,6.0,2.3,34,57.1,1.1,0.0,8.0
129,서산,2001-03-18,5.0,-3.5,12.3,6.7,2.8,62,84.8,8.3,0.0,3.8
129,서산,2001-03-19,7.9,4.6,13.1,9.7,5.1,63,85.3,4.8,0.0,8.4
129,서산,2001-03-20,8.7,1.1,15.7,10.9,4.4,34,76.3,7.7,0.0,4.5
129,서산,2001-03-21,9.0,-1.9,19.4,6.2,2.2,15,60.9,10.3,0.0,3.3
129,서산,2001-03-22,7.8,0.8,12.5,7.5,3.7,24,54.5,8.6,0.0,3.5
129,서산,2001-03-23,8.7,-0.4,18.4,5.4,2.5,12,35.8,8.9,0.0,3.6
129,서산,2001-03-24,10.6,1.0,21.0,6.5,1.7,10,38.5,7.7,0.0,3.8
129,서산,2001-03-25,7.2,2.2,14.6,8.6,2.4,40,61.6,6.5,0.0,6.3
129,서산,2001-03-26,2.0,-3.7,6.6,7.7,3.4,20,45.0,11.3,0.0,0.6
129,서산,2001-03-27,-0.1,-5.5,4.1,7.2,2.2,26,77.5,0.0,0.3,7.5
129,서산,2001-03-28,2.6,-0.1,6.7,5.9,3.0,29,69.1,9.1,2.8,6.8
129,서산,2001-03-29,2.0,-3.7,7.5,8.7,2.8,22,65.5,8.5,1.0,4.1
129,서산,2001-03-30,2.2,-2.4,7.4,6.0,2.1,40,76.5,8.0,2.8,6.3
129,서산,2001-03-31,3.1,-4.1,9.6,9.2,3.4,24,58.9,11.6,0.0,2.6
129,서산,2001-04-01,4.6,-3.9,11.6,8.4,3.1,44,74.3,10.4,0.0,0.9
129,서산,2001-04-02,6.2,1.1,11.0,9.2,4.2,65,84.5,0.5,0.0,6.5
129,서산,2001-04-03,5.5,-2.6,13.0,7.0,2.7,22,60.4,11.8,0.0,0.3
129,서산,2001-04-04,7.1,-2.4,16.3,5.6,2.1,19,57.8,11.3,0.0,0.0
129,서산,2001-04-05,6.9,-1.9,14.4,6.0,1.9,34,68.5,9.6,0.0,4.6
129,서산,2001-04-06,8.8,0.9,16.8,7.5,1.5,13,63.9,4.3,0.0,8.8
129,서산,2001-04-07,12.9,7.4,20.0,5.5,1.8,44,67.0,6.4,0.0,7.3
129,서산,2001-04-08,14.6,7.0,22.8,4.7,2.4,30,64.0,7.3,0.0,6.4
129,서산,2001-04-09,17.3,9.7,26.2,6.1,3.1,27,51.8,8.8,0.0,6.1
129,서산,2001-04-10,13.3,8.3,23.6,7.2,1.7,19,65.6,6.5,0.0,6.8
129,서산,2001-04-11,6.5,2.6,10.0,7.0,1.8,58,76.9,0.0,0.0,9.0
129,서산,2001-04-12,7.0,1.4,14.3,7.3,3.0,17,60.0,11.1,0.0,2.3
129,서산,2001-04-13,10.2,1.0,16.7,8.0,2.9,24,61.5,8.9,0.0,7.0
129,서산,2001-04-14,8.7,4.1,13.3,7.9,4.4,36,70.6,10.8,0.0,2.9
129,서산,2001-04-15,11.4,7.2,16.9,8.4,5.3,51,69.4,11.2,0.0,0.0
129,서산,2001-04-16,11.7,4.5,18.8,9.7,4.0,19,55.9,11.9,0.0,1.8
