지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
127,충주,2001-02-01,-3.6,-9.5,1.8,9.5,3.8,32,51.6,9.1,0.0,1.8
127,충주,2001-02-02,-5.2,-13.5,0.7,5.4,1.2,36,59.3,7.4,0.0,2.8
127,충주,2001-02-03,-0.1,-1.9,2.7,2.0,0.5,63,76.8,0.0,0.4,7.3
127,충주,2001-02-04,0.6,-2.6,6.8,2.6,0.8,52,75.6,5.1,0.0,6.8
127,충주,2001-02-05,0.3,-5.0,8.4,2.5,1.0,49,71.6,7.2,0.0,4.8
127,충주,2001-02-06,2.0,-1.5,6.8,2.6,0.9,54,69.1,0.0,0.0,8.6
127,충주,2001-02-07,0.1,-5.4,3.7,7.1,2.6,37,57.4,5.9,0.0,5.5
127,충주,2001-02-08,-4.6,-9.8,-0.5,7.8,2.2,33,53.0,8.7,0.0,3.9
127,충주,2001-02-09,-2.2,-8.8,3.5,5.3,1.4,57,70.8,4.4,0.3,5.4
127,충주,2001-02-10,-2.3,-7.4,3.2,5.0,1.7,37,57.4,8.5,0.0,3.0
127,충주,2001-02-11,-2.0,-5.5,1.5,4.7,1.6,28,51.3,6.9,0.0,6.5
127,충주,2001-02-12,-2.6,-5.7,2.8,4.7,1.9,26,45.8,5.4,0.0,7.3
127,충주,2001-02-13,-3.4,-6.8,1.7,5.4,1.9,28,48.9,3.9,0.0,4.5
127,충주,2001-02-14,-4.0,-9.0,1.6,9.6,2.4,31,53.0,8.3,0.0,4.3
127,충주,2001-02-15,-2.2,-8.1,4.5,9.3,2.3,55,72.4,0.0,1.0,9.5
127,충주,2001-02-16,-5.1,-9.4,-1.7,6.8,2.8,46,65.1,9.4,0.9,0.9
127,충주,2001-02-17,-4.1,-10.0,0.3,3.0,1.0,59,72.9,3.1,0.0,5.9
127,충주,2001-02-18,0.2,-3.4,6.0,2.8,0.9,55,71.9,3.5,0.0,6.3
127,충주,2001-02-19,3.2,-1.4,9.8,4.9,1.6,41,66.9,6.5,0.0,5.4
127,충주,2001-02-20,1.4,-3.4,12.3,3.1,0.9,45,75.1,4.7,0.0,6.4
127,충주,2001-02-21,2.9,-0.8,9.6,3.1,1.0,56,74.4,1.7,0.0,6.0
127,충주,2001-02-22,2.8,-1.9,13.3,2.4,0.9,43,73.5,5.1,0.0,4.1
127,충주,2001-02-23,1.4,-1.7,3.6,5.1,1.4,69,78.5,0.0,0.0,9.1
127,충주,2001-02-24,0.5,-1.4,2.0,6.5,2.4,63,80.1,0.0,4.5,8.5
127,충주,2001-02-25,-1.7,-6.4,3.3,6.8,2.4,39,59.5,10.1,0.2,0.0
127,충주,2001-02-26,-0.6,-6.8,7.1,4.0,1.2,34,65.8,9.9,0.0,2.8
127,충주,2001-02-27,1.2,-5.4,8.3,3.1,1.0,43,69.3,3.7,0.0,7.9
127,충주,2001-02-28,3.0,1.3,5.6,3.4,0.9,64,76.4,0.0,0.0,9.4
127,충주,2001-03-01,2.8,-0.6,7.5,5.8,1.2,44,71.1,1.8,0.0,6.6
127,충주,2001-03-02,3.8,-1.4,11.5,2.7,0.7,45,69.8,7.8,0.0,5.6
127,충주,2001-03-03,3.3,-0.5,12.6,7.7,2.1,42,71.8,0.0,2.6,9.6
127,충주,2001-03-04,-1.1,-2.9,0.6,14.2,5.3,46,59.5,5.8,2.6,6.0
127,충주,2001-03-05,1.4,-3.3,6.8,10.0,3.0,34,50.8,9.5,0.4,2.5
127,충주,2001-03-06,3.3,-3.0,11.3,10.8,2.3,28,60.1,0.0,0.0,9.3
127,충주,2001-03-07,-0.4,-2.5,2.4,9.0,4.3,36,51.8,7.0,0.0,4.5
127,충주,2001-03-08,-3.4,-6.0,-0.6,11.2,4.5,37,50.3,4.8,0.0,6.5
127,충주,2001-03-09,-0.5,-7.7,4.0,8.1,2.6,32,46.6,9.5,0.0,4.3
127,충주,2001-03-10,3.1,-3.4,6.6,8.6,3.8,32,52.1,9.7,0.0,3.9
127,충주,2001-03-11,0.0,-6.6,6.8,5.3,2.0,28,56.3,10.0,0.0,1.6
127,충주,2001-03-12,1.1,-5.2,7.3,7.1,2.3,31,53.8,9.9,0.0,1.6
127,충주,2001-03-13,3.3,-5.3,14.3,3.0,1.2,22,53.9,10.3,0.0,1.3
127,충주,2001-03-14,8.5,-2.4,18.0,8.7,2.4,35,56.9,8.3,0.0,6.8
127,충주,2001-03-15,4.8,-1.0,10.7,7.6,3.4,36,54.9,7.1,0.0,3.8
127,충주,2001-03-16,4.2,-5.2,14.1,3.2,1.2,23,51.6,10.4,0.0,4.8
127,충주,2001-03-17,6.3,2.5,13.0,5.1,1.7,33,51.1,0.9,0.0,8.1
127,충주,2001-03-18,7.8,-1.6,16.4,7.5,1.9,30,52.8,10.0,0.0,1.8
