지점,년도,벚나무,벚나무.1
동두천,2001.0,2001-04-14,0일
동두천,2002.0,2002-04-04,-10일
동두천,2003.0,2003-04-12,-2일
동두천,2004.0,2004-04-11,-3일
동두천,2005.0,2005-04-17,3일
동두천,2006.0,2006-04-11,-3일
동두천,2007.0,2007-04-10,-4일
동두천,2008.0,2008-04-12,-2일
동두천,2009.0,2009-04-11,-3일
동두천,2010.0,2010-04-23,9일
동두천,2011.0,2011-04-25,11일
동두천,2012.0,2012-04-20,6일
동두천,2013.0,2013-04-27,13일
동두천,2014.0,2014-04-09,-5일
동두천,2015.0,2015-04-03,-11일
동두천,2016.0,2016-04-02,
동두천,2017.0,2017-04-08,
동두천,2018.0,2018-04-02,
동두천 ,2019.0,2019-04-07,
동두천,2020.0,2020-03-31,
동두천,2021.0,2021-03-29,
동두천,2022.0,2022-04-11,
동두천,2023.0,2023-03-30,
동두천,2024.0,2024-04-03,
동두천,2025.0,2025-04-07,
수원,2001.0,2001-04-09,1일
수원,2002.0,2002-03-28,-11일
수원,2003.0,2003-03-30,-9일
수원,2004.0,2004-04-06,-2일
수원,2005.0,2005-04-08,0일
수원,2006.0,2006-04-07,-1일
수원,2007.0,2007-04-07,-1일
수원,2008.0,2008-04-06,-2일
수원,2009.0,2009-04-06,-2일
수원,2010.0,2010-04-12,4일
수원,2011.0,2011-04-13,5일
수원,2012.0,2012-04-16,8일
수원,2013.0,2013-04-16,8일
수원,2014.0,2014-03-29,-10일
수원,2015.0,2015-04-04,-4일
수원,2016.0,2016-04-02,-6일
수원,2017.0,2017-04-08,0일
수원,2018.0,2018-04-02,-6일
수원,2019.0,2019-04-07,-1일
수원,2020.0,2020-03-31,-8일
수원,2021.0,2021-03-29,-10일
수원,2022.0,2022-04-11,3일
수원,2023.0,2023-03-30,-9일
수원,2024.0,2024-04-03,-5일
수원,2025.0,2025-04-07,-1일
양평,2001.0,2001-04-16,2일
양평,2002.0,2002-04-13,-1일
양평,2003.0,2003-04-16,2일
양평,2004.0,2004-04-15,1일
양평,2005.0,2005-04-22,8일
양평,2006.0,2006-04-19,5일
양평,2007.0,2007-04-17,3일
양평,2008.0,2008-04-15,1일
양평,2009.0,2009-04-06,
양평,2010.0,2010-04-16,
양평,2011.0,2011-04-17,
양평,2012.0,2012-04-17,
양평,2013.0,2013-04-19,
양평,2014.0,2014-04-02,
양평,2015.0,2015-04-03,
양평,2016.0,2016-04-02,
양평,2017.0,2017-04-08,
양평,2018.0,2018-04-02,
양평,2019.0,2019-04-07,
양평,2020.0,2020-03-31,
양평,2021.0,2021-03-29,
양평,2022.0,2022-04-11,
양평,2023.0,2023-03-30,
양평,2024.0,2024-04-03,
양평,2025.0,2025-04-07,
이천,2001.0,2001-04-09,1일
이천,2002.0,2002-03-27,-12일
이천,2003.0,2003-04-09,1일
이천,2004.0,2004-04-04,-4일
이천,2005.0,2005-04-08,0일
이천,2006.0,2006-04-07,-1일
이천,2007.0,2007-04-01,-7일
이천,2008.0,2008-04-05,-3일
이천,2009.0,2009-04-02,-6일
이천,2010.0,2010-04-15,7일
이천,2011.0,2011-04-15,7일
이천,2012.0,2012-04-15,7일
이천,2013.0,2013-04-14,6일
이천,2014.0,2014-04-01,-7일
이천,2015.0,2015-04-04,-4일
이천,2016.0,2016-04-02,
이천,2017.0,2017-04-08,
이천,2018.0,2018-04-02,
이천,2019.0,2019-04-07,
이천,2020.0,2020-03-31,
이천,2021.0,2021-03-29,
이천,2022.0,2022-04-11,
이천,2023.0,2023-03-30,
이천,2024.0,2024-04-03,
이천,2025.0,2025-04-07,
