지점,년도,벚나무,벚나무
거제,2001,2001-03-28,-2일
거제,2002,2002-03-21,-9일
거제,2003,2003-03-28,-2일
거제,2004,2004-03-24,-6일
거제,2005,2005-04-04,5일
거제,2006,2006-03-27,-3일
거제,2007,2007-03-25,-5일
거제,2008,2008-03-27,-3일
거제,2009,,
거제,2010,,
거제,2011,,
거제,2012,,
거제,2013,,
거제,2014,,
거제,2015,,
거제,2016,,
거제,2017,,
거제,2018,,
거제,2019,,
거제,2020,,
거제,2021,,
거제,2022,,
거제,2023,,
거제,2024,,
거제,2025,,
거창,2001,2001-04-05,-1일
거창,2002,2002-03-29,-8일
거창,2003,2003-04-05,-1일
거창,2004,2004-04-01,-5일
거창,2005,2005-04-11,5일
거창,2006,2006-04-05,-1일
거창,2007,2007-03-30,-7일
거창,2008,2008-04-04,-2일
거창,2009,2009-04-01,-5일
거창,2010,2010-04-11,5일
거창,2011,2011-04-11,5일
거창,2012,2012-04-12,6일
거창,2013,2013-04-03,-3일
거창,2014,2014-03-31,-6일
거창,2015,2015-03-31,-6일
거창,2016,,
거창,2017,,
거창,2018,,
거창,2019,,
거창,2020,,
거창,2021,,
거창,2022,,
거창,2023,,
거창,2024,,
거창,2025,,
남해,2001,2001-03-25,-5일
남해,2002,2002-03-21,-9일
남해,2003,2003-03-28,-2일
남해,2004,2004-03-24,-6일
남해,2005,2005-04-05,6일
남해,2006,2006-03-30,0일
남해,2007,2007-03-26,-4일
남해,2008,2008-03-28,-2일
남해,2009,,
남해,2010,,
남해,2011,,
남해,2012,,
남해,2013,,
남해,2014,,
남해,2015,,
남해,2016,,
남해,2017,,
남해,2018,,
남해,2019,,
남해,2020,,
남해,2021,,
남해,2022,,
남해,2023,,
남해,2024,,
남해,2025,,
밀양,2001,2001-03-27,-5일
밀양,2002,2002-03-21,-11일
밀양,2003,2003-03-30,-2일
밀양,2004,2004-03-26,-6일
밀양,2005,2005-04-06,5일
밀양,2006,2006-03-31,-1일
밀양,2007,2007-03-27,-5일
밀양,2008,2008-03-28,-4일
밀양,2009,,
밀양,2010,,
밀양,2011,,
밀양,2012,,
밀양,2013,,
밀양,2014,,
밀양,2015,,
밀양,2016,,
밀양,2017,,
밀양,2018,,
밀양,2019,,
밀양,2020,,
밀양,2021,,
밀양,2022,,
밀양,2023,,
밀양,2024,,
밀양,2025,,
산청,2001,2001-04-02,1일
산청,2002,2002-03-22,-10일
산청,2003,2003-03-31,-1일
산청,2004,2004-03-27,-5일
산청,2005,2005-04-04,3일
산청,2006,2006-03-30,-2일
산청,2007,2007-03-26,-6일
산청,2008,2008-03-28,-4일
산청,2009,,
산청,2010,,
산청,2011,,
산청,2012,,
산청,2013,,
산청,2014,,
산청,2015,,
산청,2016,,
산청,2017,,
산청,2018,,
산청,2019,,
산청,2020,,
산청,2021,,
산청,2022,,
산청,2023,,
산청,2024,,
산청,2025,,
진주,2001,2001-03-31,-2일
진주,2002,2002-03-22,-11일
진주,2003,2003-03-28,-5일
진주,2004,2004-03-29,-4일
진주,2005,2005-04-06,4일
진주,2006,2006-03-31,-2일
진주,2007,2007-03-27,-6일
진주,2008,2008-03-31,-2일
진주,2009,2009-03-23,-10일
진주,2010,2010-04-03,1일
진주,2011,2011-04-08,6일
진주,2012,2012-04-07,5일
진주,2013,2013-03-27,-6일
진주,2014,2014-03-27,-6일
진주,2015,2015-03-29,-4일
진주,2016,,
진주,2017,,
진주,2018,,
진주,2019,,
진주,2020,,
진주,2021,,
진주,2022,,
진주,2023,,
진주,2024,,
진주,2025,,
창원,2001,2001-03-27,-2일
창원,2002,2002-03-21,-8일
창원,2003,2003-03-27,-2일
창원,2004,2004-03-22,-7일
창원,2005,2005-04-06,8일
창원,2006,2006-03-27,-2일
창원,2007,2007-03-27,-2일
창원,2008,2008-03-27,-2일
창원,2009,2009-03-21,-8일
창원,2010,2010-03-29,0일
창원,2011,2011-04-01,3일
창원,2012,2012-04-05,7일
창원,2013,2013-03-22,-7일
창원,2014,2014-03-26,-3일
창원,2015,2015-03-28,-1일
창원,2016,2016-03-28,-1일
창원,2017,2017-03-27,-2일
창원,2018,2018-03-28,-1일
창원,2019,2019-03-21,-8일
창원,2020,2020-03-23,-6일
창원,2021,2021-03-18,-11일
창원,2022,2022-03-27,-2일
창원,2023,2023-03-21,-8일
창원,2024,2024-03-23,-6일
창원,2025,2025-03-27,-2일
통영,2001,2001-04-01,2일
통영,2002,2002-03-21,-9일
통영,2003,2003-03-28,-2일
통영,2004,2004-03-24,-6일
통영,2005,2005-04-04,5일
통영,2006,2006-03-26,-4일
통영,2007,2007-03-25,-5일
통영,2008,2008-03-30,0일
통영,2009,2009-03-23,-7일
통영,2010,2010-03-30,0일
통영,2011,2011-03-31,1일
통영,2012,2012-04-05,6일
통영,2013,2013-03-25,-5일
통영,2014,2014-03-27,-3일
통영,2015,2015-03-28,-2일
통영,2016,,
통영,2017,,
통영,2018,,
통영,2019,,
통영,2020,,
통영,2021,,
통영,2022,,
통영,2023,,
통영,2024,,
통영,2025,,
합천,2001,2001-03-27,-3일
합천,2002,2002-03-19,-11일
합천,2003,2003-04-01,2일
합천,2004,2004-03-24,-6일
합천,2005,2005-04-02,3일
합천,2006,2006-03-27,-3일
합천,2007,2007-03-23,-7일
합천,2008,2008-03-26,-4일
합천,2009,,
합천,2010,,
합천,2011,,
합천,2012,,
합천,2013,,
합천,2014,,
합천,2015,,
합천,2016,,
합천,2017,,
합천,2018,,
합천,2019,,
합천,2020,,
합천,2021,,
합천,2022,,
합천,2023,,
합천,2024,,
합천,2025,,
