지점,년도,벚나무,벚나무.1
군산,2001.0,2001-04-10,-1일
군산,2002.0,2002-04-05,-6일
군산,2003.0,2003-04-05,-6일
군산,2004.0,2004-04-06,-5일
군산,2005.0,2005-04-16,5일
군산,2006.0,2006-04-10,-1일
군산,2007.0,2007-04-05,-6일
군산,2008.0,2008-04-06,-5일
군산,2009.0,2009-04-06,-5일
군산,2010.0,2010-04-06,-5일
군산,2011.0,2011-04-18,7일
군산,2012.0,2012-04-16,5일
군산,2013.0,2013-04-12,1일
군산,2014.0,2014-04-01,-10일
군산,2015.0,2015-04-05,-6일
군산,2016.0,2016-03-27,
군산,2017.0,2017-04-02,
군산,2018.0,2018-03-27,
군산,2019.0,2019-03-29,
군산,2020.0,2020-03-26,
군산,2021.0,2021-03-18,
군산,2022.0,2022-03-30,
군산,2023.0,2023-03-22,
군산,2024.0,2024-03-26,
군산,2025.0,2025-03-27,
남원,2001.0,2001-04-08,2일
남원,2002.0,2002-03-30,-7일
남원,2003.0,2003-04-02,-4일
남원,2004.0,2004-03-31,-6일
남원,2005.0,2005-04-11,5일
남원,2006.0,2006-04-08,2일
남원,2007.0,2007-03-31,-6일
남원,2008.0,2008-04-04,-2일
남원,2009.0,2009-03-28,-9일
남원,2010.0,2010-04-08,2일
남원,2011.0,2011-04-12,6일
남원,2012.0,2012-04-12,6일
남원,2013.0,2013-04-03,-3일
남원,2014.0,2014-03-30,-7일
남원,2015.0,2015-04-01,-5일
남원,2016.0,2016-03-27,
남원,2017.0,2017-04-02,
남원,2018.0,2018-03-27,
남원,2019.0,2019-03-29,
남원,2020.0,2020-03-26,
남원,2021.0,2021-03-18,
남원,2022.0,2022-03-30,
남원,2023.0,2023-03-22,
남원,2024.0,2024-03-26,
남원,2025.0,2025-03-27,
부안,2001.0,2001-04-06,-1일
부안,2002.0,2002-03-31,-7일
부안,2003.0,2003-04-01,-6일
부안,2004.0,2004-04-05,-2일
부안,2005.0,2005-04-06,-1일
부안,2006.0,2006-04-06,-1일
부안,2007.0,2007-03-30,-8일
부안,2008.0,2008-04-07,0일
부안,2009.0,2009-04-01,
부안,2010.0,2010-04-06,
부안,2011.0,2011-04-12,
부안,2012.0,2012-04-12,
부안,2013.0,2013-04-05,
부안,2014.0,2014-03-30,
부안,2015.0,2015-04-01,
부안,2016.0,2016-03-27,
부안,2017.0,2017-04-02,
부안,2018.0,2018-03-27,
부안,2019.0,2019-03-29,
부안,2020.0,2020-03-26,
부안,2021.0,2021-03-18,
부안,2022.0,2022-03-30,
부안,2023.0,2023-03-22,
부안,2024.0,2024-03-26,
부안,2025.0,2025-03-27,
임실,2001.0,2001-04-08,-3일
임실,2002.0,2002-04-01,-10일
임실,2003.0,2003-04-04,-7일
임실,2004.0,2004-04-09,-2일
임실,2005.0,2005-04-12,1일
임실,2006.0,2006-04-14,3일
임실,2007.0,2007-04-08,-3일
임실,2008.0,2008-04-04,-7일
임실,2009.0,2009-04-01,
임실,2010.0,2010-04-06,
임실,2011.0,2011-04-12,
임실,2012.0,2012-04-12,
임실,2013.0,2013-04-05,
임실,2014.0,2014-03-30,
임실,2015.0,2015-04-01,
임실,2016.0,2016-03-27,
임실,2017.0,2017-04-02,
임실,2018.0,2018-03-27,
임실,2019.0,2019-03-29,
임실,2020.0,2020-03-26,
임실,2021.0,2021-03-18,
임실,2022.0,2022-03-30,
임실,2023.0,2023-03-22,
임실,2024.0,2024-03-26,
임실,2025.0,2025-03-27,
장수,2001.0,2001-04-09,-4일
장수,2002.0,2002-04-02,-11일
장수,2003.0,2003-04-09,-4일
장수,2004.0,2004-04-09,-4일
장수,2005.0,2005-04-17,4일
장수,2006.0,2006-04-12,-1일
장수,2007.0,2007-04-08,-5일
장수,2008.0,2008-04-11,-2일
장수,2009.0,2009-04-01,
장수,2010.0,2010-04-06,
장수,2011.0,2011-04-12,
장수,2012.0,2012-04-12,
장수,2013.0,2013-04-05,
장수,2014.0,2014-03-30,
장수,2015.0,2015-04-01,
