지점,년도,벚나무,벚나무.1
고산,2001.0,2001-03-26,-1일
고산,2002.0,2002-03-21,-6일
고산,2003.0,2003-03-24,-3일
고산,2004.0,2004-03-24,-3일
고산,2005.0,2005-04-04,8일
고산,2006.0,2006-03-26,-1일
고산,2007.0,2007-03-21,-6일
고산,2008.0,2008-03-25,-2일
고산,2009.0,2009-03-20,-7일
고산,2010.0,2010-03-22,-5일
고산,2011.0,2011-03-28,1일
고산,2012.0,2012-04-05,9일
고산,2013.0,2013-03-27,0일
고산,2014.0,2014-03-28,1일
고산,2015.0,2015-03-30,3일
고산,2016.0,2016-03-21,
고산,2017.0,2017-03-28,
고산,2018.0,2018-03-22,
고산,2019.0,2019-03-25,
고산,2020.0,2020-03-25,
고산,2021.0,2021-03-17,
고산,2022.0,2022-03-25,
고산,2023.0,2023-03-23,
고산,2024.0,2024-03-26,
고산,2025.0,2025-03-26,
서귀포,2001.0,2001-03-26,2일
서귀포,2002.0,2002-03-18,-6일
서귀포,2003.0,2003-03-18,-6일
서귀포,2004.0,2004-03-21,-3일
서귀포,2005.0,2005-04-01,8일
서귀포,2006.0,2006-03-25,1일
서귀포,2007.0,2007-03-23,-1일
서귀포,2008.0,2008-03-22,-2일
서귀포,2009.0,2009-03-19,-5일
서귀포,2010.0,2010-03-17,-7일
서귀포,2011.0,2011-03-28,4일
서귀포,2012.0,2012-03-29,5일
서귀포,2013.0,2013-03-17,-7일
서귀포,2014.0,2014-03-25,1일
서귀포,2015.0,2015-03-25,1일
서귀포,2019.0,2019-03-25,1일
서귀포,2020.0,2020-03-26,2일
서귀포,2021.0,2021-03-18,-6일
서귀포,2022.0,2022-03-25,1일
서귀포,2023.0,2023-03-24,0일
서귀포,2024.0,2024-03-30,6일
서귀포,2025.0,2025-03-27,3일
성산,2001.0,2001-03-26,-1일
성산,2002.0,2002-03-19,-8일
성산,2003.0,2003-03-31,4일
성산,2004.0,2004-03-23,-4일
성산,2005.0,2005-04-06,10일
성산,2006.0,2006-03-27,0일
성산,2007.0,2007-03-21,-6일
성산,2008.0,2008-03-23,-4일
성산,2009.0,2009-03-20,-7일
성산,2010.0,2010-03-22,-5일
성산,2011.0,2011-03-31,4일
성산,2012.0,2012-04-01,5일
성산,2013.0,2013-03-26,-1일
성산,2014.0,2014-03-21,-6일
성산,2015.0,2015-03-27,0일
성산,2016.0,2016-03-21,
성산,2017.0,2017-03-28,
성산,2018.0,2018-03-22,
성산,2019.0,2019-03-25,
성산,2020.0,2020-03-25,
성산,2021.0,2021-03-17,
성산,2022.0,2022-03-25,
성산,2023.0,2023-03-23,
성산,2024.0,2024-03-26,
성산,2025.0,2025-03-26,
성산포,2001.0,2001-03-26, 
성산포,2002.0,2002-03-19, 
성산포,2003.0,2003-03-31, 
성산포,2004.0,2004-03-23, 
성산포,2005.0,2005-04-06, 
성산포,2006.0,2006-03-27, 
성산포,2007.0,2007-03-21, 
성산포,2008.0,2008-03-23,
성산포,2009.0,2009-03-19,
성산포,2010.0,2010-03-20,
성산포,2011.0,2011-03-28,
성산포,2012.0,2012-03-31,
성산포,2013.0,2013-03-22,
성산포,2014.0,2014-03-24,
성산포,2015.0,2015-03-26,
성산포,2016.0,2016-03-21,
성산포,2017.0,2017-03-28,
성산포,2018.0,2018-03-22,
성산포,2019.0,2019-03-25,
성산포,2020.0,2020-03-25,
성산포,2021.0,2021-03-17,
성산포,2022.0,2022-03-25,
성산포,2023.0,2023-03-23,
성산포,2024.0,2024-03-26,
성산포,2025.0,2025-03-26,
제주,2001.0,2001-03-22,-3일
제주,2002.0,2002-03-18,-7일
제주,2003.0,2003-03-23,-2일
제주,2004.0,2004-03-17,-8일
제주,2005.0,2005-04-03,9일
제주,2006.0,2006-03-25,0일
제주,2007.0,2007-03-22,-3일
제주,2008.0,2008-03-23,-2일
제주,2009.0,2009-03-19,-6일
제주,2010.0,2010-03-19,-6일
제주,2011.0,2011-03-28,3일
제주,2012.0,2012-03-30,5일
제주,2013.0,2013-03-18,-7일
제주,2014.0,2014-03-25,0일
제주,2015.0,2015-03-25,0일
제주,2016.0,2016-03-21,-4일
제주,2017.0,2017-03-28,3일
제주,2018.0,2018-03-22,-3일
제주,2019.0,2019-03-25,0일
제주,2020.0,2020-03-24,-1일
제주,2021.0,2021-03-17,-8일
제주,2022.0,2022-03-25,0일
제주,2023.0,2023-03-22,-3일
제주,2024.0,2024-03-23,-2일
제주,2025.0,2025-03-26,1일
