지점,년도,벚나무,벚나무.1
수원,2001.0,2001-04-09,1일
수원,2002.0,2002-03-28,-11일
수원,2003.0,2003-03-30,-9일
수원,2004.0,2004-04-06,-2일
수원,2005.0,2005-04-08,0일
수원,2006.0,2006-04-07,-1일
수원,2007.0,2007-04-07,-1일
수원,2008.0,2008-04-06,-2일
수원,2009.0,2009-04-06,-2일
수원,2010.0,2010-04-12,4일
수원,2011.0,2011-04-13,5일
수원,2012.0,2012-04-16,8일
수원,2013.0,2013-04-16,8일
수원,2014.0,2014-03-29,-10일
수원,2015.0,2015-04-04,-4일
수원,2016.0,2016-04-02,-6일
수원,2017.0,2017-04-08,0일
수원,2018.0,2018-04-02,-6일
수원,2019.0,2019-04-07,-1일
수원,2020.0,2020-03-31,-8일
수원,2021.0,2021-03-29,-10일
수원,2022.0,2022-04-11,3일
수원,2023.0,2023-03-30,-9일
수원,2024.0,2024-04-03,-5일
수원,2025.0,2025-04-07,-1일
