지점,년도,벚나무,벚나무.1
안동,2001.0,2001-04-02,-3일
안동,2002.0,2002-03-27,-9일
안동,2003.0,2003-04-01,-4일
안동,2004.0,2004-04-01,-4일
안동,2005.0,2005-04-09,4일
안동,2006.0,2006-04-07,2일
안동,2007.0,2007-04-04,-1일
안동,2008.0,2008-04-06,1일
안동,2009.0,2009-03-29,-7일
안동,2010.0,2010-04-10,5일
안동,2011.0,2011-04-11,6일
안동,2012.0,2012-04-11,6일
안동,2013.0,2013-04-05,0일
안동,2014.0,2014-04-01,-4일
안동,2015.0,2015-04-01,-4일
안동,2016.0,2016-04-02,-3일
안동,2017.0,2017-04-05,0일
안동,2018.0,2018-03-30,-6일
안동,2019.0,2019-03-30,-6일
안동,2020.0,2020-03-27,-9일
안동,2021.0,2021-03-26,-10일
안동,2022.0,2022-04-02,-3일
안동,2023.0,2023-03-23,-13일
안동,2024.0,2024-04-01,-4일
안동,2025.0,2025-04-02,-3일
포항,2001.0,2001-03-22,-7일
포항,2002.0,2002-03-16,-13일
포항,2003.0,2003-03-26,-3일
포항,2004.0,2004-03-22,-7일
포항,2005.0,2005-04-05,7일
포항,2006.0,2006-03-28,-1일
포항,2007.0,2007-03-23,-6일
포항,2008.0,2008-03-28,-1일
포항,2009.0,2009-03-20,-9일
포항,2010.0,2010-04-03,5일
포항,2011.0,2011-04-02,4일
포항,2012.0,2012-04-05,7일
포항,2013.0,2013-03-20,-9일
포항,2014.0,2014-03-27,-2일
포항,2015.0,2015-03-27,-2일
포항,2016.0,2016-03-28,-1일
포항,2017.0,2017-03-27,-2일
포항,2018.0,2018-03-27,-2일
포항,2019.0,2019-03-21,-8일
포항,2020.0,2020-03-23,-6일
포항,2021.0,2021-03-23,-6일
포항,2022.0,2022-03-27,-2일
포항,2023.0,2023-03-16,-13일
포항,2024.0,2024-03-29,0일
포항,2025.0,2025-03-26,-3일
