지점,년도,벚나무,벚나무.1
목포,2001.0,2001-04-04,1일
목포,2002.0,2002-03-29,-5일
목포,2003.0,2003-03-30,-4일
목포,2004.0,2004-04-01,-2일
목포,2005.0,2005-04-11,8일
목포,2006.0,2006-04-07,4일
목포,2007.0,2007-03-31,-3일
목포,2008.0,2008-03-31,-3일
목포,2009.0,2009-04-03,0일
목포,2010.0,2010-04-05,2일
목포,2011.0,2011-04-09,6일
목포,2012.0,2012-04-11,8일
목포,2013.0,2013-03-31,-3일
목포,2014.0,2014-03-28,-6일
목포,2015.0,2015-03-26,-8일
목포,2016.0,2016-03-31,-3일
목포,2017.0,2017-04-02,-1일
목포,2018.0,2018-03-29,-5일
목포,2019.0,2019-03-31,-3일
목포,2020.0,2020-03-26,-8일
목포,2021.0,2021-03-24,-10일
목포,2022.0,2022-03-31,-3일
목포,2023.0,2023-03-26,-8일
목포,2024.0,2024-03-29,-5일
목포,2025.0,2025-03-27,-7일
여수,2001.0,2001-03-30,-1일
여수,2002.0,2002-03-26,-5일
여수,2003.0,2003-03-25,-6일
여수,2004.0,2004-03-26,-5일
여수,2005.0,2005-04-07,7일
여수,2006.0,2006-03-31,0일
여수,2007.0,2007-03-26,-5일
여수,2008.0,2008-03-30,-1일
여수,2009.0,2009-03-24,-7일
여수,2010.0,2010-04-04,4일
여수,2011.0,2011-04-05,5일
여수,2012.0,2012-04-06,6일
여수,2013.0,2013-03-25,-6일
여수,2014.0,2014-03-26,-5일
여수,2015.0,2015-03-28,-3일
여수,2016.0,2016-03-27,-4일
여수,2017.0,2017-03-31,0일
여수,2018.0,2018-03-29,-2일
여수,2019.0,2019-03-26,-5일
여수,2020.0,2020-03-25,-6일
여수,2021.0,2021-03-21,-10일
여수,2022.0,2022-03-29,-2일
여수,2023.0,2023-03-23,-8일
여수,2024.0,2024-03-26,-5일
여수,2025.0,2025-03-30,-1일
흑산도,2001.0,2001-04-08,2일
흑산도,2002.0,2002-04-01,-5일
흑산도,2003.0,2003-03-30,-7일
흑산도,2004.0,2004-03-26,-11일
흑산도,2005.0,2005-04-12,6일
흑산도,2006.0,2006-04-09,3일
흑산도,2007.0,2007-04-05,-1일
흑산도,2008.0,2008-04-01,-5일
흑산도,2009.0,2009-04-02,-4일
흑산도,2010.0,2010-04-04,-2일
흑산도,2011.0,2011-04-13,7일
흑산도,2012.0,2012-04-17,11일
흑산도,2013.0,2013-04-10,4일
흑산도,2014.0,2014-04-03,-3일
흑산도,2015.0,2015-03-31,-6일
흑산도,2016.0,2016-04-03,-3일
흑산도,2017.0,2017-04-06,0일
흑산도,2018.0,2018-04-05,-1일
흑산도,2019.0,2019-04-04,-2일
흑산도,2020.0,2020-04-08,2일
흑산도,2021.0,2021-04-01,-5일
흑산도,2022.0,2022-04-08,2일
흑산도,2023.0,2023-04-02,-4일
흑산도,2024.0,2024-03-31,-6일
흑산도,2025.0,2025-04-06,0일
