지점,년도,벚나무,벚나무.1
전주,2001.0,2001-04-07,4일
전주,2002.0,2002-03-30,-4일
전주,2003.0,2003-03-31,-3일
전주,2004.0,2004-03-31,-3일
전주,2005.0,2005-04-09,6일
전주,2006.0,2006-04-05,2일
전주,2007.0,2007-03-27,-7일
전주,2008.0,2008-04-02,-1일
전주,2009.0,2009-03-31,-3일
전주,2010.0,2010-04-05,2일
전주,2011.0,2011-04-10,7일
전주,2012.0,2012-04-10,7일
전주,2013.0,2013-04-03,0일
전주,2014.0,2014-03-28,-6일
전주,2015.0,2015-03-30,-4일
전주,2016.0,2016-03-27,-7일
전주,2017.0,2017-04-02,-1일
전주,2018.0,2018-03-27,-7일
전주,2019.0,2019-03-29,-5일
전주,2020.0,2020-03-26,-8일
전주,2021.0,2021-03-18,-16일
전주,2022.0,2022-03-30,-4일
전주,2023.0,2023-03-22,-12일
전주,2024.0,2024-03-26,-8일
전주,2025.0,2025-03-27,-7일

