지점,년도,벚나무,벚나무.1
서귀포,2001.0,2001-03-26,2일
서귀포,2002.0,2002-03-18,-6일
서귀포,2003.0,2003-03-18,-6일
서귀포,2004.0,2004-03-21,-3일
서귀포,2005.0,2005-04-01,8일
서귀포,2006.0,2006-03-25,1일
서귀포,2007.0,2007-03-23,-1일
서귀포,2008.0,2008-03-22,-2일
서귀포,2009.0,2009-03-19,-5일
서귀포,2010.0,2010-03-17,-7일
서귀포,2011.0,2011-03-28,4일
서귀포,2012.0,2012-03-29,5일
서귀포,2013.0,2013-03-17,-7일
서귀포,2014.0,2014-03-25,1일
서귀포,2015.0,2015-03-25,1일
서귀포,2019.0,2019-03-25,1일
서귀포,2020.0,2020-03-26,2일
서귀포,2021.0,2021-03-18,-6일
서귀포,2022.0,2022-03-25,1일
서귀포,2023.0,2023-03-24,0일
서귀포,2024.0,2024-03-30,6일
서귀포,2025.0,2025-03-27,3일
제주,2001.0,2001-03-22,-3일
제주,2002.0,2002-03-18,-7일
제주,2003.0,2003-03-23,-2일
제주,2004.0,2004-03-17,-8일
제주,2005.0,2005-04-03,9일
제주,2006.0,2006-03-25,0일
제주,2007.0,2007-03-22,-3일
제주,2008.0,2008-03-23,-2일
제주,2009.0,2009-03-19,-6일
제주,2010.0,2010-03-19,-6일
제주,2011.0,2011-03-28,3일
제주,2012.0,2012-03-30,5일
제주,2013.0,2013-03-18,-7일
제주,2014.0,2014-03-25,0일
제주,2015.0,2015-03-25,0일
제주,2016.0,2016-03-21,-4일
제주,2017.0,2017-03-28,3일
제주,2018.0,2018-03-22,-3일
제주,2019.0,2019-03-25,0일
제주,2020.0,2020-03-24,-1일
제주,2021.0,2021-03-17,-8일
제주,2022.0,2022-03-25,0일
제주,2023.0,2023-03-22,-3일
제주,2024.0,2024-03-23,-2일
제주,2025.0,2025-03-26,1일
