지점,년도,벚나무,벚나무.1
청주,2001.0,2001-04-03,-3일
청주,2002.0,2002-03-31,-6일
청주,2003.0,2003-04-02,-4일
청주,2004.0,2004-03-30,-7일
청주,2005.0,2005-04-09,3일
청주,2006.0,2006-04-06,0일
청주,2007.0,2007-04-01,-5일
청주,2008.0,2008-04-08,2일
청주,2009.0,2009-04-03,-3일
청주,2010.0,2010-04-18,12일
청주,2011.0,2011-04-14,8일
청주,2012.0,2012-04-17,11일
청주,2013.0,2013-04-14,8일
청주,2014.0,2014-03-29,-8일
청주,2015.0,2015-04-02,-4일
청주,2016.0,2016-04-01,-5일
청주,2017.0,2017-04-04,-2일
청주,2018.0,2018-04-01,-5일
청주,2019.0,2019-03-28,-9일
청주,2020.0,2020-03-26,-11일
청주,2021.0,2021-03-24,-13일
청주,2022.0,2022-04-02,-4일
청주,2023.0,2023-03-23,-14일
청주,2024.0,2024-03-31,-6일
청주,2025.0,2025-03-31,-6일


