지점,년도,벚나무,벚나무.1
,,,개화(평비)
구미,2001.0,2001-04-01,-2일
구미,2002.0,2002-03-25,-9일
구미,2003.0,2003-04-01,-2일
구미,2004.0,2004-03-28,-6일
구미,2005.0,2005-04-07,4일
구미,2006.0,2006-04-03,0일
구미,2007.0,2007-03-28,-6일
구미,2008.0,2008-04-01,-2일
구미,2009.0,2009-03-25,-9일
구미,2010.0,2010-04-08,5일
구미,2011.0,2011-04-07,4일
구미,2012.0,2012-04-09,6일
구미,2013.0,2013-03-31,-3일
구미,2014.0,2014-03-28,-6일
구미,2015.0,2015-03-28,-6일
구미,2016.0,2016-03-30,
구미,2017.0,2017-03-31,
구미,2018.0,2018-03-28,
구미,2019.0,2019-03-25,
구미,2020.0,2020-03-25,
구미,2021.0,2021-03-24,
구미,2022.0,2022-03-30,
구미,2023.0,2023-03-19,
구미,2024.0,2024-03-30,
구미,2025.0,2025-03-29,
문경,2001.0,2001-04-08,-2일
문경,2002.0,2002-03-25,-16일
문경,2003.0,2003-04-13,3일
문경,2004.0,2004-04-06,-4일
문경,2005.0,2005-04-15,5일
문경,2006.0,2006-04-08,-2일
문경,2007.0,2007-04-02, 
문경,2008.0,2008-04-07,-3일
문경,2009.0,2009-03-26,
문경,2010.0,2010-04-09,
문경,2011.0,2011-04-07,
문경`,2012.0,2012-04-09,
문경,2013.0,2013-03-30,
문경,2014.0,2014-03-29,
문경,2015.0,2015-03-29,
문경,2016.0,2016-03-30,
문경,2017.0,2017-03-31,
문경,2018.0,2018-03-28,
문경,2019.0,2019-03-25,
문경,2020.0,2020-03-25,
문경,2021.0,2021-03-24,
문경,2022.0,2022-03-30,
문경,2023.0,2023-03-19,
문경,2024.0,2024-03-30,
문경,2025.0,2025-03-29,
봉화,2001.0,2001-04-17,0일
봉화,2002.0,2002-04-07,-10일
봉화,2003.0,2003-04-18,1일
봉화,2004.0,2004-04-12,-5일
봉화,2005.0,2005-04-19,2일
봉화,2006.0,2006-04-18,1일
봉화,2007.0,2007-04-13,-4일
봉화,2008.0,2008-04-16,-1일
봉화,2009.0,2009-03-26,
봉화,2010.0,2010-04-09,
봉화,2011.0,2011-04-07,
봉화,2012.0,2012-04-09,
봉화,2013.0,2013-03-30,
봉화,2014.0,2014-03-29,
봉화,2015.0,2015-03-29,
봉화,2016.0,2016-03-30,
봉화,2017.0,2017-03-31,
봉화,2018.0,2018-03-28,
봉화,2019.0,2019-03-25,
봉화,2020.0,2020-03-25,
봉화,2021.0,2021-03-24,
봉화,2022.0,2022-03-30,
봉화,2023.0,2023-03-19,
봉화,2024.0,2024-03-30,
봉화,2025.0,2025-03-29,
안동,2001.0,2001-04-02,-3일
안동,2002.0,2002-03-27,-9일
안동,2003.0,2003-04-01,-4일
안동,2004.0,2004-04-01,-4일
안동,2005.0,2005-04-09,4일
안동,2006.0,2006-04-07,2일
안동,2007.0,2007-04-04,-1일
안동,2008.0,2008-04-06,1일
안동,2009.0,2009-03-29,-7일
안동,2010.0,2010-04-10,5일
안동,2011.0,2011-04-11,6일
안동,2012.0,2012-04-11,6일
안동,2013.0,2013-04-05,0일
안동,2014.0,2014-04-01,-4일
안동,2015.0,2015-04-01,-4일
안동,2016.0,2016-04-02,-3일
안동,2017.0,2017-04-05,0일
안동,2018.0,2018-03-30,-6일
안동,2019.0,2019-03-30,-6일
안동,2020.0,2020-03-27,-9일
안동,2021.0,2021-03-26,-10일
안동,2022.0,2022-04-02,-3일
안동,2023.0,2023-03-23,-13일
안동,2024.0,2024-04-01,-4일
안동,2025.0,2025-04-02,-3일
영덕,2001.0,2001-04-03,0일
영덕,2002.0,2002-03-25,-9일
영덕,2003.0,2003-04-05,2일
영덕,2004.0,2004-03-28,-6일
영덕,2005.0,2005-04-07,4일
영덕,2006.0,2006-04-01,-2일
영덕,2007.0,2007-03-28,-6일
영덕,2008.0,2008-04-03,0일
영덕,2009.0,2009-03-26,
영덕,2010.0,2010-04-09,
영덕,2011.0,2011-04-07,
영덕,2012.0,2012-04-09,
영덕,2013.0,2013-03-30,
영덕,2014.0,2014-03-29,
영덕,2015.0,2015-03-29,
영덕,2016.0,2016-03-30,
영덕,2017.0,2017-03-31,
영덕,2018.0,2018-03-28,
영덕,2019.0,2019-03-25,
영덕,2020.0,2020-03-25,
영덕,2021.0,2021-03-24,
영덕,2022.0,2022-03-30,
영덕,2023.0,2023-03-19,
영덕,2024.0,2024-03-30,
영덕,2025.0,2025-03-29,
영주,2001.0,2001-04-10,-1일
영주,2002.0,2002-04-01,-10일
영주,2003.0,2003-04-11,0일
영주,2004.0,2004-04-08,-3일
영주,2005.0,2005-04-14,3일
영주,2006.0,2006-04-10,-1일
영주,2007.0,2007-04-08,-3일
영주,2008.0,2008-04-08,-3일
영주,2009.0,2009-03-26,
영주,2010.0,2010-04-09,
영주,2011.0,2011-04-07,
영주,2012.0,2012-04-09,
영주,2013.0,2013-03-30,
영주,2014.0,2014-03-29,
영주,2015.0,2015-03-29,
영주,2016.0,2016-03-30,
영주,2017.0,2017-03-31,
영주,2018.0,2018-03-28,
영주,2019.0,2019-03-25,
영주,2020.0,2020-03-25,
영주,2021.0,2021-03-24,
영주,2022.0,2022-03-30,
영주,2023.0,2023-03-19,
영주,2024.0,2024-03-30,
영주,2025.0,2025-03-29,
영천,2001.0,2001-03-31,-3일
영천,2002.0,2002-03-22,-12일
영천,2003.0,2003-04-03,0일
영천,2004.0,2004-03-28,-6일
영천,2005.0,2005-04-07,4일
영천,2006.0,2006-04-04,1일
영천,2007.0,2007-04-01,-2일
영천,2008.0,2008-04-04,1일
영천,2009.0,2009-03-26,
영천,2010.0,2010-04-09,
영천,2011.0,2011-04-07,
영천,2012.0,2012-04-09,
영천,2013.0,2013-03-30,
영천,2014.0,2014-03-29,
영천,2015.0,2015-03-29,
영천,2016.0,2016-03-30,
영천,2017.0,2017-03-31,
영천,2018.0,2018-03-28,
영천,2019.0,2019-03-25,
영천,2020.0,2020-03-25,
영천,2021.0,2021-03-24,
영천,2022.0,2022-03-30,
영천,2023.0,2023-03-19,
영천,2024.0,2024-03-30,
영천,2025.0,2025-03-29,
울진,2001.0,2001-04-03,-1일
울진,2002.0,2002-03-28,-7일
울진,2003.0,2003-04-06,2일
울진,2004.0,2004-03-30,-5일
울진,2005.0,2005-04-07,3일
울진,2006.0,2006-04-03,-1일
울진,2007.0,2007-03-30,-5일
울진,2008.0,2008-04-05,1일
울진,2009.0,2009-03-30,-5일
울진,2010.0,2010-04-17,13일
울진,2011.0,2011-04-10,6일
울진,2012.0,2012-04-12,8일
울진,2013.0,2013-04-03,-1일
울진,2014.0,2014-03-31,-4일
울진,2015.0,2015-03-31,-4일
울진,2016.0,2016-03-30,
울진,2017.0,2017-03-31,
울진,2018.0,2018-03-28,
울진,2019.0,2019-03-25,
울진,2020.0,2020-03-25,
울진,2021.0,2021-03-24,
울진,2022.0,2022-03-30,
울진,2023.0,2023-03-19,
울진,2024.0,2024-03-30,
울진,2025.0,2025-03-29,
의성,2001.0,2001-04-09,-1일
의성,2002.0,2002-04-04,-6일
의성,2003.0,2003-04-07,-3일
의성,2004.0,2004-04-06,-4일
의성,2005.0,2005-04-12,2일
의성,2006.0,2006-04-11,1일
의성,2007.0,2007-04-10,0일
의성,2008.0,2008-04-08,-2일
의성,2009.0,2009-03-26,
의성,2010.0,2010-04-09,
의성,2011.0,2011-04-07,
의성,2012.0,2012-04-09,
의성,2013.0,2013-03-30,
의성,2014.0,2014-03-29,
의성,2015.0,2015-03-29,
의성,2016.0,2016-03-30,
의성,2017.0,2017-03-31,
의성,2018.0,2018-03-28,
의성,2019.0,2019-03-25,
의성,2020.0,2020-03-25,
의성,2021.0,2021-03-24,
의성,2022.0,2022-03-30,
의성,2023.0,2023-03-19,
의성,2024.0,2024-03-30,
의성,2025.0,2025-03-29,
포항,2001.0,2001-03-22,-7일
포항,2002.0,2002-03-16,-13일
포항,2003.0,2003-03-26,-3일
포항,2004.0,2004-03-22,-7일
포항,2005.0,2005-04-05,7일
포항,2006.0,2006-03-28,-1일
포항,2007.0,2007-03-23,-6일
포항,2008.0,2008-03-28,-1일
포항,2009.0,2009-03-20,-9일
포항,2010.0,2010-04-03,5일
포항,2011.0,2011-04-02,4일
포항,2012.0,2012-04-05,7일
포항,2013.0,2013-03-20,-9일
포항,2014.0,2014-03-27,-2일
포항,2015.0,2015-03-27,-2일
포항,2016.0,2016-03-28,-1일
포항,2017.0,2017-03-27,-2일
포항,2018.0,2018-03-27,-2일
포항,2019.0,2019-03-21,-8일
포항,2020.0,2020-03-23,-6일
포항,2021.0,2021-03-23,-6일
포항,2022.0,2022-03-27,-2일
포항,2023.0,2023-03-16,-13일
포항,2024.0,2024-03-29,0일
포항,2025.0,2025-03-26,-3일
