지점,년도,벚나무,벚나무.1
광주,2001.0,2001-04-02,2일
광주,2002.0,2002-03-22,-9일
광주,2003.0,2003-03-31,0일
광주,2004.0,2004-03-27,-4일
광주,2005.0,2005-04-07,7일
광주,2006.0,2006-03-30,-1일
광주,2007.0,2007-03-25,-6일
광주,2008.0,2008-03-31,0일
광주,2009.0,2009-03-22,-9일
광주,2010.0,2010-03-31,0일
광주,2011.0,2011-04-06,6일
광주,2012.0,2012-04-08,8일
광주,2013.0,2013-03-29,-2일
광주,2014.0,2014-03-28,-3일
광주,2015.0,2015-03-29,-2일
광주,2016.0,2016-03-29,-2일
광주,2017.0,2017-04-02,2일
광주,2018.0,2018-03-27,-4일
광주,2019.0,2019-03-27,-4일
광주,2020.0,2020-03-23,-8일
광주,2021.0,2021-03-18,-13일
광주,2022.0,2022-03-25,-6일
광주,2023.0,2023-03-23,-8일
광주,2024.0,2024-03-27,-4일
광주,2025.0,2025-03-27,-4일
