지점,년도,벚나무,벚나무.1
대구,2001.0,2001-03-25,-4일
대구,2002.0,2002-03-20,-9일
대구,2003.0,2003-03-28,-1일
대구,2004.0,2004-03-23,-6일
대구,2005.0,2005-04-04,6일
대구,2006.0,2006-03-28,-1일
대구,2007.0,2007-03-24,-5일
대구,2008.0,2008-03-27,-2일
대구,2009.0,2009-03-22,-7일
대구,2010.0,2010-04-05,7일
대구,2011.0,2011-04-02,4일
대구,2012.0,2012-04-04,6일
대구,2013.0,2013-03-23,-6일
대구,2014.0,2014-03-27,-2일
대구,2015.0,2015-03-28,-1일
대구,2016.0,2016-03-25,-4일
대구,2017.0,2017-03-29,0일
대구,2018.0,2018-03-27,-2일
대구,2019.0,2019-03-21,-8일
대구,2020.0,2020-03-21,-8일
대구,2021.0,2021-03-23,-6일
대구,2022.0,2022-03-26,-3일
대구,2023.0,2023-03-21,-8일
대구,2024.0,2024-03-27,-2일
대구,2025.0,2025-03-26,-3일
