지점,년도,벚나무,벚나무.1
대전,2001.0,2001-04-05,1일
대전,2002.0,2002-03-30,-5일
대전,2003.0,2003-04-01,-3일
대전,2004.0,2004-03-30,-5일
대전,2005.0,2005-04-08,4일
대전,2006.0,2006-04-08,4일
대전,2007.0,2007-03-31,-4일
대전,2008.0,2008-04-03,-1일
대전,2009.0,2009-03-30,-5일
대전,2010.0,2010-04-16,12일
대전,2011.0,2011-04-12,8일
대전,2012.0,2012-04-11,7일
대전,2013.0,2013-04-03,-1일
대전,2014.0,2014-03-28,-7일
대전,2015.0,2015-03-29,-6일
대전,2016.0,2016-03-31,-4일
대전,2017.0,2017-04-03,-1일
대전,2018.0,2018-03-31,-4일
대전,2019.0,2019-03-29,-6일
대전,2020.0,2020-03-24,-11일
대전,2021.0,2021-03-23,-12일
대전,2022.0,2022-03-31,-4일
대전,2023.0,2023-03-22,-13일
대전,2024.0,2024-03-30,-5일
대전,2025.0,2025-04-01,-3일
