지점,년도,벚나무,벚나무.1
부산,2001.0,2001-03-25,-3일
부산,2002.0,2002-03-21,-7일
부산,2003.0,2003-03-26,-2일
부산,2004.0,2004-03-21,-7일
부산,2005.0,2005-04-03,6일
부산,2006.0,2006-03-27,-1일
부산,2007.0,2007-03-25,-3일
부산,2008.0,2008-03-25,-3일
부산,2009.0,2009-03-20,-8일
부산,2010.0,2010-03-30,2일
부산,2011.0,2011-04-01,4일
부산,2012.0,2012-04-05,8일
부산,2013.0,2013-03-21,-7일
부산,2014.0,2014-03-25,-3일
부산,2015.0,2015-03-28,0일
부산,2016.0,2016-03-28,0일
부산,2017.0,2017-03-28,0일
부산,2018.0,2018-03-27,-1일
부산,2019.0,2019-03-22,-6일
부산,2020.0,2020-03-23,-5일
부산,2021.0,2021-03-22,-6일
부산,2022.0,2022-03-28,0일
부산,2023.0,2023-03-19,-9일
부산,2024.0,2024-03-25,-3일
부산,2025.0,2025-03-28,0일
