지점,년도,벚나무,벚나무.1
,,,개화(평비)
서울,2001.0,2001-04-10,2일
서울,2002.0,2002-04-02,-6일
서울,2003.0,2003-04-05,-3일
서울,2004.0,2004-04-05,-3일
서울,2005.0,2005-04-12,4일
서울,2006.0,2006-04-10,2일
서울,2007.0,2007-04-03,-5일
서울,2008.0,2008-04-06,-2일
서울,2009.0,2009-04-06,-2일
서울,2010.0,2010-04-12,4일
서울,2011.0,2011-04-13,5일
서울,2012.0,2012-04-15,7일
서울,2013.0,2013-04-15,7일
서울,2014.0,2014-03-28,-11일
서울,2015.0,2015-04-03,-5일
서울,2016.0,2016-04-02,-6일
서울,2017.0,2017-04-06,-2일
서울,2018.0,2018-04-02,-6일
서울,2019.0,2019-04-03,-5일
서울,2020.0,2020-03-27,-12일
서울,2021.0,2021-03-24,-15일
서울,2022.0,2022-04-04,-4일
서울,2023.0,2023-03-25,-14일
서울,2024.0,2024-04-01,-7일
서울,2025.0,2025-04-04,-4일
