지점,년도,벚나무,벚나무.1
울산,2001.0,2001-03-25,-4일
울산,2002.0,2002-03-20,-9일
울산,2003.0,2003-03-28,-1일
울산,2004.0,2004-03-24,-5일
울산,2005.0,2005-04-05,7일
울산,2006.0,2006-03-27,-2일
울산,2007.0,2007-03-22,-7일
울산,2008.0,2008-03-26,-3일
울산,2009.0,2009-03-22,-7일
울산,2010.0,2010-04-03,5일
울산,2011.0,2011-04-02,4일
울산,2012.0,2012-04-06,8일
울산,2013.0,2013-03-21,-8일
울산,2014.0,2014-03-28,-1일
울산,2015.0,2015-03-28,-1일
울산,2016.0,2016-03-28,-1일
울산,2017.0,2017-03-29,0일
울산,2018.0,2018-03-29,0일
울산,2019.0,2019-03-23,-6일
울산,2020.0,2020-03-23,-6일
울산,2021.0,2021-03-21,-8일
울산,2022.0,2022-03-28,-1일
울산,2023.0,2023-03-22,-7일
울산,2024.0,2024-03-28,-1일
울산,2025.0,2025-03-27,-2일
