지점,년도,벚나무,벚나무.1
인천,2001.0,2001-04-15,3일
인천,2002.0,2002-04-04,-8일
인천,2003.0,2003-04-07,-5일
인천,2004.0,2004-04-09,-3일
인천,2005.0,2005-04-16,4일
인천,2006.0,2006-04-14,2일
인천,2007.0,2007-04-10,-2일
인천,2008.0,2008-04-08,-4일
인천,2009.0,2009-04-09,-3일
인천,2010.0,2010-04-20,8일
인천,2011.0,2011-04-20,8일
인천,2012.0,2012-04-19,7일
인천,2013.0,2013-04-17,5일
인천,2014.0,2014-03-30,-13일
인천,2015.0,2015-04-08,-4일
인천,2016.0,2016-04-06,-6일
인천,2017.0,2017-04-10,-2일
인천,2018.0,2018-04-06,-6일
인천,2019.0,2019-04-08,-4일
인천,2020.0,2020-03-30,-13일
인천,2021.0,2021-03-31,-12일
인천,2022.0,2022-04-09,-3일
인천,2023.0,2023-04-02,-10일
인천,2024.0,2024-04-03,-9일
인천,2025.0,2025-04-11,-1일
