지점,년도,벚나무,벚나무
,,개화,개화(평비)
동두천,2001,2001-04-14,0일
동두천,2002,2002-04-04,-10일
동두천,2003,2003-04-12,-2일
동두천,2004,2004-04-11,-3일
동두천,2005,2005-04-17,3일
동두천,2006,2006-04-11,-3일
동두천,2007,2007-04-10,-4일
동두천,2008,2008-04-12,-2일
동두천,2009,2009-04-11,-3일
동두천,2010,2010-04-23,9일
동두천,2011,2011-04-25,11일
동두천,2012,2012-04-20,6일
동두천,2013,2013-04-27,13일
동두천,2014,2014-04-09,-5일
동두천,2015,2015-04-03,-11일
동두천,2016,,
동두천,2017,,
동두천,2018,,
동두천 ,2019,,
동두천,2020,,
동두천,2021,,
동두천,2022,,
동두천,2023,,
동두천,2024,,
동두천,2025,,
수원,2001,2001-04-09,1일
수원,2002,2002-03-28,-11일
수원,2003,2003-03-30,-9일
수원,2004,2004-04-06,-2일
수원,2005,2005-04-08,0일
수원,2006,2006-04-07,-1일
수원,2007,2007-04-07,-1일
수원,2008,2008-04-06,-2일
수원,2009,2009-04-06,-2일
수원,2010,2010-04-12,4일
수원,2011,2011-04-13,5일
수원,2012,2012-04-16,8일
수원,2013,2013-04-16,8일
수원,2014,2014-03-29,-10일
수원,2015,2015-04-04,-4일
수원,2016,2016-04-02,-6일
수원,2017,2017-04-08,0일
수원,2018,2018-04-02,-6일
수원,2019,2019-04-07,-1일
수원,2020,2020-03-31,-8일
수원,2021,2021-03-29,-10일
수원,2022,2022-04-11,3일
수원,2023,2023-03-30,-9일
수원,2024,2024-04-03,-5일
수원,2025,2025-04-07,-1일
양평,2001,2001-04-16,2일
양평,2002,2002-04-13,-1일
양평,2003,2003-04-16,2일
양평,2004,2004-04-15,1일
양평,2005,2005-04-22,8일
양평,2006,2006-04-19,5일
양평,2007,2007-04-17,3일
양평,2008,2008-04-15,1일
양평,2009,,
양평,2010,,
양평,2011,,
양평,2012,,
양평,2013,,
양평,2014,,
양평,2015,,
양평,2016,,
양평,2017,,
양평,2018,,
양평,2019,,
양평,2020,,
양평,2021,,
양평,2022,,
양평,2023,,
양평,2024,,
양평,2025,,
이천,2001,2001-04-09,1일
이천,2002,2002-03-27,-12일
이천,2003,2003-04-09,1일
이천,2004,2004-04-04,-4일
이천,2005,2005-04-08,0일
이천,2006,2006-04-07,-1일
이천,2007,2007-04-01,-7일
이천,2008,2008-04-05,-3일
이천,2009,2009-04-02,-6일
이천,2010,2010-04-15,7일
이천,2011,2011-04-15,7일
이천,2012,2012-04-15,7일
이천,2013,2013-04-14,6일
이천,2014,2014-04-01,-7일
이천,2015,2015-04-04,-4일
이천,2016,,
이천,2017,,
이천,2018,,
이천,2019,,
이천,2020,,
이천,2021,,
이천,2022,,
이천,2023,,
이천,2024,,
이천,2025,,
