지점,년도,벚나무,벚나무
,,개화,개화(평비)
구미,2001,2001-04-01,-2일
구미,2002,2002-03-25,-9일
구미,2003,2003-04-01,-2일
구미,2004,2004-03-28,-6일
구미,2005,2005-04-07,4일
구미,2006,2006-04-03,0일
구미,2007,2007-03-28,-6일
구미,2008,2008-04-01,-2일
구미,2009,2009-03-25,-9일
구미,2010,2010-04-08,5일
구미,2011,2011-04-07,4일
구미,2012,2012-04-09,6일
구미,2013,2013-03-31,-3일
구미,2014,2014-03-28,-6일
구미,2015,2015-03-28,-6일
구미,2016,,
구미,2017,,
구미,2018,,
구미,2019,,
구미,2020,,
구미,2021,,
구미,2022,,
구미,2023,,
구미,2024,,
구미,2025,,
문경,2001,2001-04-08,-2일
문경,2002,2002-03-25,-16일
문경,2003,2003-04-13,3일
문경,2004,2004-04-06,-4일
문경,2005,2005-04-15,5일
문경,2006,2006-04-08,-2일
문경,2007, , 
문경,2008,2008-04-07,-3일
문경,2009,,
문경,2010,,
문경,2011,,
문경`,2012,,
문경,2013,,
문경,2014,,
문경,2015,,
문경,2016,,
문경,2017,,
문경,2018,,
문경,2019,,
문경,2020,,
문경,2021,,
문경,2022,,
문경,2023,,
문경,2024,,
문경,2025,,
봉화,2001,2001-04-17,0일
봉화,2002,2002-04-07,-10일
봉화,2003,2003-04-18,1일
봉화,2004,2004-04-12,-5일
봉화,2005,2005-04-19,2일
봉화,2006,2006-04-18,1일
봉화,2007,2007-04-13,-4일
봉화,2008,2008-04-16,-1일
봉화,2009,,
봉화,2010,,
봉화,2011,,
봉화,2012,,
봉화,2013,,
봉화,2014,,
봉화,2015,,
봉화,2016,,
봉화,2017,,
봉화,2018,,
봉화,2019,,
봉화,2020,,
봉화,2021,,
봉화,2022,,
봉화,2023,,
봉화,2024,,
봉화,2025,,
안동,2001,2001-04-02,-3일
안동,2002,2002-03-27,-9일
안동,2003,2003-04-01,-4일
안동,2004,2004-04-01,-4일
안동,2005,2005-04-09,4일
안동,2006,2006-04-07,2일
안동,2007,2007-04-04,-1일
안동,2008,2008-04-06,1일
안동,2009,2009-03-29,-7일
안동,2010,2010-04-10,5일
안동,2011,2011-04-11,6일
안동,2012,2012-04-11,6일
안동,2013,2013-04-05,0일
안동,2014,2014-04-01,-4일
안동,2015,2015-04-01,-4일
안동,2016,2016-04-02,-3일
안동,2017,2017-04-05,0일
안동,2018,2018-03-30,-6일
안동,2019,2019-03-30,-6일
안동,2020,2020-03-27,-9일
안동,2021,2021-03-26,-10일
안동,2022,2022-04-02,-3일
안동,2023,2023-03-23,-13일
안동,2024,2024-04-01,-4일
안동,2025,2025-04-02,-3일
영덕,2001,2001-04-03,0일
영덕,2002,2002-03-25,-9일
영덕,2003,2003-04-05,2일
영덕,2004,2004-03-28,-6일
영덕,2005,2005-04-07,4일
영덕,2006,2006-04-01,-2일
영덕,2007,2007-03-28,-6일
영덕,2008,2008-04-03,0일
영덕,2009,,
영덕,2010,,
영덕,2011,,
영덕,2012,,
영덕,2013,,
영덕,2014,,
영덕,2015,,
영덕,2016,,
영덕,2017,,
영덕,2018,,
영덕,2019,,
영덕,2020,,
영덕,2021,,
영덕,2022,,
영덕,2023,,
영덕,2024,,
영덕,2025,,
영주,2001,2001-04-10,-1일
영주,2002,2002-04-01,-10일
영주,2003,2003-04-11,0일
영주,2004,2004-04-08,-3일
영주,2005,2005-04-14,3일
영주,2006,2006-04-10,-1일
영주,2007,2007-04-08,-3일
영주,2008,2008-04-08,-3일
영주,2009,,
영주,2010,,
영주,2011,,
영주,2012,,
영주,2013,,
영주,2014,,
영주,2015,,
영주,2016,,
영주,2017,,
영주,2018,,
영주,2019,,
영주,2020,,
영주,2021,,
영주,2022,,
영주,2023,,
영주,2024,,
영주,2025,,
영천,2001,2001-03-31,-3일
영천,2002,2002-03-22,-12일
영천,2003,2003-04-03,0일
영천,2004,2004-03-28,-6일
영천,2005,2005-04-07,4일
영천,2006,2006-04-04,1일
영천,2007,2007-04-01,-2일
영천,2008,2008-04-04,1일
영천,2009,,
영천,2010,,
영천,2011,,
영천,2012,,
영천,2013,,
영천,2014,,
영천,2015,,
영천,2016,,
영천,2017,,
영천,2018,,
영천,2019,,
영천,2020,,
영천,2021,,
영천,2022,,
영천,2023,,
영천,2024,,
영천,2025,,
울진,2001,2001-04-03,-1일
울진,2002,2002-03-28,-7일
울진,2003,2003-04-06,2일
울진,2004,2004-03-30,-5일
울진,2005,2005-04-07,3일
울진,2006,2006-04-03,-1일
울진,2007,2007-03-30,-5일
울진,2008,2008-04-05,1일
울진,2009,2009-03-30,-5일
울진,2010,2010-04-17,13일
울진,2011,2011-04-10,6일
울진,2012,2012-04-12,8일
울진,2013,2013-04-03,-1일
울진,2014,2014-03-31,-4일
울진,2015,2015-03-31,-4일
울진,2016,,
울진,2017,,
울진,2018,,
울진,2019,,
울진,2020,,
울진,2021,,
울진,2022,,
울진,2023,,
울진,2024,,
울진,2025,,
의성,2001,2001-04-09,-1일
의성,2002,2002-04-04,-6일
의성,2003,2003-04-07,-3일
의성,2004,2004-04-06,-4일
의성,2005,2005-04-12,2일
의성,2006,2006-04-11,1일
의성,2007,2007-04-10,0일
의성,2008,2008-04-08,-2일
의성,2009,,
의성,2010,,
의성,2011,,
의성,2012,,
의성,2013,,
의성,2014,,
의성,2015,,
의성,2016,,
의성,2017,,
의성,2018,,
의성,2019,,
의성,2020,,
의성,2021,,
의성,2022,,
의성,2023,,
의성,2024,,
의성,2025,,
포항,2001,2001-03-22,-7일
포항,2002,2002-03-16,-13일
포항,2003,2003-03-26,-3일
포항,2004,2004-03-22,-7일
포항,2005,2005-04-05,7일
포항,2006,2006-03-28,-1일
포항,2007,2007-03-23,-6일
포항,2008,2008-03-28,-1일
포항,2009,2009-03-20,-9일
포항,2010,2010-04-03,5일
포항,2011,2011-04-02,4일
포항,2012,2012-04-05,7일
포항,2013,2013-03-20,-9일
포항,2014,2014-03-27,-2일
포항,2015,2015-03-27,-2일
포항,2016,2016-03-28,-1일
포항,2017,2017-03-27,-2일
포항,2018,2018-03-27,-2일
포항,2019,2019-03-21,-8일
포항,2020,2020-03-23,-6일
포항,2021,2021-03-23,-6일
포항,2022,2022-03-27,-2일
포항,2023,2023-03-16,-13일
포항,2024,2024-03-29,0일
포항,2025,2025-03-26,-3일
