지점,년도,벚나무,벚나무
,,개화,개화(평비)
서울,2001,2001-04-10,2일
서울,2002,2002-04-02,-6일
서울,2003,2003-04-05,-3일
서울,2004,2004-04-05,-3일
서울,2005,2005-04-12,4일
서울,2006,2006-04-10,2일
서울,2007,2007-04-03,-5일
서울,2008,2008-04-06,-2일
서울,2009,2009-04-06,-2일
서울,2010,2010-04-12,4일
서울,2011,2011-04-13,5일
서울,2012,2012-04-15,7일
서울,2013,2013-04-15,7일
서울,2014,2014-03-28,-11일
서울,2015,2015-04-03,-5일
서울,2016,2016-04-02,-6일
서울,2017,2017-04-06,-2일
서울,2018,2018-04-02,-6일
서울,2019,2019-04-03,-5일
서울,2020,2020-03-27,-12일
서울,2021,2021-03-24,-15일
서울,2022,2022-04-04,-4일
서울,2023,2023-03-25,-14일
서울,2024,2024-04-01,-7일
서울,2025,2025-04-04,-4일
