지점,년도,벚나무,벚나무
,,개화,개화(평비)
보은,2001,2001-04-11,-1일
보은,2002,2002-04-03,-9일
보은,2003,2003-04-10,-2일
보은,2004,2004-04-09,-3일
보은,2005,2005-04-15,3일
보은,2006,2006-04-12,0일
보은,2007,2007-04-09,-3일
보은,2008,2008-04-07,-5일
보은,2009,,
보은,2010,,
보은,2011,,
보은,2012,,
보은,2013,,
보은,2014,,
보은,2015,,
보은,2016,,
보은,2017,,
보은,2018,,
보은,2019,,
보은,2020,,
보은,2021,,
보은,2022,,
보은,2023,,
보은,2024,,
보은,2025,,
제천,2001,2001-04-14,1일
제천,2002,2002-04-04,-9일
제천,2003,2003-04-11,-2일
제천,2004,2004-04-09,-4일
제천,2005,2005-04-13,0일
제천,2006,2006-04-11,-2일
제천,2007,2007-04-10,-3일
제천,2008,2008-04-11,-2일
제천,2009,,
제천,2010,,
제천,2011,,
제천,2012,,
제천,2013,,
제천,2014,,
제천,2015,,
제천,2016,,
제천,2017,,
제천,2018,,
제천,2019,,
제천,2020,,
제천,2021,,
제천,2022,,
제천,2023,,
제천,2024,,
제천,2025,,
청주,2001,2001-04-03,-3일
청주,2002,2002-03-31,-6일
청주,2003,2003-04-02,-4일
청주,2004,2004-03-30,-7일
청주,2005,2005-04-09,3일
청주,2006,2006-04-06,0일
청주,2007,2007-04-01,-5일
청주,2008,2008-04-08,2일
청주,2009,2009-04-03,-3일
청주,2010,2010-04-18,12일
청주,2011,2011-04-14,8일
청주,2012,2012-04-17,11일
청주,2013,2013-04-14,8일
청주,2014,2014-03-29,-8일
청주,2015,2015-04-02,-4일
청주,2016,2016-04-01,-5일
청주,2017,2017-04-04,-2일
청주,2018,2018-04-01,-5일
청주,2019,2019-03-28,-9일
청주,2020,2020-03-26,-11일
청주,2021,2021-03-24,-13일
청주,2022,2022-04-02,-4일
청주,2023,2023-03-23,-14일
청주,2024,2024-03-31,-6일
청주,2025,2025-03-31,-6일
충주,2001,2001-04-10,1일
충주,2002,2002-03-31,-9일
충주,2003,2003-04-03,-6일
충주,2004,2004-04-07,-2일
충주,2005,2005-04-12,3일
충주,2006,2006-04-10,1일
충주,2007,2007-04-06,-3일
충주,2008,2008-04-07,-2일
충주,2009,2009-04-03,-6일
충주,2010,2010-04-18,9일
충주,2011,2011-04-13,4일
충주,2012,2012-04-14,5일
충주,2013,2013-04-10,1일
충주,2014,2014-03-31,-9일
충주,2015,2015-04-04,-5일
충주,2016,,
충주,2017,,
충주,2018,,
충주,2019,,
충주,2020,,
충주,2021,,
충주,2022,,
충주,2023,,
충주,2024,,
충주,2025,,
