지점,년도,벚나무,벚나무.1
,,,개화(평비)
보은,2001.0,2001-04-11,-1일
보은,2002.0,2002-04-03,-9일
보은,2003.0,2003-04-10,-2일
보은,2004.0,2004-04-09,-3일
보은,2005.0,2005-04-15,3일
보은,2006.0,2006-04-12,0일
보은,2007.0,2007-04-09,-3일
보은,2008.0,2008-04-07,-5일
보은,2009.0,2009-04-03,
보은,2010.0,2010-04-18,
보은,2011.0,2011-04-13,
보은,2012.0,2012-04-15,
보은,2013.0,2013-04-12,
보은,2014.0,2014-03-30,
보은,2015.0,2015-04-03,
보은,2016.0,2016-04-01,
보은,2017.0,2017-04-04,
보은,2018.0,2018-04-01,
보은,2019.0,2019-03-28,
보은,2020.0,2020-03-26,
보은,2021.0,2021-03-24,
보은,2022.0,2022-04-02,
보은,2023.0,2023-03-23,
보은,2024.0,2024-03-31,
보은,2025.0,2025-03-31,
제천,2001.0,2001-04-14,1일
제천,2002.0,2002-04-04,-9일
제천,2003.0,2003-04-11,-2일
제천,2004.0,2004-04-09,-4일
제천,2005.0,2005-04-13,0일
제천,2006.0,2006-04-11,-2일
제천,2007.0,2007-04-10,-3일
제천,2008.0,2008-04-11,-2일
제천,2009.0,2009-04-03,
제천,2010.0,2010-04-18,
제천,2011.0,2011-04-13,
제천,2012.0,2012-04-15,
제천,2013.0,2013-04-12,
제천,2014.0,2014-03-30,
제천,2015.0,2015-04-03,
제천,2016.0,2016-04-01,
제천,2017.0,2017-04-04,
제천,2018.0,2018-04-01,
제천,2019.0,2019-03-28,
제천,2020.0,2020-03-26,
제천,2021.0,2021-03-24,
제천,2022.0,2022-04-02,
제천,2023.0,2023-03-23,
제천,2024.0,2024-03-31,
제천,2025.0,2025-03-31,
청주,2001.0,2001-04-03,-3일
청주,2002.0,2002-03-31,-6일
청주,2003.0,2003-04-02,-4일
청주,2004.0,2004-03-30,-7일
청주,2005.0,2005-04-09,3일
청주,2006.0,2006-04-06,0일
청주,2007.0,2007-04-01,-5일
청주,2008.0,2008-04-08,2일
청주,2009.0,2009-04-03,-3일
청주,2010.0,2010-04-18,12일
청주,2011.0,2011-04-14,8일
청주,2012.0,2012-04-17,11일
청주,2013.0,2013-04-14,8일
청주,2014.0,2014-03-29,-8일
청주,2015.0,2015-04-02,-4일
청주,2016.0,2016-04-01,-5일
청주,2017.0,2017-04-04,-2일
청주,2018.0,2018-04-01,-5일
청주,2019.0,2019-03-28,-9일
청주,2020.0,2020-03-26,-11일
청주,2021.0,2021-03-24,-13일
청주,2022.0,2022-04-02,-4일
청주,2023.0,2023-03-23,-14일
청주,2024.0,2024-03-31,-6일
청주,2025.0,2025-03-31,-6일
충주,2001.0,2001-04-10,1일
충주,2002.0,2002-03-31,-9일
충주,2003.0,2003-04-03,-6일
충주,2004.0,2004-04-07,-2일
충주,2005.0,2005-04-12,3일
충주,2006.0,2006-04-10,1일
충주,2007.0,2007-04-06,-3일
충주,2008.0,2008-04-07,-2일
충주,2009.0,2009-04-03,-6일
충주,2010.0,2010-04-18,9일
충주,2011.0,2011-04-13,4일
충주,2012.0,2012-04-14,5일
충주,2013.0,2013-04-10,1일
충주,2014.0,2014-03-31,-9일
충주,2015.0,2015-04-04,-5일
충주,2016.0,2016-04-01,
충주,2017.0,2017-04-04,
충주,2018.0,2018-04-01,
충주,2019.0,2019-03-28,
충주,2020.0,2020-03-26,
충주,2021.0,2021-03-24,
충주,2022.0,2022-04-02,
충주,2023.0,2023-03-23,
충주,2024.0,2024-03-31,
충주,2025.0,2025-03-31,
