일시,평균기온(°C),최저기온(°C),최고기온(°C),합계 일조시간(hr),일강수량(mm)
2001-02-01,-5.8,-9.1,0.6,6.8,0.0
2001-02-02,-4.9,-10.4,-0.9,4.2,0.1
2001-02-03,0.1,-3.4,3.7,3.4,0.0
2001-02-04,1.3,-1.2,5.2,4.2,0.0
2001-02-05,1.5,-2.1,5.7,4.3,0.0
2001-02-06,2.6,-0.7,6.3,4.1,0.0
2001-02-07,-2.6,-8.1,1.7,4.7,0.0
2001-02-08,-4.9,-9.0,-0.8,7.1,0.1
2001-02-09,-0.9,-4.7,4.0,2.0,0.5
2001-02-10,-1.4,-3.8,1.7,4.3,0.0
2001-02-11,-3.5,-6.5,0.1,6.4,0.0
2001-02-12,-4.2,-6.6,0.0,3.7,0.0
2001-02-13,-3.9,-6.4,-0.1,2.7,0.0
2001-02-14,-3.6,-6.7,-0.1,7.3,0.0
2001-02-15,-3.4,-5.2,0.1,0.0,23.2
2001-02-16,-6.1,-8.6,-3.6,7.8,0.0
2001-02-17,-2.3,-7.0,0.7,0.2,0.0
2001-02-18,2.7,-0.6,5.6,2.4,0.0
2001-02-19,3.5,1.3,7.1,6.4,0.0
2001-02-20,4.1,-0.7,9.8,6.0,0.0
2001-02-21,5.9,3.7,9.2,3.0,0.0
2001-02-22,6.4,1.7,12.2,4.8,0.0
2001-02-23,3.5,0.4,6.2,0.0,8.2
2001-02-24,0.0,-2.2,2.3,0.2,4.9
2001-02-25,-0.5,-4.7,3.8,7.9,0.0
2001-02-26,1.9,-3.1,6.9,7.5,0.0
2001-02-27,3.0,-0.8,8.1,2.4,7.7
2001-02-28,3.4,0.1,8.5,3.2,1.0
2001-03-01,4.9,1.7,8.5,7.3,0.0
2001-03-02,4.2,0.6,8.4,0.0,0.0
2001-03-03,3.4,-0.1,9.3,0.0,11.2
2001-03-04,-1.4,-3.5,0.2,2.6,0.8
2001-03-05,1.9,-1.8,5.5,6.8,0.0
2001-03-06,3.4,0.5,8.1,0.0,0.0
2001-03-07,-1.6,-4.0,1.7,6.2,0.0
2001-03-08,-3.6,-6.1,-0.9,4.4,0.0
2001-03-09,-0.1,-5.3,3.6,7.2,0.0
2001-03-10,2.1,-1.3,4.9,8.3,0.0
2001-03-11,0.6,-3.6,5.4,7.6,0.0
2001-03-12,2.1,-2.2,6.4,7.9,0.0
2001-03-13,4.9,-1.5,11.5,7.8,0.0
2001-03-14,8.0,3.3,12.5,1.0,1.0
2001-03-15,4.0,0.1,9.2,7.7,0.0
2001-03-16,6.0,-0.5,12.0,6.1,0.0
2001-03-17,7.5,5.1,10.3,0.2,0.0
2001-03-18,7.7,3.5,12.5,6.4,0.0
2001-03-19,8.2,4.3,12.9,0.0,0.0
2001-03-20,11.3,7.3,15.7,5.2,0.0
2001-03-21,12.6,5.6,19.4,8.5,0.0
2001-03-22,11.3,6.9,15.2,5.7,0.0
2001-03-23,10.6,4.7,17.1,5.7,0.0
2001-03-24,13.4,6.2,21.0,8.0,0.0
2001-03-25,9.9,3.2,14.3,3.1,0.0
2001-03-26,3.5,0.4,7.9,7.7,0.0
2001-03-27,2.9,0.2,7.5,0.4,2.4
2001-03-28,3.9,0.4,9.5,6.5,2.7
2001-03-29,3.3,0.2,8.1,3.2,0.0
2001-03-30,4.5,2.0,9.4,4.0,0.0
2001-03-31,5.2,1.1,11.3,5.5,0.0
2002-02-01,1.4,-3.9,5.6,2.2,0.0
2002-02-02,4.3,2.2,8.1,4.1,0.0
2002-02-03,4.0,-1.1,10.3,6.5,0.0
2002-02-04,3.9,0.0,9.0,0.9,0.0
2002-02-05,4.7,0.9,9.0,4.3,0.0
2002-02-06,5.9,3.2,9.4,0.0,0.0
2002-02-07,4.2,0.6,9.1,6.4,0.0
2002-02-08,2.0,-3.2,4.8,0.0,0.0
2002-02-09,-1.9,-5.1,1.3,5.2,0.0
2002-02-10,-0.6,-3.2,2.8,0.5,0.0
2002-02-11,-1.7,-5.0,2.7,3.4,0.0
2002-02-12,-1.1,-4.7,2.9,5.5,0.0
2002-02-13,0.2,-3.3,4.3,6.1,0.0
2002-02-14,1.2,-3.0,5.8,6.0,0.0
2002-02-15,1.7,-3.3,6.9,6.7,0.0
2002-02-16,3.5,-0.3,6.3,0.0,0.0
2002-02-17,2.7,-1.6,6.4,0.1,1.4
2002-02-18,-1.7,-4.8,2.5,8.0,0.0
2002-02-19,-0.5,-5.0,4.1,7.5,0.0
2002-02-20,3.1,-2.8,8.2,5.5,0.0
2002-02-21,3.9,1.6,6.1,0.0,1.0
2002-02-22,5.6,3.3,9.6,2.1,0.0
2002-02-23,5.0,2.1,10.2,5.5,0.0
2002-02-24,6.3,0.4,12.6,7.1,0.0
2002-02-25,5.3,2.6,8.4,0.5,0.0
2002-02-26,6.4,2.9,10.8,3.3,0.0
2002-02-27,7.3,4.6,10.6,1.3,0.0
2002-02-28,6.1,2.9,11.3,5.2,0.0
2002-03-01,6.6,1.1,13.1,2.1,0.0
2002-03-02,7.0,4.5,11.5,1.5,0.0
2002-03-03,4.8,2.3,9.4,3.8,0.0
2002-03-04,4.2,-0.7,8.3,2.7,0.0
2002-03-05,4.0,1.4,6.2,0.0,0.5
2002-03-06,1.8,-0.9,4.6,0.2,2.5
2002-03-07,1.2,-2.9,5.8,8.1,0.0
2002-03-08,3.8,-0.9,8.7,7.6,0.0
2002-03-09,9.2,2.4,14.9,6.9,0.0
2002-03-10,9.1,6.0,13.3,6.3,0.5
2002-03-11,7.4,3.2,12.6,7.3,0.0
2002-03-12,9.3,3.5,15.5,6.0,0.0
2002-03-13,11.5,5.7,19.4,6.9,0.0
2002-03-14,10.4,7.6,14.5,0.0,0.0
2002-03-15,8.5,6.2,12.0,3.5,1.0
2002-03-16,8.4,3.1,13.6,7.0,0.0
2002-03-17,9.4,6.1,14.0,6.1,0.0
2002-03-18,7.4,3.9,11.8,7.1,0.0
2002-03-19,8.5,4.3,14.2,4.0,0.0
2002-03-20,11.9,3.5,18.2,3.5,0.0
