지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10)
90,속초,2005-02-01,-8.2,-13.1,-4.4,9.4,3.8,20,29.3,8.5,,1.3
90,속초,2005-02-02,-4.3,-9.3,.3,5.7,2.6,25,33.8,8.5,,0
90,속초,2005-02-03,-1.5,-7,3.5,5,2.3,17,30,8.2,,1.4
90,속초,2005-02-04,.8,-3.6,4.1,6.1,2.8,20,30.5,7.7,,3
90,속초,2005-02-05,-.5,-3,2.2,6.3,2.7,25,46,8.5,,.5
90,속초,2005-02-06,.7,-3.5,4.6,3.4,1.8,50,62.1,3,,5.8
90,속초,2005-02-07,2.4,-.1,5.4,4.6,2.2,63,75,.7,,8.9
90,속초,2005-02-08,1.6,-.3,4.5,4.7,2.2,75,84.3,2.3,.3,6.9
90,속초,2005-02-09,1.7,-1.5,5,6.6,2.9,29,44.9,.3,,5.8
90,속초,2005-02-10,-2.5,-5.8,1.5,6.9,3.2,17,34.5,8.6,,0
90,속초,2005-02-11,-3.4,-8,2,4.6,2.5,13,23,8.7,,0
90,속초,2005-02-12,-2.4,-7.7,1.8,3,1.6,16,26.8,7.4,,4
90,속초,2005-02-13,.7,-4.8,5.6,5.7,2.8,17,24.6,8.6,,.3
90,속초,2005-02-14,2.1,-3,5.9,4.7,1.8,27,45.3,4.5,,6
90,속초,2005-02-15,3.2,-.4,6.8,8.8,3.9,24,64.6,4.8,,6.6
90,속초,2005-02-16,1,.2,2.1,6.3,3.5,89,92.1,0,2.2,9.8
90,속초,2005-02-17,2.1,.7,4.3,5.5,2.6,71,82.3,.5,2.1,9
90,속초,2005-02-18,2.1,.8,3.3,6.5,4,59,70.3,0,,9.6
90,속초,2005-02-19,-.3,-7.5,4.8,8.6,2.9,16,53.5,3.8,,4.3
90,속초,2005-02-20,-5.6,-8.6,-1.2,9.7,4.3,19,25.4,8.8,,0
90,속초,2005-02-21,-4.7,-10.1,.4,8.2,3.5,15,28.1,9,,.4
90,속초,2005-02-22,.1,-5.9,4.6,8.2,3.3,44,62.9,.8,,7.6
90,속초,2005-02-23,.3,-3.5,3.4,8.5,4.6,13,28.6,8.8,,1.6
90,속초,2005-02-24,-2.3,-4.7,2.2,3.9,2.2,23,49.6,7.4,,5.4
90,속초,2005-02-25,-2.5,-5.9,.9,8,4,15,24,9,,0
90,속초,2005-02-26,-3.9,-8.3,.3,4.5,2.4,18,29.9,8.9,,0
90,속초,2005-02-27,-.1,-6.8,4.8,9.4,2.5,18,27.9,8.9,,2.1
90,속초,2005-02-28,1.3,-2.6,7.3,7.2,3.1,18,43.1,8.9,,0
90,속초,2005-03-01,.1,-3.7,4.2,7.5,2.7,25,56.4,8.7,,1.6
90,속초,2005-03-02,.9,-2.2,4,5.2,1.9,31,52.3,7.6,,5.8
90,속초,2005-03-03,.1,-3.6,2.8,7.3,3.6,18,36.1,9,,2.8
90,속초,2005-03-04,-2.7,-5.6,-.4,6.9,2.4,45,92.4,0,54.2,8.8
90,속초,2005-03-05,-3,-7.1,.2,3.7,1.9,74,85.4,1.3,55,6.6
90,속초,2005-03-06,2.7,-7.1,7.7,6.6,3,16,37.8,9.3,55,0
90,속초,2005-03-07,7,1.5,9.8,11.2,4.8,14,45.8,5.9,29.5,5.4
90,속초,2005-03-08,6.4,.3,12,6.8,3.3,19,43.8,9,13.5,1.8
90,속초,2005-03-09,2.7,-1.1,6.7,7.6,2.2,24,51.9,8.6,2.4,1
90,속초,2005-03-10,1.4,.5,2.8,4.9,1.8,61,81,0,1,8.9
90,속초,2005-03-11,-.2,-2.7,1.3,5.1,1.4,82,93.5,0,25.3,10
90,속초,2005-03-12,-4,-7.9,.5,6.1,2.8,30,49.8,9.7,25.2,1.6
90,속초,2005-03-13,-1.3,-7.2,3.8,6.8,2.7,22,34.5,10,18,0
90,속초,2005-03-14,1.8,-2.8,5.9,6.3,3,22,43.8,10.3,7,0
90,속초,2005-03-15,5.6,-.5,9.6,5.1,2.1,19,42.4,2.1,5.3,5.6
90,속초,2005-03-16,6.3,1.7,10.8,5.2,2,36,56.5,7.9,2,5
90,속초,2005-03-17,6.9,3.5,11.9,8.4,3.1,39,65.4,3.9,,8.5
90,속초,2005-03-18,5.1,2.2,7.9,6.6,3.2,27,43.8,10.2,,1.1
90,속초,2005-03-19,6.1,1.1,10.5,7.8,3.1,16,39.8,10.6,,2.9
90,속초,2005-03-20,8.7,4.5,14.5,9.7,3.9,10,30.9,9.2,,3.6
90,속초,2005-03-21,9.5,2.2,15.9,6.7,2.6,12,43.1,6.7,,5.8
90,속초,2005-03-22,8.8,5.8,13.7,5.3,2.1,21,49.6,6.4,,5.4
90,속초,2005-03-23,5,2,6.6,6.4,2.3,63,84,0,,9.8
90,속초,2005-03-24,.8,-1,4,9.8,3.9,42,82.6,1.4,12.8,7.1
90,속초,2005-03-25,3.9,-3.4,8.5,7.4,4.1,26,38.5,10.8,6.6,1.6
90,속초,2005-03-26,9.1,4.4,12.9,7.3,3.5,28,45.6,10.8,,1.4
90,속초,2005-03-27,10.8,5.1,15.8,5.8,2.6,16,54.8,11.2,,1.5
90,속초,2005-03-28,8.7,2.8,18.1,10.1,4.3,11,56,9.1,,1.6
90,속초,2005-03-29,5.9,1.7,9,7.7,3.2,18,35.8,11.4,,0
90,속초,2005-03-30,9.3,2.9,14.1,7.1,3.4,17,35,11.3,,.8
90,속초,2005-03-31,9,6.2,13.9,6.5,3.1,20,45.3,10.8,,1.8
90,속초,2005-04-01,6.5,3.6,9.6,5.2,2.4,57,75,6.2,,5.5
90,속초,2005-04-02,6.5,2.7,9.4,4.7,1.9,74,82.6,1.3,,8.3
90,속초,2005-04-03,6.2,1.4,10.5,5.1,2.5,29,52.6,8.8,,4
90,속초,2005-04-04,11.7,.4,18.7,8.5,3,12,32.1,7.7,,2.9
90,속초,2005-04-05,19.4,13.2,24.9,9.3,5.5,14,22.6,10,,2.1
90,속초,2005-04-06,18.1,15.2,20.4,8.5,4.8,8,42.4,.1,,7.5
90,속초,2005-04-07,19.1,13.6,23.6,7.8,4.3,19,43,6.7,,6.5
90,속초,2005-04-08,10,6.6,13.9,4.9,1.9,32,65.5,7.9,,3.4
90,속초,2005-04-09,9.2,5.7,13.5,8.5,3.8,54,81.3,1.8,,8
90,속초,2005-04-10,7.4,5.9,11,9.6,3.8,72,84.8,2.6,,6.8
90,속초,2005-04-11,7.6,3.8,13.1,5,1.8,33,70.8,3.8,,6.3
90,속초,2005-04-12,8.2,4.5,12.5,5,2,58,75.4,1.1,,8.9
90,속초,2005-04-13,8.8,6.3,12.7,6,2.6,22,75.3,3.1,,4.3
90,속초,2005-04-14,15.1,10.1,21,8.8,4.4,13,25.1,10.4,,.8
90,속초,2005-04-15,11.6,6.5,14.7,6.1,2.8,16,30.8,11.8,,0
90,속초,2005-04-16,15.5,8.5,21.9,8.5,3.8,9,14,11.6,,.9
90,속초,2005-04-17,11.1,6.4,15.4,7.4,2.8,9,54.5,4.5,,4.8
90,속초,2005-04-18,8.1,6.4,10.6,5.8,2.4,70,81.9,7.9,,7
90,속초,2005-04-19,8.9,5.7,12.8,5.9,2.8,76,88.1,0,,9.5
90,속초,2005-04-20,12.9,7.3,17,8.7,5.2,14,35.1,11.2,,3.5
90,속초,2005-04-21,12.9,9,17.6,9.1,4.3,16,27.3,9.2,,3.8
90,속초,2005-04-22,13.4,8.9,18.8,10.9,5.8,18,35.8,11.7,,1.8
90,속초,2005-04-23,10.9,5,16.6,6.8,2.4,45,62.3,12.6,,.4
90,속초,2005-04-24,13,5.7,18.6,7.3,3.1,20,59.3,10.3,,4.1
90,속초,2005-04-25,14.8,10.2,21.2,6.6,3,20,38.5,7.7,,3
90,속초,2005-04-26,19.4,12.6,24.6,8.9,4,13,23.6,12.2,,2.1
90,속초,2005-04-27,20.7,11.8,26.8,10.3,4.1,13,31.9,7.1,,7.8
90,속초,2005-04-28,24.3,17.4,32,11,4.8,17,42.8,9.7,,3.6
90,속초,2005-04-29,16.5,11.7,20.6,6.1,2.3,36,62.5,11.8,,.8
90,속초,2005-04-30,15.9,10.6,21.1,4.6,1.9,40,68.1,11.1,,2
95,철원,2005-02-01,-11.9,-15.3,-7,6.3,3.4,27,40.3,8.4,,1.1
95,철원,2005-02-02,-10.1,-17.3,-3.1,6.5,2.2,32,54.8,9.2,,0
95,철원,2005-02-03,-8.6,-15.6,-1,5.3,1.3,29,57.6,8.2,,1.6
95,철원,2005-02-04,-5.6,-12,.9,4,1.1,30,58.8,7.6,,4.4
95,철원,2005-02-05,-5.6,-12.2,1.6,3.8,1.2,24,57.8,8.8,,1.5
95,철원,2005-02-06,-4.2,-11.3,5.5,3.3,1,17,49.9,6.8,,2
95,철원,2005-02-07,-.4,-9.1,5.8,3.3,.8,40,60.1,.1,,8.5
95,철원,2005-02-08,-1.1,-6.9,4.9,3.5,1,35,69.5,4,1.1,4.1
95,철원,2005-02-09,-4.4,-10,.7,4,1.6,28,57.3,.1,,4.1
95,철원,2005-02-10,-8.5,-14.7,-2.4,5.7,2.1,15,46.4,9.7,,0
95,철원,2005-02-11,-9.7,-16.7,-2.1,5.6,1.6,15,43.1,9.8,,.3
95,철원,2005-02-12,-8.9,-17,0,4.7,1.3,15,46.4,7.2,,3.1
95,철원,2005-02-13,-5.7,-15.7,2.9,5.5,1.8,22,57,7.7,,1.3
95,철원,2005-02-14,-2.2,-9.5,5,2,.8,18,55.5,2.6,,7.9
95,철원,2005-02-15,.6,-9,10,8.2,3.9,22,61.6,4.5,1.2,7.5
95,철원,2005-02-16,.4,-1.2,2.7,6.6,4.7,60,75.9,0,13.4,8.8
95,철원,2005-02-17,.2,-8.2,6.3,6.5,2.5,48,68.8,9.5,9.1,2.9
95,철원,2005-02-18,1.9,0,5.1,5.7,3.6,41,60.9,1.2,3.5,9.5
95,철원,2005-02-19,-4.1,-9.7,.1,7.1,3.3,23,54.3,7.2,2.1,4.8
95,철원,2005-02-20,-9.1,-12.3,-5.1,6.7,3.6,29,41,7.4,,1.4
95,철원,2005-02-21,-8.4,-16.6,-2.9,7.4,2.8,27,55,7.6,,2.6
95,철원,2005-02-22,-2.4,-6.4,2.4,11.2,4.7,56,80.6,0,13.5,9.5
95,철원,2005-02-23,-5.7,-13.3,-1.2,7.2,3.4,28,57.4,8.5,10.8,2.5
95,철원,2005-02-24,-7.8,-14.5,.2,3.4,1,23,60.3,8.2,2.3,3
95,철원,2005-02-25,-9.3,-17,-2.9,5.8,2.3,24,54.8,9.5,1,0
95,철원,2005-02-26,-10,-18.1,-2.3,4.7,1.4,19,56.5,9.7,,0
95,철원,2005-02-27,-6.8,-16.7,1.7,4.7,1.4,24,60.5,9.4,,2.3
95,철원,2005-02-28,-3.7,-11,2.7,5.4,1.5,25,61.3,9.2,,.4
95,철원,2005-03-01,-3.6,-11.9,3.4,3.6,1.2,22,59.4,8.7,,3.3
95,철원,2005-03-02,-1,-4.9,3.8,4.4,1.5,29,59,8.9,1.3,4.1
95,철원,2005-03-03,-4.3,-9.6,1.4,4.3,1.3,24,57.5,9.2,,.9
95,철원,2005-03-04,-4,-10,2.4,4,1.2,24,58.9,6.3,,3.1
95,철원,2005-03-05,-3.5,-9.8,3.3,4.9,1.2,38,67.5,6.7,,3.6
95,철원,2005-03-06,-1.9,-8.9,4.7,8.2,2.1,16,58.1,9.4,,.5
95,철원,2005-03-07,2.1,-3.6,5.6,6.6,3.5,67,73.5,0,,9.1
95,철원,2005-03-08,2.4,-2.7,8.4,5.6,2.4,22,58.6,8.3,,3.8
95,철원,2005-03-09,2.6,-6.4,11.3,3.3,1.2,14,49.8,7.4,,4.1
95,철원,2005-03-10,6.7,3.6,11.5,7.5,3.4,58,85.8,0,,9.8
95,철원,2005-03-11,-.4,-5.1,3.9,5.7,2.5,43,71.9,.9,,8.3
95,철원,2005-03-12,-5.1,-8.1,-1.5,6.8,4,28,40.6,8.3,,1.5
95,철원,2005-03-13,-3.5,-9.5,2,7.3,3,13,39.3,9.3,,1.3
95,철원,2005-03-14,-.9,-9.2,7.1,6.6,2,22,54.1,9.9,,1.5
95,철원,2005-03-15,1.5,-3.3,8.3,6.2,1.9,31,67.5,4.8,,6.9
95,철원,2005-03-16,2.9,-3.9,10.2,3.4,1,41,70,4.6,,7
95,철원,2005-03-17,4.7,1.7,9.8,8.8,3.2,48,74.6,2.3,,8.1
95,철원,2005-03-18,2.5,-2.6,8.2,6.3,2.8,18,44.4,10,,.6
95,철원,2005-03-19,1.9,-6.3,10.2,6.1,1.9,16,50,10.2,,2
95,철원,2005-03-20,3.9,-1.6,10.1,7.6,2.7,41,64.1,5.2,,3.8
95,철원,2005-03-21,4.8,-3.8,12.9,7.6,2.4,19,55.5,7.5,,5.1
