지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
90,속초,2015-04-01,6.7,5.7,9,11,7.1,2.3,96.5,2.4,
90,속초,2015-04-02,6.3,3.4,8.9,13,6.1,2,97.8,.2,
90,속초,2015-04-03,7.5,5.3,11.3,6.5,8.6,2.8,91.3,5.9,
90,속초,2015-04-04,6.7,3.9,9.5,,3.6,1.4,83.6,2.6,
90,속초,2015-04-05,6.1,5.6,7.4,.1,4.4,2,86.8,0,
90,속초,2015-04-06,6.6,4.1,10.1,0,4.4,1.6,92.5,2.3,
90,속초,2015-04-07,3.1,1.9,5.5,1.5,4.8,1.9,87,0,
90,속초,2015-04-08,4.5,2.2,7.9,2,3.5,1.7,96.5,3.1,
90,속초,2015-04-09,6,1.2,9.5,,4.8,1.9,90.6,11.4,
90,속초,2015-04-10,9,3.8,13.4,,4.1,2,65.8,11.5,
90,속초,2015-04-11,6.8,4.3,9.3,,4.4,1.9,91.3,7.4,
90,속초,2015-04-12,6.3,4.3,7.9,0,5.9,2.5,100,0,
90,속초,2015-04-13,6.1,5.2,7.1,.1,7,3.7,98.4,0,
90,속초,2015-04-14,6,3.5,8.5,10.5,4.4,1.4,94,0,
90,속초,2015-04-15,13.6,4.1,19,0,8.2,2.3,57.5,11.4,
90,속초,2015-04-16,11.2,8.4,17.3,1,10.1,3.7,65.1,2.4,
90,속초,2015-04-17,15.1,10.4,20.5,,10.1,5,23.8,11,
90,속초,2015-04-18,16.1,10.5,22,,6.5,2.8,29.6,10.9,
90,속초,2015-04-19,10.7,7,17,7.5,5.7,2.5,74.3,0,
90,속초,2015-04-20,8.1,4.4,11.2,21,6.8,2.3,95.9,2.6,
90,속초,2015-04-21,14.9,3.7,24.1,,6.2,1.9,47.9,12.7,
90,속초,2015-04-22,15.4,11.4,21.4,,7.8,2.6,36.5,5.6,
90,속초,2015-04-23,18.9,10.4,24.8,,5.4,2.3,25.1,11.7,
90,속초,2015-04-24,15.8,10.4,19,,6,2.5,31.4,12.3,
90,속초,2015-04-25,16.7,8.1,23.1,,5.9,2.6,34.9,12.4,
90,속초,2015-04-26,25,19.9,29,,10.2,5.3,27.3,12.3,
90,속초,2015-04-27,25.1,20,29.8,,7.4,3.7,26.1,12.2,
90,속초,2015-04-28,17.6,10.5,23.7,,5.2,2.3,42.1,9.5,
90,속초,2015-04-29,9.4,8,11.1,,3.4,1.7,89.5,1.5,
90,속초,2015-04-30,10.6,7,13.7,,4.7,1.9,95.6,10.1,
95,철원,2015-04-01,9.4,4.2,15.7,1.5,6.3,3.9,67.5,6.8,
95,철원,2015-04-02,12.6,3,20.2,43,6.3,1.6,73,2.7,
95,철원,2015-04-03,11.5,8.3,16,2,7.7,2.5,78.8,5.3,
95,철원,2015-04-04,9.9,5.9,16.1,,7.5,5.5,52.8,6.2,
95,철원,2015-04-05,8.4,5.5,11.9,,6.5,2.2,60.4,0,
95,철원,2015-04-06,8.4,2.5,15.8,,6,1.7,60.8,3.8,
95,철원,2015-04-07,4.9,1.8,6.8,.3,5.3,3.6,71.8,.4,
95,철원,2015-04-08,5.8,-1,13.5,,5.3,1.3,55.1,11.4,
95,철원,2015-04-09,6.4,-2.8,15,,4.5,1.2,47.4,11.9,
95,철원,2015-04-10,8.8,-.8,18.6,,3.8,1.2,47.9,11.8,
95,철원,2015-04-11,11.1,.3,20.3,,3.9,1.3,44.9,11.2,
95,철원,2015-04-12,10.8,2.8,21.5,,8.1,3.1,50.3,4.7,
95,철원,2015-04-13,10.4,6,17.8,2,7.3,4.7,49.5,7.9,
95,철원,2015-04-14,5.7,4.4,7.2,20.5,5.3,1.9,87.3,0,
95,철원,2015-04-15,9.1,4.3,16,1.5,4.3,2,76.4,7.3,
95,철원,2015-04-16,8.5,3.9,13.7,7.5,5.8,2.1,69.4,1,
95,철원,2015-04-17,9,0,16.4,,7.4,2.9,46.1,12.3,
95,철원,2015-04-18,12.8,-.1,23,,3.2,1.2,42.8,11.7,
95,철원,2015-04-19,12.7,9.4,19.9,13.5,6.1,2.6,67.1,.7,
95,철원,2015-04-20,10.4,5.7,15.1,6.5,7.8,3.7,73.4,4.7,
95,철원,2015-04-21,11.9,2.1,20.6,,5.9,2.1,51,12.6,
95,철원,2015-04-22,11.8,3.7,20,0,4.3,1.5,48.9,9.2,
95,철원,2015-04-23,12.7,2.1,20.5,,5.3,2,39.9,12.1,
95,철원,2015-04-24,14.1,5.6,21.6,,5.9,1.9,37.9,12.3,
95,철원,2015-04-25,13.8,2.9,23.2,,5.4,1.8,34.4,12.5,
95,철원,2015-04-26,16.2,4.6,25.3,,4.8,2.2,42.1,11.6,
95,철원,2015-04-27,17,8.2,25.6,,5.2,2,46.6,11.9,
95,철원,2015-04-28,17.4,5.7,26.6,,3.5,1.1,38,11.9,
95,철원,2015-04-29,17.2,12.3,22.9,0,4.8,1.1,49.3,0,
95,철원,2015-04-30,19.9,9.6,28.9,,3.6,1.2,56,11.9,
98,동두천,2015-04-01,12.3,8.2,18.9,2.1,4.4,2.2,65.5,5.7,
98,동두천,2015-04-02,13.9,6.1,23.3,28.6,9.1,3.8,70.3,2.2,
98,동두천,2015-04-03,11.1,7.3,17.3,1,6.6,2.1,82.1,3.8,
98,동두천,2015-04-04,12.8,7.4,19.1,,4.1,1.8,46.8,4.4,
98,동두천,2015-04-05,9.9,8.4,12.3,.1,3.8,1.3,68.5,0,
98,동두천,2015-04-06,10.3,6.3,18.2,,6,2.7,56.3,2.9,
98,동두천,2015-04-07,6.8,4.2,11.3,,4.5,2.2,63.5,.5,
98,동두천,2015-04-08,7.4,1.3,15.3,,5.3,2,50.8,8.8,
98,동두천,2015-04-09,8.6,0,17.9,,5.1,1.6,41.8,11.7,
98,동두천,2015-04-10,11.3,1.8,21.4,,5.7,1.9,42.4,11.7,
98,동두천,2015-04-11,12.6,3.9,22,,5.3,1.7,41.1,11.5,
98,동두천,2015-04-12,13.3,6,22.5,,4.6,1.7,39.9,3.5,
98,동두천,2015-04-13,11.6,6.8,19.4,3.8,6.8,2.7,49.5,4.5,
98,동두천,2015-04-14,6.2,5,8,22.9,2.2,.9,86,0,
98,동두천,2015-04-15,10.5,5.2,17.8,1.3,4.7,1.8,74.8,6.7,
98,동두천,2015-04-16,10.4,6.8,14.4,3.9,8,3.1,62,1.9,
98,동두천,2015-04-17,10.1,2.8,17.7,,8.2,3,46.9,12,
98,동두천,2015-04-18,14.4,2.6,24.9,0,3.4,1.1,36.4,10.5,
98,동두천,2015-04-19,13.6,9.9,19.1,10.8,4.4,1.3,69.8,0,
98,동두천,2015-04-20,12,8.6,17.9,6.9,4.3,1.8,66.9,4.9,
98,동두천,2015-04-21,12.8,5.4,22,,6.2,2,49.8,12.5,
98,동두천,2015-04-22,13.7,7.5,22.5,.1,6.1,2,45.6,9.2,
98,동두천,2015-04-23,13.6,5.2,21.4,,7.2,2.2,40.9,11,
98,동두천,2015-04-24,15.3,7.6,24.3,,7.1,2.1,37.4,12.2,
98,동두천,2015-04-25,15,5.8,25.4,,6.4,1.8,33,12.6,
98,동두천,2015-04-26,16.7,6.9,26,,6.1,1.9,44,11.5,
98,동두천,2015-04-27,17.6,10.1,26,,6.6,1.8,47.1,12.3,
98,동두천,2015-04-28,19.2,9.2,28,,3.6,1.2,34.1,11.4,
98,동두천,2015-04-29,17.6,14.7,23,1,3.1,1.2,56.5,.6,
98,동두천,2015-04-30,20.8,12.2,30,,5.1,1.5,56.9,11.8,
99,파주,2015-04-01,11.4,7.2,17.5,1.2,6.3,3.3,62.4,6.9,
99,파주,2015-04-02,13.7,5.9,20.5,27.1,8.5,3.9,69.1,2.3,
99,파주,2015-04-03,10.6,7.1,16.8,.2,5,1.8,79.5,4.9,
99,파주,2015-04-04,11.9,7.1,17.9,,4.7,3.1,48.4,2.4,
99,파주,2015-04-05,10.1,6.7,13.2,,3.8,1.5,55.4,0,
99,파주,2015-04-06,9.2,5.3,15.4,,5.6,2.2,56.3,3.8,
99,파주,2015-04-07,7.2,3.9,10.8,,4.5,2.7,57.8,4,
99,파주,2015-04-08,6.6,.9,13.9,,4.3,2.1,51,11,
99,파주,2015-04-09,7.1,-2.2,16.3,,3.7,1.3,49,11.8,
99,파주,2015-04-10,9.4,-.4,19.2,,4.6,1.6,49.9,11.8,
99,파주,2015-04-11,10.8,1.1,20.6,,4.4,1.4,49.8,11.5,
99,파주,2015-04-12,12,2.9,21.5,,5.5,2.1,47.9,3.5,
99,파주,2015-04-13,11.6,7.1,17.4,2.3,5.7,3.4,48.3,5,
99,파주,2015-04-14,6.6,5.2,8.6,12.1,3.7,1.2,88.4,0,
99,파주,2015-04-15,10,4.7,15.5,.3,4.3,2,75.9,8.2,
99,파주,2015-04-16,10,6,13.8,1.2,7,3,61.6,3,
99,파주,2015-04-17,9.6,.9,17.1,,6.4,2.9,50.6,12.3,
99,파주,2015-04-18,13.2,.1,23.5,0,2.8,1.1,41.6,10.9,
99,파주,2015-04-19,13.4,9.6,19.2,13.2,5.8,2.2,69.5,0,
99,파주,2015-04-20,12,7.7,17.7,5.3,6.1,2.8,66.1,5.7,
99,파주,2015-04-21,11.6,3,20.6,,5.8,2.1,54.1,11.9,
99,파주,2015-04-22,12.1,5.4,21,0,4.6,1.7,55.9,9.6,
